date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-02-29,-2,0,12,NA,-2,-4,2,-5,-5,-4,4,-1,1,-6,-8,-4,-2,-3,-3,-3,-1,1,-6,-8,-3,-3,-1
2020-03-01,-1,-3,0,NA,2,-1,-1,-2,-3,-3,0,-3,4,0,-3,0,0,0,0,-2,0,0,-1,0,0,-3,-2
2020-03-02,-1,-2,-2,-4,-41,-43,1,1,1,-1,0,-3,-1,0,-1,-2,1,2,-5,-6,3,-2,-3,1,-1,1,-5
2020-03-03,0,-1,0,6,-23,-27,2,2,3,1,4,-3,0,0,1,-2,0,3,-3,-3,2,0,-2,1,0,2,0
2020-03-04,-1,-1,-2,6,-24,-28,1,-2,1,0,2,-3,0,-1,1,-2,2,4,-5,-3,2,0,-3,0,-1,2,-1
2020-03-05,-2,-1,-1,-4,-19,-24,-1,0,1,-1,1,-3,-1,-1,0,-3,1,2,-6,-3,1,0,-4,1,-2,1,-2
2020-03-06,-2,-2,0,6,-19,-24,-1,-1,2,-1,2,-3,0,-1,-1,1,-2,0,-7,-2,1,1,-3,2,0,1,-3
2020-03-07,-2,-2,4,NA,-7,-7,-1,-2,-4,-2,2,-5,6,-2,-3,-2,-6,2,-4,-4,0,1,-3,-2,-1,-2,-3
2020-03-08,-3,-4,0,NA,-5,-6,-2,-8,-6,-1,0,-6,0,-5,0,0,0,0,-3,-4,-2,-1,-2,0,0,-6,-4
2020-03-09,0,-1,-1,-2,-4,-3,0,-2,0,-1,0,-3,-3,0,-1,-1,-1,4,-2,-2,2,1,-8,2,1,0,-5
2020-03-10,-1,-3,-1,2,-4,-4,1,-2,0,-1,1,-3,-3,0,-2,-1,-3,2,-1,-2,1,-1,-10,1,0,1,-5
2020-03-11,-2,-2,-1,0,-4,-3,-1,-4,0,-1,2,-4,-2,-1,-1,-3,-1,0,-4,-2,0,0,-13,2,0,-1,-6
2020-03-12,-4,-4,-1,-2,-6,-4,-2,-5,-1,-4,-1,-4,-3,-1,-3,-7,-3,0,-5,-3,0,-1,-21,4,-1,-3,-8
2020-03-13,-6,-4,-1,2,-7,-6,-3,-6,-1,-7,4,-6,-3,-3,-6,0,-2,-3,-4,-3,-1,-1,-24,2,-1,-6,-10
2020-03-14,-7,-4,2,NA,-10,-7,-4,-8,-8,-11,-7,-11,-5,-4,-10,-2,-4,-8,-3,-4,-3,1,-28,-8,-10,-11,-7
2020-03-15,-13,-9,0,NA,-8,-7,-9,-17,-14,-15,0,-24,-12,-10,-11,0,0,0,-8,-7,-8,-3,-36,0,-20,-20,-12
2020-03-16,-20,-15,-12,-13,-27,-22,-14,-23,-20,-36,-7,-17,-23,-11,-28,-12,-11,-11,-16,-13,-9,-10,-44,-10,-21,-31,-26
2020-03-17,-33,-27,-19,-13,-39,-31,-25,-35,-33,-54,-15,-26,-30,-22,-37,-22,-18,-24,-23,-23,-20,-19,-50,-18,-34,-46,-38
2020-03-18,-38,-31,-26,-25,-43,-36,-31,-40,-38,-58,-20,-30,-38,-28,-45,-27,-23,-28,-28,-28,-24,-24,-51,-20,-39,-51,-44
2020-03-19,-46,-34,-28,-27,-45,-38,-36,-46,-43,-62,-29,-38,-46,-35,-52,-63,-33,-33,-60,-32,-30,-27,-81,-70,-77,-55,-48
2020-03-20,-45,-34,-28,-24,-47,-39,-37,-45,-44,-65,-25,-39,-50,-34,-54,-40,-29,-35,-41,-33,-30,-27,-72,-45,-57,-57,-48
2020-03-21,-43,-37,-24,NA,-44,-40,-39,-43,-44,-55,-39,-51,-48,-39,-51,-48,-38,-34,-37,-36,-36,-30,-52,-42,-53,-49,-44
2020-03-22,-45,-38,0,NA,-43,-39,-42,-45,-46,-53,0,-59,-43,-43,-43,0,0,-37,-42,-38,-38,-36,-49,0,-56,-50,-45
2020-03-23,-46,-37,-32,-35,-51,-41,-40,-48,-48,-71,-28,-39,-55,-35,-60,-36,-32,-35,-36,-37,-31,-30,-59,-28,-47,-63,-52
2020-03-24,-49,-40,-35,-29,-53,-45,-42,-49,-52,-72,-29,-40,-57,-39,-61,-40,-36,-40,-36,-39,-34,-33,-62,-33,-49,-64,-53
2020-03-25,-49,-40,-35,-32,-52,-45,-43,-52,-52,-71,-30,-41,-57,-39,-61,-38,-35,-41,-38,-39,-35,-34,-63,-36,-49,-63,-54
2020-03-26,-50,-41,-36,-36,-53,-45,-44,-51,-53,-72,-30,-42,-58,-40,-62,-38,-35,-40,-39,-39,-36,-34,-63,-33,-51,-65,-55
2020-03-27,-49,-40,-33,-29,-51,-44,-42,-49,-52,-71,-28,-42,-57,-38,-61,-38,-38,-40,-38,-38,-35,-32,-62,-32,-50,-63,-53
2020-03-28,-43,-35,-29,0,-43,-37,-39,-47,-44,-55,-33,-51,-47,-39,-52,-46,-40,-39,-35,-35,-36,-31,-51,-44,-53,-50,-43
2020-03-29,-46,-41,0,NA,-48,-40,-43,-45,-42,-54,0,-57,-43,-40,-46,0,0,-41,-44,-38,-42,-40,-49,0,-57,-50,-47
2020-03-30,-48,-39,-33,-28,-52,-43,-42,-51,-52,-72,-29,-41,-57,-38,-61,-38,-33,-38,-38,-38,-34,-34,-61,-31,-49,-63,-54
2020-03-31,-49,-41,-32,-31,-52,-44,-42,-50,-52,-72,-30,-41,-57,-38,-61,-41,-36,-38,-37,-39,-34,-35,-62,-32,-49,-63,-54
2020-04-01,-48,-40,-35,-34,-52,-43,-42,-51,-51,-70,-29,-40,-56,-38,-60,-40,-36,-39,-38,-39,-34,-35,-61,-33,-48,-62,-54
2020-04-02,-50,-41,-35,-35,-52,-43,-43,-50,-52,-71,-63,-41,-56,-39,-61,-40,-36,-40,-39,-39,-36,-36,-62,-33,-50,-63,-54
2020-04-03,-48,-39,-33,-31,-50,-42,-42,-48,-51,-69,-44,-41,-54,-38,-61,-38,-33,-40,-37,-38,-35,-34,-60,-32,-49,-61,-53
2020-04-04,-42,-35,-29,NA,-40,-37,-39,-41,-43,-52,-39,-50,-41,-39,-48,-41,-42,-36,-35,-36,-35,-29,-51,-48,-51,-48,-43
2020-04-05,-42,-38,0,NA,-40,-31,-39,-42,-39,-46,0,-57,-35,-39,-39,0,0,-37,-37,-35,-36,-32,-47,0,-52,-44,-42
2020-04-06,-47,-41,-34,-33,-51,-43,-42,-49,-49,-69,-31,-38,-52,-37,-58,-38,-34,-38,-37,-40,-35,-34,-58,-33,-47,-60,-53
2020-04-07,-48,-42,-34,-35,-51,-45,-43,-50,-51,-70,-31,-40,-52,-38,-58,-41,-35,-38,-38,-40,-37,-36,-59,-36,-48,-61,-53
2020-04-08,-48,-41,-34,-36,-51,-45,-43,-50,-51,-68,-29,-39,-51,-39,-57,-38,-35,-39,-38,-40,-36,-35,-59,-32,-46,-60,-53
2020-04-09,-50,-44,-37,-35,-54,-49,-45,-50,-51,-69,-34,-41,-52,-39,-59,-40,-36,-40,-38,-42,-39,-37,-59,-34,-48,-60,-55
2020-04-10,-85,-87,-84,-84,-84,-86,-85,-89,-86,-86,-84,-79,-85,-86,-86,-87,-85,-87,-87,-87,-85,-86,-66,-83,-67,-86,-88
2020-04-11,-41,-36,-33,NA,-37,-37,-36,-44,-41,-49,-35,-49,-40,-39,-47,-46,-40,-39,-36,-35,-36,-24,-50,-48,-52,-46,-43
