date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-03-06,0,7,-21,-2,11,-8,-3,-13,3,2,-2,0,-1,8,7,-3,6,-38,6,6
2020-03-07,4,12,-14,2,17,-6,-3,-6,10,4,3,0,2,10,2,2,0,-29,4,13
2020-03-08,8,16,11,1,20,5,-1,-5,12,8,10,0,2,6,12,16,0,-21,17,25
2020-03-09,0,6,0,6,14,-4,-2,-3,8,0,-1,0,0,2,10,-2,-2,-37,5,6
2020-03-10,-1,6,2,6,11,-3,-1,2,4,-1,-3,0,-7,4,0,-2,0,-35,3,3
2020-03-11,-9,2,-3,5,9,-5,-2,-2,4,-7,-5,0,-21,0,-2,-5,0,-36,1,-2
2020-03-12,-16,-4,-12,-15,1,-12,-7,-16,-6,-12,-11,0,-33,-3,-7,-25,0,-39,-7,-10
2020-03-13,-32,-23,-30,-25,-9,-30,-24,-24,-24,-32,-31,0,-46,-15,-26,-40,-27,-49,-24,-26
2020-03-14,-52,-44,-56,-37,-20,-51,-35,-45,-45,-48,-50,0,-65,-39,-49,-56,0,-60,-45,-53
2020-03-15,-71,-68,-77,-66,-49,-73,-51,-71,-73,-73,-68,0,-77,-72,-72,-76,0,-78,-71,-71
2020-03-16,-71,-68,-70,-62,-59,-67,-60,-72,-72,-72,-71,0,-75,-70,-68,-77,-64,-78,-65,-71
2020-03-17,-74,-74,-76,-65,-66,-73,-63,-73,-74,-74,-74,0,-79,-71,-72,-77,-73,-79,-69,-76
2020-03-18,-76,-77,-77,-66,-70,-73,-67,-75,-76,-75,-76,0,-81,-72,-74,-77,-75,-80,-69,-77
2020-03-19,-80,-78,-78,-68,-75,-87,-68,-77,-77,-85,-77,0,-82,-74,-88,-80,-78,-88,-84,-88
2020-03-20,-80,-81,-80,-70,-76,-78,-71,-78,-81,-80,-79,0,-83,-79,-79,-84,-86,-83,-74,-81
2020-03-21,-84,-85,-86,-75,-82,-84,-78,-83,-84,-83,-83,0,-87,-82,-83,-86,0,-88,-80,-86
2020-03-22,-87,-88,-89,-80,-88,-87,-83,-87,-88,-89,-87,0,-88,-87,-87,-89,0,-89,-87,-90
2020-03-23,-81,-81,-78,-69,-79,-77,-79,-79,-78,-80,-82,0,-83,-76,-78,-81,-83,-81,-74,-82
2020-03-24,-81,-83,-80,-69,-80,-78,-79,-78,-80,-80,-81,0,-84,-77,-79,-81,0,-82,-80,-84
2020-03-25,-82,-83,-81,-69,-81,-79,-79,-80,-80,-80,-82,0,-85,-77,-79,-80,-78,-83,-75,-83
2020-03-26,-82,-83,-82,-71,-83,-78,-80,-80,-81,-80,-83,0,-85,-78,-80,-84,0,-83,-75,-83
2020-03-27,-83,-84,-82,-71,-82,-79,-81,-81,-83,-83,-83,0,-86,-80,-81,-84,-87,-84,-78,-85
2020-03-28,-86,-86,-87,-75,-87,-85,-87,-85,-85,-84,-85,0,-87,-82,-85,-88,0,-88,-80,-88
2020-03-29,-88,-90,-90,-80,-88,-88,-87,-89,-89,-89,-88,0,-89,-87,-88,-90,0,-90,-86,-90
2020-03-30,-84,-84,-81,-74,-85,-82,-82,-84,-82,-83,-85,0,-87,-80,-82,-84,-87,-85,-76,-85
2020-03-31,-84,-85,-83,-73,-84,-82,-81,-81,-82,-83,-84,0,-88,-79,-82,-85,-81,-86,-77,-86
2020-04-01,-84,-84,-82,-72,-86,-82,-82,-81,-82,-82,-85,0,-87,-78,-82,-85,-83,-86,-76,-85
2020-04-02,-84,-85,-82,-73,-87,-81,-82,-82,-83,-83,-84,0,-87,-79,-81,-86,-76,-84,-76,-86
2020-04-03,-84,-85,-83,-73,-87,-82,-83,-83,-84,-85,-84,0,-87,-81,-83,-86,-82,-85,-80,-86
2020-04-04,-86,-87,-87,-75,-88,-85,-87,-85,-85,-85,-85,0,-88,-82,-85,-89,-78,-87,-80,-88
2020-04-05,-89,-90,-90,-81,-91,-88,-89,-89,-90,-90,-88,0,-90,-89,-89,-92,0,-89,-87,-91
2020-04-06,-83,-84,-80,-72,-86,-81,-82,-82,-82,-83,-83,0,-86,-79,-81,-84,-79,-84,-74,-85
2020-04-07,-83,-82,-81,-71,-85,-79,-81,-79,-81,-81,-83,0,-86,-77,-81,-84,-73,-84,-74,-85
2020-04-08,-82,-82,-79,-68,-85,-79,-81,-79,-79,-80,-83,0,-85,-76,-80,-80,-69,-82,-71,-84
2020-04-09,-88,-90,-89,-82,-90,-89,-88,-89,-90,-90,-82,0,-92,-85,-91,-89,0,-89,-82,-85
2020-04-10,-92,-92,-91,-85,-92,-90,-91,-91,-92,-93,-91,0,-93,-90,-92,-93,-88,-91,-89,-93
2020-04-11,-84,-85,-85,-75,-87,-82,-86,-83,-84,-83,-83,0,-87,-81,-84,-89,0,-87,-75,-86
