date,total,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Lovec,Montana Province,Pazardzhik,Pernik,Sliven Province,Smoljan,Varna,Veliko Tarnovo Province
2020-03-14,-17.023760227372573,-20.532628525601343,-16.40754959216597,-11.767838047601359,-9.750152767986963,-14.705633826974644,-15.000338520056868,-15.614180578797829,-14.024770743981717,-16.79193628670981,-15.567918852732971,-16.44786112888818,-14.582943986004684
2020-03-15,-26.975223252454622,-33.918803601033886,-29.760435887385718,-19.507596026779396,-26.172112966646356,-27.866641678555347,-22.792539829146687,-26.710849381052917,-20.25745766556811,-19.998828799812607,-28.911294202860272,-29.911939055594843,-29.085931283487877
2020-03-16,-34.615005884551,-32.18232661560253,-32.856326592294494,-26.536174844225233,-23.719130775967503,-26.597267484447162,-29.388532937273528,-30.2060265509626,-30.95858611499102,-28.55371416859427,-33.05827071492298,-35.6552341735194,-29.290158005976515
2020-03-17,-40.99620696935519,-38.83169333157286,-37.94072064869935,-31.616025999455218,-27.956013614420165,-33.34424671438285,-31.339157264978414,-33.410724884301274,-36.447349562212885,-34.276637484262004,-39.66584490912551,-42.60179349781389,-34.17233267377092
2020-03-18,-43.337586034056294,-43.794957052384326,-40.3347866413154,-34.23045606068026,-29.179178310043447,-35.470590371875545,-25.187764231544385,-36.48527360904644,-39.45146741323699,-36.9382631101221,-43.25037133908837,-44.74894729232491,-36.16835988601836
2020-03-19,-43.6305594171951,-44.22266074337727,-40.247537940743484,-35.71183741661495,-28.09477200257945,-34.88319739531729,-33.57151764001495,-36.89364158383621,-40.6638960532751,-36.96585951453752,-44.11881757984359,-45.99414047833333,-37.73281364696905
2020-03-20,-43.57357007417358,-44.06393515138655,-41.31273910926428,-36.94841832640236,-29.942349444919508,-34.20310794258719,-33.944045702599674,-37.91786241668076,-39.79255485602863,-37.6481568237051,-44.70166740585381,-45.19358949500293,-37.802173665927455
2020-03-21,-32.12994946209141,-42.895828848652485,-32.45843416660941,-29.16318358450131,-25.500180223984614,-24.26472146159262,-28.333660760055004,-32.855231265014496,-29.731455430004992,-28.707873393259746,-38.05426514020725,-34.337884138830766,-27.4309241644526
2020-03-22,-32.57542953782303,-45.53048358516904,-35.05671964517949,-30.074654020354007,-25.034484263724003,-24.8814367928583,-18.99331519087695,-34.859346614733354,-22.688195763623508,-26.95502591280415,-44.47921305559324,-35.72251555945094,-28.601374484375686
2020-03-23,-48.450573569930846,-46.93240123897924,-46.28975014958062,-41.89957991903319,-32.99978598401826,-39.59274591429244,-38.0315583893018,-41.49791976610795,-47.42585659298647,-41.55352384856382,-46.764955789929985,-48.91551775733197,-42.03698815677675
2020-03-24,-51.0223180071274,-47.852439400937406,-49.51507573995322,-43.73896983257456,-35.393843379725354,-40.552816560357876,-42.1340470785199,-43.93115157894308,-49.62136197187522,-44.23608467777355,-48.97589946326209,-51.47513570037984,-45.15626234271169
2020-03-25,-49.44266973858719,-46.319359281889355,-47.81516424419501,-40.88651246007589,-34.12886108767051,-39.7147647451717,-29.25000491400082,-42.44763466359825,-47.47192300048994,-42.31480397036864,-48.14630987757421,-50.398633525475134,-44.191002078873886
2020-03-26,-48.810970964531734,-47.082572757150096,-46.287832595721895,-39.940208759158764,-32.91044839164173,-39.77908474904603,-37.499910299984926,-43.042739033326534,-47.00439797114622,-40.96828975492637,-49.78508930503961,-49.84965641997572,-43.47428188297037
2020-03-27,-46.624506592832795,-45.39646976199124,-44.370278736998586,-39.053895681408164,-34.2590658765597,-37.34059989628082,-33.944045702599674,-42.082649891672986,-43.20342928394508,-40.26981524317044,-47.1399225113299,-47.83511521222834,-41.788448088842465
2020-03-28,-33.12686163156648,-43.70846586153909,-32.636766675470675,-27.627617149577503,-24.000449151961668,-26.470519241518325,-23.333547920036043,-33.18060528649826,-28.048561351633573,-30.333206453313036,-35.459611998085094,-33.617290744578426,-30.902778446759434
2020-03-29,-29.58308769579158,-42.168732573964476,-35.05671964517949,-19.507596026779396,-17.069182543429754,-20.90021772951899,-12.6622101272513,-31.237792288653157,-21.877623018828427,-25.21645243463239,-41.14239780168474,-34.86150883803713,-27.6322608861513
2020-03-30,-44.182794177741684,-41.5689969539277,-41.14687070048471,-35.381888989199055,-30.67985978198529,-33.850293803688274,-32.15441340194145,-37.40480888715273,-39.30248669109811,-37.83942845430856,-43.13671562301637,-44.40376452971959,-37.96883037814696
2020-03-31,-45.98879448476173,-44.00215572935424,-43.22933419105822,-36.13273936947686,-32.8287139986164,-35.74678803557122,-34.4728857914448,-39.097696911974076,-39.96113830476474,-40.29836324773812,-44.522926792544006,-45.96391260929162,-40.40991771204416
2020-04-01,-47.5307174135553,-44.89272985926622,-44.036624365580735,-38.51010971012449,-33.087222776556985,-37.289522246145324,-26.406436436281314,-41.73841360807421,-45.087251309938004,-41.380332620853224,-44.06636109550267,-47.01993784065194,-42.01579481765057
2020-04-02,-47.5106507434773,-46.31270611336279,-43.699134886445435,-37.82602308788686,-33.17846116877131,-37.33114107218166,-35.35740594004419,-43.47185549644281,-45.69199542546228,-40.02715720434516,-50.19016993411672,-47.59134207479521,-41.56110136003436
2020-04-03,-44.70211959936034,-42.62114803377035,-41.54859823388725,-36.7152289686099,-34.797942630575555,-33.57504202240252,-32.49979745996597,-41.07729132094343,-40.702121370139686,-37.6481568237051,-44.70166740585381,-45.58655179254514,-39.589157487703034
2020-04-04,-36.106360804748,-45.94488093910887,-32.99343169319321,-26.09301830534993,-31.500054911995306,-28.676317021444024,-24.166588059986786,-40.01157351144587,-31.41434950837641,-33.582920973267356,-46.70278514182223,-35.78102111243489,-30.208214923578737
2020-04-05,-35.022760620535976,-45.835578884744,-39.09125296393333,-24.38522072649642,-27.310692069487605,-25.87650508809065,-20.259723403633526,-39.83992692619937,-28.360244704529386,-32.17169794747168,-50.03862897935406,-36.15253137388299,-30.056008215308903
2020-04-06,-44.633090254292014,-40.89797738539211,-41.99059439832297,-36.31271123897644,-37.64058878800308,-33.54855731492486,-32.846117518147736,-37.686799705772,-40.40023938054249,-37.83942845430856,-45.15240460463505,-45.6694346592724,-36.88411674832523
2020-04-07,-44.751884941153776,-40.92268915420503,-41.849654189706804,-33.042254685704556,-34.36741146731421,-33.04345610802934,-33.080117557459744,-37.249195224703975,-39.52203722898699,-36.36159341785495,-44.11881757984359,-45.74354169305207,-37.833963674616726
2020-04-08,-43.923532800333916,-40.61189113875016,-41.10564329252216,-33.51734171755559,-33.86845150989213,-33.651658497605766,-21.530811617176347,-37.053027698707965,-39.66807754213628,-35.06741721078676,-41.61839182625975,-44.417415825415844,-36.984303442376266
2020-04-09,-43.46280205534302,-40.372377071794105,-39.619539052011596,-35.24158833824508,-33.445523545981985,-32.12878781763991,-32.85734952003471,-37.180347967984225,-38.915332840802996,-36.02377536380406,-42.49946647991187,-45.16726199616015,-37.32243353479849
2020-04-10,-42.607961910020194,-39.0693064932356,-39.11809871795545,-34.37656225581163,-34.2590658765597,-31.692736026668324,-30.33295709593678,-38.06121560875477,-37.519618707080866,-34.07394665183147,-41.044284747639686,-43.84406140617312,-37.802173665927455
2020-04-11,-28.00022876003889,-37.000171081476395,-28.000121445077724,-22.00010966027891,-26.999911296007564,-24.999672094097885,-15.000338520056868,-27.000385104518184,-22.999879116519324,-25.9996193599391,-32.000398280714435,-29.000227521594937,-25.000433500118483
