date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-03-20,-73,-79,-79,0,-72,-70,-77,-69,-79,-57,-68,-80,-75,-60,0,-76,-76,-74,-60,-66,-61
2020-03-21,-71,-79,-78,0,-73,-71,-67,-72,-82,-51,0,-78,-73,-65,0,-74,-75,-70,-67,-69,-58
2020-03-22,-74,-81,-87,0,-73,-78,-74,-74,0,-65,0,-78,-76,-74,0,-76,-83,-71,-70,-72,-65
2020-03-23,-74,-77,-81,0,-71,-69,-75,-69,-76,-69,0,-77,-76,-73,0,-73,-76,-75,-65,-62,-50
2020-03-24,-74,-78,-81,0,-70,-72,-67,-67,-77,-66,0,-77,-76,-72,0,-73,-77,-74,-62,-61,-49
2020-03-25,-74,-79,-81,0,-71,-67,-69,-73,-79,-69,0,-77,-77,-66,0,-74,-75,-76,-62,-66,-57
2020-03-26,-75,-77,-79,0,-69,-71,-70,-76,-78,-70,0,-76,-78,-70,0,-75,-76,-76,-63,-63,-60
2020-03-27,-75,-79,-82,0,-73,-74,-77,-71,-77,-74,0,-77,-77,-72,0,-76,-77,-74,-62,-65,-58
2020-03-28,-74,-78,-83,0,-70,-74,-69,-72,0,-74,0,-81,-75,-73,0,-76,-74,-70,-68,-65,-42
2020-03-29,-78,-83,-87,0,-76,-78,-76,-77,0,-82,0,-81,-79,-77,0,-79,-81,-74,-76,-72,-61
2020-03-30,-78,-81,-80,0,-74,-69,-74,-71,-76,-78,0,-77,-80,-74,0,-77,-79,-77,-68,-65,-54
2020-03-31,-75,-80,-81,0,-71,-74,-79,-69,-77,-72,0,-77,-77,-72,0,-75,-76,-74,-63,-68,-57
2020-04-01,-76,-79,-83,0,-70,-61,-73,-76,-77,-74,0,-79,-79,-70,0,-73,-77,-78,-63,-61,-54
2020-04-02,-74,-73,-85,0,-68,-71,-69,-77,-80,-75,0,-78,-76,-72,0,-73,-76,-74,-61,-57,-52
2020-04-03,-75,-77,-85,0,-68,-70,-74,-71,-79,-75,0,-77,-77,-79,0,-74,-76,-73,-63,-63,-50
2020-04-04,-75,-78,-88,0,-69,-68,-80,-74,0,-82,0,-76,-77,-77,0,-75,-77,-71,-63,-63,-50
2020-04-05,-82,-87,-90,0,-78,0,-86,-81,0,-87,0,-85,-83,-79,0,-83,-86,-76,-78,-79,-67
2020-04-06,-77,-80,-81,0,-71,-69,-74,-72,-78,-76,0,-78,-80,-74,0,-75,-78,-78,-63,-62,-54
2020-04-07,-74,-75,-80,0,-65,-67,-67,-66,-72,-74,0,-75,-77,-71,0,-72,-76,-75,-62,-58,-42
2020-04-08,-72,-75,-81,0,-65,-58,-67,-72,-77,-73,0,-73,-75,-64,0,-70,-72,-74,-57,-57,-43
2020-04-09,-78,-79,-83,0,-71,-71,-78,-77,-85,-79,0,-78,-81,-76,0,-77,-82,-79,-72,-63,-55
2020-04-10,-85,-88,-92,0,-79,-81,-85,-87,0,-85,-81,-87,-87,-83,0,-85,-90,-84,-81,-82,-70
2020-04-11,-77,-80,-85,0,-70,-65,-73,-78,0,-83,0,-79,-79,-78,0,-77,-83,-72,-72,-63,-52
