date,UY,Artigas Department,Canelones Department,Cerro Largo Department,Colonia Department,Durazno Department,Flores Department,Florida Department,Lavalleja Department,Maldonado Department,Montevideo Department,Paysandú Department,Río Negro Department,Rivera Department,Rocha Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department,Treinta y Tres Department
2020-03-03,-12,13,-13,-21,-25,9,0,-5,-22,-55,11,-11,-4,-1,-65,8,-13,-18,10,-17
2020-03-04,-14,20,-13,0,-19,-1,-2,-15,-22,-49,7,-5,-14,14,-57,11,-13,-14,19,-18
2020-03-05,-14,-1,-12,-11,-28,0,0,-15,-22,-54,10,-8,-12,5,-62,8,-16,-16,-3,-21
2020-03-06,-17,7,-19,-12,-29,3,0,-1,-25,-59,12,-9,-12,-5,-65,7,-8,5,16,-9
2020-03-07,-13,-4,-24,-11,-26,18,32,1,-13,-51,7,-2,-3,-9,-63,-1,-14,23,59,-11
2020-03-08,-13,9,-32,-7,-33,2,17,12,-5,-49,25,1,-1,1,-57,-2,-20,17,19,-14
2020-03-09,-25,8,-32,0,-43,-6,0,-16,-35,-73,-2,-10,-23,3,-74,14,-20,-22,-12,-22
2020-03-10,-22,7,-25,-40,-35,-5,0,-22,-35,-68,3,-7,-16,-2,-73,14,-26,-24,-24,-41
2020-03-11,-32,10,-28,-21,-55,-13,-22,-33,-39,-67,-11,-10,-35,-3,-72,13,-34,-43,-21,-32
2020-03-12,-22,-5,-25,-20,-33,-9,-9,-27,-30,-63,5,-14,-12,-16,-72,3,-23,-28,-28,-31
2020-03-13,-25,-1,-28,-25,-36,-12,0,-18,-29,-66,9,-16,-26,-17,-74,-4,-19,-34,-24,-29
2020-03-14,-57,-36,-63,-34,-66,-35,-34,-54,-52,-79,-48,-21,-53,-47,-80,-45,-54,-53,-51,-42
2020-03-15,-59,-55,-65,-52,-59,-50,-21,-50,-50,-76,-44,-56,-52,-63,-81,-71,-53,-49,-60,-59
2020-03-16,-45,-24,-50,-32,-58,-26,-24,-38,-57,-74,-31,-30,-32,-26,-79,-44,-42,-37,-38,-35
2020-03-17,-58,-40,-56,-47,-71,-42,-37,-55,-58,-79,-49,-62,-56,-41,-79,-56,-53,-55,-46,-43
2020-03-18,-67,-41,-65,-43,-65,-52,-51,-65,-68,-85,-65,-48,-59,-46,-85,-55,-60,-51,-50,-57
2020-03-19,-67,-51,-65,-48,-70,-45,-42,-63,-69,-85,-62,-50,-47,-51,-83,-61,-56,-57,-59,-55
2020-03-20,-63,-49,-58,-44,-68,-50,-40,-51,-66,-82,-52,-54,-64,-57,-84,-55,-53,-64,-58,-52
2020-03-21,-68,-59,-67,-54,-78,-53,-53,-64,-69,-83,-59,-59,-67,-63,-84,-63,-61,-71,-67,-55
2020-03-22,-78,-73,-76,-76,-83,-68,-68,-69,-78,-88,-72,-70,-77,-77,-87,-71,-73,-75,-72,-71
2020-03-23,-68,-56,-63,-59,-75,-48,-56,-61,-67,-85,-62,-56,-62,-59,-87,-60,-63,-61,-62,-61
2020-03-24,-69,-63,-64,-60,-74,-54,-55,-63,-67,-84,-64,-65,-65,-62,-87,-62,-60,-69,-69,-64
2020-03-25,-71,-57,-65,-52,-75,-53,-56,-64,-69,-85,-67,-62,-71,-59,-84,-64,-61,-68,-68,-57
2020-03-26,-70,-60,-63,-59,-76,-53,-58,-63,-70,-85,-64,-63,-64,-65,-86,-61,-64,-67,-71,-62
2020-03-27,-71,-59,-66,-58,-76,-56,-52,-67,-66,-86,-63,-63,-69,-65,-88,-57,-61,-69,-69,-62
2020-03-28,-76,-64,-77,-66,-82,-66,-68,-77,-72,-89,-71,-69,-73,-69,-90,-65,-72,-74,-76,-70
2020-03-29,-79,-71,-77,-76,-84,-68,-72,-78,-76,-88,-72,-75,-82,-76,-89,-74,-78,-78,-77,-75
2020-03-30,-69,-53,-64,-56,-76,-52,-59,-64,-69,-85,-64,-59,-68,-59,-86,-61,-63,-62,-65,-59
2020-03-31,-72,-57,-67,-64,-76,-52,-47,-65,-63,-89,-68,-63,-63,-58,-89,-59,-66,-66,-64,-64
2020-04-01,-73,-46,-67,-60,-73,-55,-64,-61,-62,-88,-71,-64,-75,-45,-88,-58,-61,-70,-61,-62
2020-04-02,-70,-44,-62,-65,-72,-42,-58,-60,-63,-90,-67,-65,-59,-43,-90,-55,-63,-59,-59,-67
2020-04-03,-66,-41,-60,-54,-73,-45,-45,-51,-57,-88,-59,-65,-65,-45,-88,-54,-56,-62,-61,-60
2020-04-04,-71,-54,-69,-66,-80,-51,-60,-68,-69,-89,-62,-65,-73,-63,-90,-62,-67,-72,-71,-70
2020-04-05,-79,-68,-79,-78,-84,-66,-68,-76,-76,-90,-72,-75,-78,-76,-91,-71,-78,-78,-76,-78
2020-04-06,-69,-38,-64,-63,-77,-46,-51,-57,-62,-90,-66,-58,-59,-42,-91,-60,-60,-64,-61,-56
2020-04-07,-70,-43,-63,-66,-75,-49,-58,-63,-65,-90,-67,-61,-65,-49,-88,-56,-61,-65,-64,-72
2020-04-08,-70,-40,-63,-57,-74,-52,-60,-65,-68,-88,-67,-60,-68,-47,-87,-59,-58,-63,-63,-62
2020-04-09,-71,-46,-65,-61,-75,-50,-56,-63,-67,-86,-69,-63,-68,-57,-89,-62,-64,-64,-68,-64
2020-04-10,-77,-66,-73,-67,-80,-63,-57,-67,-72,-89,-71,-68,-77,-74,-90,-75,-69,-73,-73,-69
2020-04-11,-75,-60,-75,-68,-82,-60,-64,-70,-72,-91,-65,-69,-80,-65,-91,-66,-68,-74,-72,-70
