date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-03-01,3,2,2,1,-1,4,4,6,-1,4,4,3,3,3,2,2,3,3,6,3,4,5,4,5,3,4,3,5,5,6,4,3,3
2020-03-02,10,13,9,12,17,14,13,12,12,15,17,14,18,14,9,12,12,13,11,13,5,10,11,13,10,10,5,21,11,12,20,12,15
2020-03-03,9,10,12,11,12,12,9,8,12,10,9,12,8,5,7,11,9,10,7,10,4,8,7,7,6,6,10,20,8,10,14,7,10
2020-03-04,9,10,11,11,10,13,11,8,12,12,9,13,7,5,6,11,9,9,6,9,4,8,7,7,7,6,10,19,8,10,15,10,11
2020-03-05,8,10,10,12,11,14,11,7,12,12,5,12,7,5,6,11,9,8,5,10,1,8,7,7,8,6,11,18,8,10,14,11,11
2020-03-06,12,13,9,16,15,14,12,12,13,15,9,13,16,8,10,11,14,14,11,14,7,9,10,14,12,10,13,21,14,13,16,13,10
2020-03-07,6,6,5,5,5,4,6,5,3,5,6,4,7,5,6,4,5,5,9,5,6,7,7,6,4,6,6,6,6,8,6,7,4
2020-03-08,3,3,4,1,1,3,1,6,0,2,4,2,2,3,4,2,3,2,6,2,4,5,4,4,4,0,5,4,4,5,3,4,2
2020-03-09,-16,-13,-9,-10,-13,-7,-12,-17,-11,-15,-7,-13,-12,-14,-25,-10,-16,-14,-15,-2,-23,-18,-10,-13,-20,-14,-17,-4,-10,-19,-3,-18,-10
2020-03-10,9,9,-6,11,11,14,11,8,12,12,9,12,8,5,8,11,10,9,7,9,5,8,7,8,7,8,11,20,8,9,14,11,10
2020-03-11,8,9,9,10,9,14,13,7,11,13,8,12,6,5,6,11,9,9,5,9,6,8,6,7,6,5,10,19,8,9,14,10,12
2020-03-12,8,8,4,10,9,15,10,7,11,12,8,11,5,5,6,9,9,8,5,9,7,7,6,7,7,-2,10,18,7,10,15,10,11
2020-03-13,5,3,5,11,10,10,5,5,8,9,5,5,5,1,5,6,6,6,6,11,-4,3,6,8,6,7,3,8,6,6,9,9,7
2020-03-14,3,2,3,4,3,4,4,2,1,4,4,4,6,2,3,3,4,3,5,4,4,4,4,2,3,5,4,5,3,5,6,5,3
2020-03-15,1,-1,3,1,-2,2,2,1,-1,1,1,3,1,0,1,0,2,0,0,1,1,3,2,2,2,4,2,3,2,2,2,1,-1
2020-03-16,-54,-61,-49,-42,-51,-43,-56,-58,-52,-54,-49,-38,-41,-57,-63,-43,-45,-45,-64,-37,-53,-63,-39,-58,-54,-53,-56,-49,-51,-50,-41,-54,-47
2020-03-17,-3,-3,5,8,4,12,6,2,-11,4,-8,4,4,-13,-6,-7,0,0,-12,8,-4,-5,1,-3,2,-17,3,17,-15,-14,4,-17,8
2020-03-18,-10,-10,-14,2,-5,7,1,-2,-17,-3,-12,-2,1,-18,-13,-14,-12,-16,-20,3,-8,-18,-4,-8,-2,-29,-3,8,-19,-21,-3,-23,3
2020-03-19,-14,-15,-16,1,-8,3,-4,-17,-24,-19,-17,-8,-2,-22,-17,-17,-17,-23,-25,-3,-12,-20,-8,-12,-8,-26,-7,6,-22,-22,-2,-26,-1
2020-03-20,-14,-16,-14,-5,-10,-3,-7,-18,-24,-18,-15,-12,1,-22,-17,-17,-14,-19,-24,-4,-12,-20,-10,-10,-6,-23,-12,-3,-18,-19,-4,-26,-15
2020-03-21,-7,-9,-7,-9,-7,-3,-6,-11,-12,-8,-3,-4,-2,-14,-8,-3,-4,-8,-15,-2,-4,-7,-10,-6,-6,-9,-3,-7,-9,-2,-3,-15,-8
2020-03-22,-10,-15,-11,-17,-13,-6,-9,-13,-16,-11,-6,-7,-7,-22,-9,-6,-5,-14,-17,-6,-6,-13,-16,-9,-8,-12,-4,-14,-12,-4,-8,-19,-13
2020-03-23,-29,-28,-21,-25,-30,-24,-23,-30,-31,-29,-15,-28,-29,-40,-33,-25,-21,-31,-30,-27,-30,-28,-28,-26,-28,-30,-27,-27,-27,-29,-21,-34,-33
2020-03-24,-34,-33,-24,-31,-37,-28,-27,-35,-33,-34,-25,-32,-37,-47,-40,-27,-29,-36,-35,-31,-37,-33,-36,-32,-33,-34,-32,-31,-31,-33,-29,-37,-39
2020-03-25,-36,-36,-28,-34,-40,-30,-30,-36,-34,-36,-27,-34,-39,-45,-42,-29,-31,-37,-38,-33,-38,-34,-40,-35,-36,-37,-35,-35,-34,-34,-30,-39,-41
2020-03-26,-37,-38,-30,-35,-41,-31,-34,-37,-35,-37,-30,-35,-40,-38,-44,-30,-33,-39,-39,-34,-39,-35,-44,-36,-37,-39,-36,-36,-36,-35,-31,-41,-42
2020-03-27,-34,-37,-29,-33,-37,-29,-33,-34,-32,-34,-28,-32,-32,-35,-42,-28,-29,-33,-35,-31,-36,-34,-42,-31,-33,-34,-34,-34,-32,-31,-29,-39,-38
2020-03-28,-18,-21,-20,-28,-20,-13,-22,-21,-17,-16,-14,-12,-10,-17,-20,-10,-13,-19,-21,-13,-15,-17,-35,-17,-18,-18,-14,-20,-18,-10,-13,-25,-17
2020-03-29,-20,-24,-23,-35,-23,-16,-25,-22,-19,-18,-16,-15,-14,-19,-21,-12,-15,-22,-22,-16,-17,-20,-41,-18,-19,-21,-16,-24,-20,-10,-17,-27,-19
2020-03-30,-38,-41,-30,-38,-40,-35,-37,-39,-33,-37,-30,-36,-35,-30,-46,-31,-34,-37,-37,-35,-42,-36,-46,-37,-38,-44,-38,-39,-36,-39,-31,-42,-39
2020-03-31,-41,-44,-35,-41,-45,-38,-39,-43,-35,-40,-36,-39,-42,-37,-50,-32,-38,-40,-40,-38,-44,-39,-51,-42,-42,-48,-40,-43,-38,-41,-36,-44,-44
2020-04-01,-44,-46,-37,-46,-49,-40,-40,-44,-35,-40,-39,-41,-45,-39,-53,-34,-40,-43,-42,-40,-46,-43,-54,-44,-44,-51,-43,-46,-40,-43,-38,-50,-45
2020-04-02,-46,-49,-39,-48,-49,-41,-43,-47,-37,-42,-41,-42,-46,-43,-55,-36,-41,-44,-44,-42,-47,-45,-56,-46,-45,-52,-45,-48,-42,-44,-39,-54,-47
2020-04-03,-43,-47,-37,-46,-46,-39,-42,-44,-34,-39,-39,-40,-39,-41,-53,-33,-37,-40,-41,-39,-45,-43,-54,-41,-42,-48,-42,-45,-39,-40,-37,-53,-43
2020-04-04,-27,-29,-29,-41,-28,-22,-29,-31,-19,-22,-24,-22,-17,-27,-33,-16,-22,-25,-29,-22,-24,-27,-48,-26,-26,-32,-23,-31,-26,-18,-20,-42,-23
2020-04-05,-27,-29,-31,-44,-28,-23,-30,-28,-23,-21,-23,-24,-19,-28,-32,-17,-24,-30,-30,-23,-24,-28,-50,-24,-26,-28,-22,-32,-27,-16,-24,-39,-24
2020-04-06,-49,-51,-42,-57,-49,-45,-48,-51,-38,-46,-46,-45,-44,-45,-58,-38,-43,-46,-48,-44,-50,-50,-58,-49,-49,-53,-48,-50,-45,-46,-39,-57,-46
2020-04-07,-52,-53,-45,-59,-53,-47,-50,-54,-39,-48,-51,-47,-50,-50,-61,-40,-46,-49,-52,-46,-52,-52,-61,-53,-52,-55,-50,-53,-48,-48,-43,-58,-51
2020-04-08,-53,-53,-48,-61,-54,-48,-51,-56,-40,-49,-52,-48,-51,-51,-61,-41,-46,-50,-54,-48,-53,-53,-61,-54,-54,-57,-51,-54,-49,-49,-43,-59,-51
2020-04-09,-64,-66,-56,-67,-63,-58,-63,-66,-54,-61,-65,-55,-59,-66,-73,-54,-56,-62,-67,-56,-61,-66,-67,-66,-68,-68,-63,-65,-61,-57,-53,-65,-61
2020-04-10,-72,-77,-70,-71,-68,-67,-75,-71,-66,-70,-74,-62,-68,-74,-78,-66,-64,-65,-72,-64,-72,-76,-70,-73,-72,-71,-73,-71,-67,-69,-63,-74,-68
2020-04-11,-49,-49,-49,-61,-42,-47,-50,-53,-43,-46,-50,-38,-41,-51,-52,-41,-39,-49,-55,-41,-47,-51,-59,-51,-57,-55,-46,-49,-46,-43,-37,-52,-41
