date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-03-27,-74,-65,-75,-67,-77,-76,-83,-71,-72,-69,-68,-70,-70,-47,-60,-70,-66,-74,-68,-82,-66,-69,-72,-66,-82,-79,-81,-75,-72,-68,-77,-37
2020-03-28,-76,-63,-77,-66,-79,-77,-83,-77,-75,-70,-73,-69,-72,-46,-62,-76,-67,-73,-68,-82,-69,-69,-73,-71,-85,-81,-86,-75,-70,-71,-78,-47
2020-03-29,-80,-63,-81,-67,-81,-82,-84,-79,-81,-72,-71,-74,-74,-59,-64,-83,-78,-76,-70,-84,-70,-73,-76,-73,-90,-85,-87,-78,-74,-76,-83,-46
2020-03-30,-71,-61,-70,-71,-75,-73,-81,-69,-72,-70,-64,-69,-65,-49,-58,-67,-64,-73,-60,-78,-64,-66,-68,-70,-80,-76,-80,-72,-68,-66,-73,-41
2020-03-31,-69,-60,-68,-58,-74,-71,-80,-65,-68,-69,-62,-66,-64,-48,-56,-63,-63,-69,-62,-77,-63,-64,-68,-69,-78,-75,-80,-70,-66,-62,-72,-33
2020-04-01,-69,-62,-67,-56,-72,-72,-80,-66,-67,-65,-62,-67,-65,-46,-57,-64,-67,-67,-63,-75,-62,-64,-68,-63,-76,-73,-81,-69,-63,-64,-71,-39
2020-04-02,-68,-56,-69,-60,-75,-69,-80,-66,-68,-66,-60,-64,-65,-40,-57,-63,-60,-68,-62,-75,-60,-66,-68,-63,-80,-73,-79,-68,-62,-62,-70,-38
2020-04-03,-71,-63,-71,-62,-75,-70,-81,-70,-70,-66,-63,-66,-68,-47,-60,-66,-66,-73,-65,-79,-65,-69,-69,-61,-81,-75,-81,-72,-71,-66,-73,-39
2020-04-04,-74,-64,-75,-62,-77,-73,-82,-76,-74,-70,-69,-66,-69,-51,-63,-75,-62,-78,-68,-81,-69,-69,-72,-67,-83,-80,-83,-78,-71,-70,-76,-47
2020-04-05,-79,-66,-80,-64,-80,-79,-83,-79,-81,-74,-70,-73,-73,-62,-66,-83,-78,-82,-71,-84,-73,-72,-76,-73,-89,-85,-86,-80,-73,-75,-81,-50
2020-04-06,-69,-62,-69,-65,-74,-69,-79,-69,-71,-67,-61,-64,-65,-47,-57,-64,-62,-69,-61,-78,-63,-67,-72,-63,-77,-75,-79,-71,-67,-63,-72,-41
2020-04-07,-67,-62,-67,-60,-72,-66,-78,-62,-66,-66,-57,-62,-63,-42,-54,-61,-62,-66,-59,-75,-61,-65,-69,-62,-74,-72,-80,-69,-62,-60,-70,-40
2020-04-08,-65,-65,-65,-57,-71,-66,-77,-62,-65,-65,-56,-61,-61,-42,-51,-59,-62,-64,-57,-74,-61,-61,-66,-56,-74,-72,-78,-66,-59,-59,-69,-39
2020-04-09,-76,-67,-77,-66,-80,-76,-82,-79,-76,-75,-68,-73,-71,-51,-61,-73,-69,-75,-64,-79,-69,-69,-77,-68,-83,-82,-83,-76,-66,-69,-80,-51
2020-04-10,-82,-77,-83,-72,-84,-84,-87,-85,-82,-79,-75,-78,-76,-62,-68,-82,-78,-81,-71,-85,-75,-76,-82,-75,-89,-86,-85,-83,-77,-78,-84,-48
2020-04-11,-77,-67,-77,-74,-79,-75,-84,-82,-75,-69,-71,-70,-72,-53,-65,-79,-64,-78,-65,-81,-70,-71,-80,-62,-84,-83,-85,-83,-84,-72,-79,-45
