date,total,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Faro District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District
2020-03-15,-62.184328910156125,-68.23483511246789,-46.067193196991596,-49.79879972993656,-67.07670701547029,-59.029968790958115,-54.977983461799674,-64.63343060495647,-47.4450228099503,-63.69826608598765,-48.78609499803123,-56.63484190755032,-67.87540847320295,-57.9877170434016,-60.19680078429741,-68.57630529185698,-63.43106675686483
2020-03-16,-49.66797393886644,-50.852216115218575,-42.38774179263082,-43.34903054127936,-49.74965913482182,-51.8174699297035,-44.658199061338095,-50.97900770312973,-40.56299880249649,-53.87388332394175,-44.74537236210867,-46.08263616692041,-53.08281597425281,-45.29769194834939,-46.5361801574369,-46.7884038309648,-51.95646347083476
2020-03-17,-53.88584909178782,-52.61961305177984,-52.2710983223265,-51.817539959356644,-55.630821934400494,-58.75440502443631,-46.43134138009872,-54.72039252467624,-51.564120801376,-57.88806471812144,-53.93469561250236,-48.95440254639691,-56.55673903196784,-49.29086097848737,-49.02888247242433,-52.33248431598589,-56.28777652289656
2020-03-18,-54.75975132309319,-55.63441404891626,-57.7941222154901,-51.88200878460504,-56.925526737063656,-60.58766952671329,-50.05451023740363,-54.87108452492837,-51.48777051423187,-58.897366540941,-58.197763872269164,-50.244393861241974,-57.05383950278895,-50.317593237564374,-49.745044357320985,-54.652483483574514,-59.182714266602
2020-03-19,-66.54506114015847,-65.16986782673912,-66.58691473772495,-62.897517910630356,-66.1264207035305,-69.94726940211693,-61.48911582472826,-67.03490439241398,-64.25735603908724,-71.2296532619701,-68.72693607673722,-60.187117098206244,-67.45248772380282,-64.1712482262372,-63.577773314330216,-65.10348179563151,-67.07650818754223
2020-03-20,-76.97362776706927,-76.20452184441797,-73.26974479755324,-77.47998129330973,-75.96308997920376,-79.13081464890942,-75.10723325390879,-77.7781882065674,-76.15845704767817,-79.7358034151243,-77.30601203051945,-76.87637973401421,-78.85015375148625,-76.83331535367134,-74.6252157950992,-74.47627843268958,-76.78385857571546
2020-03-21,-80.31760068868529,-79.21642863259714,-77.34349183071379,-81.48859511397897,-80.84669334066493,-84.51196264515457,-78.87744318154994,-79.02307689654837,-78.42701495444805,-82.09020139345053,-80.92995693863008,-83.33401482797072,-82.00038347936426,-80.42253995512081,-79.13254173021646,-81.22675848485677,-83.3425662463097
2020-03-22,-82.73579590407826,-83.18149490403096,-82.18563449170608,-81.24034202570901,-83.76605007155814,-87.50680496881164,-81.23682767616096,-82.14921603553682,-80.7805125556658,-83.54946762207084,-86.5453871096573,-86.31232066871792,-83.97337139456127,-83.13253467837475,-81.05633039832337,-84.01649769008911,-85.88347461582657
2020-03-23,-73.50116328450335,-71.49371439833247,-72.17341061015877,-72.18199096767248,-72.05003284090141,-75.37147423688111,-71.32933490428925,-72.42814228678796,-72.82767577101558,-76.26560883989774,-81.12438904259777,-71.14532456962444,-75.3328789085252,-72.69167987480297,-69.31662996740062,-70.40264690461025,-74.98670128930318
2020-03-24,-73.30643073250471,-71.08659567167918,-74.47763579699838,-73.18751219729306,-72.55653062137692,-78.73564855316809,-69.76954629542828,-72.89077632577857,-72.97369569517873,-76.37977891301135,-80.42655104568405,-73.30202879913102,-74.87913022295011,-72.09492187633474,-69.31376149523147,-70.20843666501418,-74.96065553152908
2020-03-25,-73.52909623253595,-71.71174480644538,-72.72446279382282,-74.01117360643681,-73.24826187585495,-78.85620770102139,-71.79736759222227,-73.53001754977807,-74.5169258740794,-76.4517348414443,-80.40056259614381,-73.33658213792151,-75.01303907071005,-73.14189956023861,-69.2210142284291,-72.00512055644982,-76.93820380696934
2020-03-26,-73.8156084709274,-72.31374026955358,-73.47073939857557,-74.85215499848312,-72.66940726959719,-79.33270338063198,-71.75700337683587,-73.36300858134577,-73.83836269708597,-76.77313798844483,-79.15600462371697,-74.86076830456881,-75.0910722841529,-73.30097075530689,-69.85016579086168,-72.12853494515866,-76.39992481297145
2020-03-27,-74.84194479006777,-73.26207607121282,-75.13255121946825,-76.843953032277,-73.91394467305135,-78.67823943514271,-73.42731305163585,-74.8315357175608,-73.53296154850946,-77.63277148012385,-80.04057444325313,-75.40594320548547,-76.82610706699948,-74.54943861963058,-70.5825823513835,-72.63175950687067,-77.98485740640965
2020-03-28,-79.05742569030065,-78.06453346761127,-76.8953411891999,-80.67359369628649,-79.63881672894044,-83.13414381254557,-76.7938808254128,-78.60459465380997,-78.8164014188831,-80.44864681280009,-83.38345908226196,-82.9875216250994,-80.5745914312727,-79.3350714215632,-77.29480722718392,-80.42025980515481,-82.80332259461647
2020-03-29,-83.16835755646866,-83.78445510345824,-82.83285634093107,-83.13976681735593,-83.64642011959822,-84.54066720416726,-80.76783393548065,-82.98138141272534,-82.1538633456708,-83.84208839769816,-88.98156362026235,-85.04728454299934,-84.26141992319599,-83.13253467837475,-81.81743168053664,-85.15210140634797,-85.91434366207734
2020-03-30,-74.25934330253085,-72.85206313560226,-71.66371138268589,-74.92817047899989,-72.95208126898639,-78.84185542151504,-72.44607819664691,-73.76133456927337,-74.95689440374746,-76.93240044337644,-79.53909362064341,-73.84048499528286,-75.86080731552127,-72.35232799199068,-70.44680800204395,-71.37178470121532,-76.083517088901
2020-03-31,-71.64641553513925,-69.98679626792381,-71.60793297666055,-72.99891682790967,-71.50012096495655,-80.63876081570928,-70.75270325591183,-72.80823166322008,-70.70895530276604,-73.5965236012247,-79.85673022613517,-72.78372871727363,-74.02076487507875,-70.36152788401506,-66.28656719939326,-69.25843288216241,-75.36388244817984
2020-04-01,-72.62167446359148,-69.21693668529505,-74.53052911305689,-74.75497064997433,-70.79681261835339,-77.2372705727058,-69.16888832836845,-73.03858886105775,-73.1273506480563,-76.75203091610449,-81.16000284381958,-72.32109790346759,-72.13062703835195,-73.3539944869963,-70.00888791755439,-69.73486982461979,-74.4194825644452
2020-04-02,-70.03667964423246,-67.76693799771232,-75.84516844127467,-73.37995645176589,-69.14128844445625,-77.09757505217739,-68.37313665360759,-70.05642297071783,-70.94850432868074,-72.49415877763188,-80.60076991112044,-70.63278337756546,-71.4842037516834,-67.99281317927122,-65.08276504574188,-67.71718807433342,-73.03326945624636
2020-04-03,-72.27211357106931,-69.71281115330405,-77.40888720329521,-73.82161601578106,-70.59807253687157,-77.72142080138647,-70.36347689325706,-72.26209314001333,-71.3483889575981,-75.11335457259138,-83.74344723515263,-73.93550667695673,-74.04388582720996,-71.69386965119293,-67.91394707668849,-68.94367835592048,-74.38089625663173
2020-04-04,-77.8275778926371,-75.28319865969307,-79.9179537777796,-80.99978670761797,-76.7995348852462,-80.83682227289681,-75.30521011985171,-77.55838904696398,-78.22086917915891,-79.99100710796651,-83.98215595685555,-82.79075955698688,-78.33763931257766,-78.28905780550822,-76.9467659373276,-78.49633472225968,-79.67686700403023
2020-04-05,-83.98958622862688,-84.48485367111297,-85.72948666762596,-86.51523904080953,-83.94549499949805,-87.50680496881164,-83.55200374439639,-83.89225216584171,-82.58524246803512,-84.66910186848759,-87.8910112747406,-87.83074794556678,-84.4907026984972,-85.61018905004416,-82.74107971900148,-86.40537930718966,-87.26486443554873
2020-04-06,-71.58975155484457,-68.8657726651486,-71.0270681966726,-70.41727715415654,-68.5392796539482,-74.37925331367589,-67.85609027556248,-69.97867741644762,-68.70571464382198,-75.92501744531509,-78.90574547999618,-72.22319677689453,-72.61038679507465,-71.33620047925156,-68.59568729555538,-67.7592829045907,-71.14832831955844
2020-04-07,-68.1340468410982,-64.89202376684301,-71.85797410711895,-70.3508838863634,-66.6898391869547,-71.59969518261398,-64.85664465125251,-67.62231524689999,-69.5503396953539,-71.61053997647521,-77.38493991430832,-68.38105746638502,-69.72219452468374,-66.3529337682947,-62.80902277299922,-64.42231090601373,-69.05019783220112
2020-04-08,-66.54107071901096,-62.66637707871702,-68.99211807340355,-69.91980875634425,-66.06467621219633,-70.99402898744626,-64.50970460947873,-66.27184617457677,-68.58259980580209,-70.54079517377197,-74.51851018353713,-66.99220521000049,-67.19912062336492,-65.65784084923882,-61.5076925655969,-65.0317292440566,-69.13122907860941
2020-04-09,-70.6895125439656,-68.5580217793609,-70.97802166723655,-74.1160557251245,-68.15820037149517,-77.99220047473949,-68.72295985362322,-69.52564159403359,-72.21591909527326,-74.2604369675661,-83.49030048592738,-74.36358415197228,-71.51021482283102,-69.53242953396227,-66.22441696906178,-68.94272165523283,-73.68055476981729
2020-04-10,-81.05822285366372,-80.75904200681191,-85.68813371143476,-83.52657976884633,-77.21148641336629,-87.38624582095835,-80.64097497283761,-81.03390326933953,-81.59459749234006,-83.0189125764252,-90.23767201470707,-84.22760256169154,-81.85491415553871,-84.25760185803942,-76.65513793346449,-78.44849968787639,-85.41272166050226
2020-04-11,-77.99996408620966,-77.00042930766199,-76.00000160282774,-80.99978670761797,-75.99975077093342,-78.99973049608481,-76.00005125614652,-76.99977284220768,-78.99964210802901,-79.99964181937845,-84.99955562959737,-81.99987202467116,-79.00043994033915,-78.99957581014648,-77.00031075115166,-77.99980706536132,-80.00002733196801
