date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-03-25,-30,-26,-28,-36,-29,-32,-33,-27,-31,-26,-34,-30,-29,-29,-27,-29,-30
2020-03-26,-30,-29,-29,-38,-30,-33,-35,-28,-31,-28,-34,-31,-31,-29,-30,-29,-30
2020-03-27,-28,-26,-27,-35,-26,-31,-32,-27,-30,-26,-32,-28,-28,-26,-28,-26,-28
2020-03-28,-34,-32,-31,-39,-34,-36,-36,-35,-36,-31,-35,-31,-33,-33,-32,-30,-34
2020-03-29,-59,-61,-63,-65,-55,-65,-44,-65,-54,-62,-46,-47,-64,-58,-44,-60,-66
2020-03-30,-32,-27,-28,-37,-31,-34,-33,-28,-34,-29,-34,-26,-30,-31,-28,-28,-31
2020-03-31,-25,-23,-23,-33,-25,-29,-29,-23,-27,-22,-26,-22,-24,-22,-24,-24,-24
2020-04-01,-38,-34,-35,-42,-34,-40,-40,-35,-40,-33,-39,-38,-39,-36,-33,-39,-39
2020-04-02,-35,-33,-34,-41,-32,-37,-38,-33,-36,-31,-36,-35,-36,-33,-33,-36,-36
2020-04-03,-33,-32,-32,-40,-30,-37,-37,-33,-35,-31,-35,-34,-35,-32,-32,-34,-36
2020-04-04,-44,-42,-43,-46,-41,-47,-45,-44,-45,-42,-42,-43,-44,-44,-40,-43,-46
2020-04-05,41,43,46,1,59,40,34,35,32,84,37,45,53,65,50,51,53
2020-04-06,-37,-34,-35,-40,-34,-40,-36,-34,-39,-32,-36,-34,-37,-36,-31,-36,-38
2020-04-07,-29,-28,-29,-35,-26,-31,-31,-27,-30,-24,-27,-28,-28,-26,-26,-27,-30
2020-04-08,-25,-21,-24,-30,-20,-28,-27,-22,-27,-19,-25,-25,-26,-23,-19,-25,-28
2020-04-09,-18,-17,-17,-24,-14,-23,-21,-16,-19,-14,-18,-20,-21,-17,-14,-19,-23
2020-04-10,-16,-15,-13,-26,-11,-20,-20,-18,-17,-16,-22,-14,-15,-16,-16,-15,-20
2020-04-11,-57,-57,-54,-62,-56,-60,-58,-59,-56,-59,-60,-53,-54,-58,-58,-53,-59
