date,total,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Koprivnica-Križevci County,Krapina-Zagorje County,Primorje-Gorski Kotar County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County
2020-03-14,1.1505716463581601,1.636259099491968,NA,16.818196137513024,3.0664702953311473,NA,NA,-1.492226751638791,NA,-1.3773786451861056,NA
2020-03-15,2.860262756231012,0.7728873626632566,NA,11.884069309717272,-1.6637132232119223,NA,NA,18.735419463800774,NA,25.0667641034181,NA
2020-03-16,12.843975602628754,13.542494666763016,NA,16.982286231975607,-4.7480830379320995,NA,NA,3.9726265620918193,NA,9.650241235503485,NA
2020-03-17,17.094545289997146,26.3413208833537,NA,30.291239146773027,-7.1805335149044565,NA,NA,20.1507566690765,NA,14.698720552474594,NA
2020-03-18,13.720902039058005,18.926314929607553,NA,15.454586681630932,-2.41266679764764,NA,NA,7.509545694792923,NA,17.83910568252469,NA
2020-03-19,13.397574845770242,25.372384043331962,NA,31.14284596613579,-11.06755546222744,NA,NA,10.493049944411702,NA,5.817825947615602,NA
2020-03-20,4.359396889011589,16.363533540483903,NA,3.040859472066082,-12.439223895407826,NA,NA,2.6313311422027534,NA,-2.8750273591826403,NA
2020-03-21,-28.000134938720244,-9.81849714251603,NA,-51.818197868421166,-26.833263724091267,NA,NA,-22.015090854966182,NA,-32.836592358314086,NA
2020-03-22,-55.9324500271411,-38.654736134369294,NA,-35.2409441480937,-49.898207576807856,NA,NA,-62.103971373547246,NA,-51.80394582920327,NA
2020-03-23,-50.797067874238884,-28.213216373901542,NA,-70.44346213482591,-59.354806294022616,NA,NA,-53.41355412720301,NA,-60.82706456305238,NA
2020-03-24,-59.20751791427299,-39.51245259781266,NA,-76.03602643027531,-63.02891816861293,NA,NA,-59.98428795343947,NA,-62.25121490166476,NA
2020-03-25,-57.71311539895517,-41.40225645408075,NA,-79.48087986908789,-57.11077181061899,NA,NA,-60.9136072854079,NA,-54.97869383605635,NA
2020-03-26,-58.78719256299891,-38.61043649285079,NA,-80.31690851492573,-58.28931385039142,NA,NA,-66.59299192602806,NA,-57.38314068790929,NA
2020-03-27,-51.08254212782466,-26.952090408970516,NA,-63.86635727260102,-64.9611241826603,NA,NA,-53.38792427841532,NA,-59.41818661413021,NA
2020-03-28,-41.04126126896349,-15.545403990737917,NA,-47.72736950077489,-45.233027576046,NA,NA,-41.790892328815374,NA,-47.5334038620774,NA
2020-03-29,-43.91887328922458,-22.419388790619788,NA,-55.320171276825135,-28.27558815485993,NA,NA,-46.14416960808732,NA,-32.58650697713684,NA
2020-03-30,-40.52157195097169,-29.341443414277048,NA,-61.63867845853621,-41.15287923531506,NA,NA,-51.64699306817006,NA,-38.309835013544244,NA
2020-03-31,-41.8006858717345,-15.56519744758661,NA,-46.981694261381634,-51.06167633709479,NA,NA,-41.708307260499495,NA,-54.758198709903894,NA
2020-04-01,-33.52035531192595,-8.280262781703305,NA,-40.84389389255973,-47.45822046009275,NA,NA,-37.131955371408765,NA,-43.866121287714954,NA
2020-04-02,-21.655035921175518,NA,NA,-23.493962765395803,-32.46501777186073,NA,NA,-26.63700691967946,NA,-31.99756544970799,NA
2020-04-03,-25.079938361294428,0.9623390210721768,NA,-31.28097243805683,-36.627127069794064,NA,NA,-29.326242535069216,NA,-36.178382127403864,NA
2020-04-04,-30.972379308236285,-14.727274440991934,NA,-20.000297716205125,-39.1000869853837,NA,NA,-35.82103606860141,NA,-44.08852546257868,NA
2020-04-05,-30.056811329194595,-20.87361406529327,NA,-10.654432146149569,-48.23543643356378,NA,NA,-29.837890257164197,NA,-24.509321879725317,NA
2020-04-06,-9.568907715496858,2.2573966263152436,NA,-3.1447139622322733,-26.116340868562236,NA,NA,-22.513449025837915,NA,-18.423274588175346,NA
2020-04-07,-5.303354572829765,15.56519744758661,NA,NA,-21.54160054471337,NA,NA,-11.715688656950356,NA,-14.41045419707182,NA
2020-04-08,-7.582416984053262,29.573309623076028,NA,-7.7267740683646355,-24.935914668854117,NA,NA,-19.609682083558617,NA,-16.668858822512103,NA
2020-04-09,-7.738560360323938,25.372384043331962,NA,-3.27868625454666,-28.038184002963323,NA,NA,-18.96893586386639,NA,-20.626316800988604,NA
2020-04-10,-17.130032420967755,18.28915412819248,NA,-23.46072932854262,-33.86306444414074,NA,NA,-24.062630997004906,NA,-29.949156182508144,NA
2020-04-11,-20.999706902584954,-17.999792639975873,NA,-4.999555156600451,-22.999940334935374,NA,NA,-24.999544358243764,NA,-31.000087498065938,NA
