date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-04-02,-40,-39,-45,-41,-42,-47,-43,-35,-35,-42,-42,-40,-39,-41,-39,-40,-46,-54,-41,-41,-34
2020-04-03,-37,-35,-45,-38,-38,-46,-39,-29,-29,-40,-39,-39,-34,-34,-36,-36,-43,-50,-40,-38,-29
2020-04-04,-48,-43,-57,-43,-45,-47,-46,-42,-42,-47,-49,-53,-44,-42,-49,-42,-48,-58,-49,-44,-44
2020-04-05,-82,-79,-87,-81,-79,-91,-74,-93,-94,-71,-78,-77,-86,-81,-80,-92,-93,-93,-81,-86,-95
2020-04-06,-39,-35,-42,-43,-43,-45,-45,-32,-35,-40,-42,-39,-37,-40,-38,-37,-44,-51,-39,-38,-34
2020-04-07,-38,-34,-42,-40,-41,-43,-39,-33,-32,-39,-40,-39,-35,-39,-36,-35,-44,-49,-40,-36,-34
2020-04-08,-37,-32,-44,-38,-37,-41,-36,-31,-32,-37,-40,-37,-34,-32,-36,-35,-41,-49,-39,-36,-32
2020-04-09,-32,-27,-39,-34,-32,-38,-32,-28,-25,-33,-36,-33,-29,-32,-31,-32,-37,-45,-33,-30,-25
2020-04-10,-27,-22,-37,-28,-24,-33,-30,-20,-16,-30,-29,-29,-22,-24,-25,-24,-32,-40,-29,-24,-16
2020-04-11,-42,-38,-49,-40,-41,-43,-42,-38,-36,-41,-43,-47,-40,-39,-42,-34,-41,-53,-44,-39,-38
