date,CZ,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysocina Region,Zlin Region
2020-03-14,-26,3,-24,-21,-26,-32,-37,-42,-22,-37,-25,-21,-16,-16,-33
2020-03-15,-31,7,-37,-35,-32,-34,-46,-48,-23,-43,-34,-26,-22,-27,-38
2020-03-16,-50,-36,-48,-48,-45,-49,-57,-56,-44,-58,-49,-47,-40,-42,-54
2020-03-17,-56,-40,-51,-52,-47,-53,-64,-61,-52,-65,-55,-51,-44,-45,-58
2020-03-18,-55,-39,-55,-53,-47,-53,-62,-63,-51,-65,-50,-50,-47,-45,-58
2020-03-19,-58,-41,-59,-56,-54,-55,-65,-64,-50,-68,-51,-53,-47,-48,-58
2020-03-20,-59,-45,-65,-60,-57,-59,-68,-67,-53,-69,-59,-52,-55,-51,-62
2020-03-21,-66,-53,-69,-63,-66,-68,-74,-74,-64,-72,-70,-62,-57,-58,-71
2020-03-22,-65,-41,-72,-68,-66,-69,-76,-77,-59,-71,-69,-61,-55,-64,-72
2020-03-23,-60,-46,-59,-57,-54,-61,-66,-66,-52,-68,-57,-57,-49,-49,-62
2020-03-24,-59,-44,-59,-54,-52,-59,-65,-65,-50,-68,-52,-54,-48,-48,-59
2020-03-25,-58,-43,-57,-53,-53,-58,-65,-64,-49,-67,-51,-53,-48,-46,-61
2020-03-26,-60,-45,-58,-58,-56,-58,-65,-65,-52,-69,-54,-55,-50,-49,-60
2020-03-27,-56,-38,-61,-59,-56,-58,-67,-66,-49,-65,-56,-49,-48,-50,-62
2020-03-28,-49,-15,-55,-52,-50,-53,-62,-63,-45,-62,-51,-42,-41,-40,-54
2020-03-29,-61,-37,-69,-70,-66,-63,-74,-73,-55,-71,-60,-50,-56,-55,-65
2020-03-30,-58,-43,-59,-57,-52,-60,-64,-65,-47,-66,-53,-52,-49,-48,-61
2020-03-31,-59,-46,-60,-55,-56,-59,-62,-65,-52,-68,-52,-52,-52,-46,-58
2020-04-01,-55,-40,-54,-53,-54,-55,-61,-61,-47,-65,-47,-50,-46,-44,-58
2020-04-02,-56,-38,-57,-53,-56,-57,-62,-63,-46,-65,-48,-50,-44,-43,-59
2020-04-03,-58,-43,-65,-60,-59,-59,-66,-66,-50,-67,-55,-49,-50,-51,-60
2020-04-04,-51,-22,-58,-53,-57,-55,-63,-64,-43,-63,-49,-45,-43,-46,-52
2020-04-05,-46,2,-57,-59,-51,-50,-61,-64,-39,-61,-48,-36,-35,-44,-56
2020-04-06,-51,-33,-55,-51,-48,-52,-56,-62,-40,-62,-41,-45,-40,-41,-56
2020-04-07,-45,-24,-47,-44,-41,-43,-53,-58,-36,-57,-38,-37,-34,-34,-51
2020-04-08,-44,-24,-43,-45,-37,-44,-53,-58,-33,-57,-34,-38,-35,-34,-49
2020-04-09,-42,-19,-41,-42,-38,-38,-51,-55,-27,-56,-32,-35,-27,-30,-45
2020-04-10,-58,-35,-65,-63,-62,-60,-69,-72,-53,-67,-62,-53,-49,-56,-68
2020-04-11,-37,6,-38,-43,-33,-39,-48,-55,-28,-54,-32,-31,-21,-23,-38
