date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-03-14,1,2,0,2,1,3,3,4,2,0,2,1,0,1,2,2,0,2,2,2,3,1,1,0,1,1,2,1
2020-03-15,3,3,2,4,4,2,5,5,4,1,4,1,1,1,4,5,1,5,4,3,6,4,2,2,2,2,3,2
2020-03-16,1,4,-3,1,1,-1,2,1,0,2,0,0,0,0,-1,0,0,2,2,4,1,2,-2,-2,0,2,2,2
2020-03-17,4,6,-1,1,3,2,3,3,3,5,1,1,0,2,0,1,1,3,4,9,2,3,2,3,2,5,11,4
2020-03-18,7,11,6,6,6,5,7,6,7,8,4,3,4,6,4,6,6,7,7,11,7,7,6,5,8,7,6,5
2020-03-19,10,14,9,6,16,9,9,17,10,12,6,5,7,9,8,8,8,8,9,14,9,11,5,7,19,10,9,13
2020-03-20,13,20,12,8,14,8,11,15,12,17,8,9,8,11,10,11,13,9,13,16,10,14,8,7,25,13,11,13
2020-03-21,16,21,12,13,17,9,14,17,16,18,9,10,12,15,12,13,17,12,15,18,13,18,12,9,23,16,14,13
2020-03-22,17,21,13,15,15,10,16,17,19,17,11,12,14,16,13,18,18,15,16,18,18,22,14,12,24,17,15,13
2020-03-23,20,25,17,18,18,15,18,20,20,22,14,17,16,19,15,19,21,18,21,20,18,24,15,14,28,21,19,16
2020-03-24,22,27,17,18,19,12,19,20,20,24,15,19,17,20,15,19,22,18,22,23,19,25,17,16,27,24,19,19
2020-03-25,23,28,17,18,18,16,20,23,21,24,17,18,18,21,16,20,23,19,23,23,20,26,17,18,27,24,20,19
2020-03-26,22,27,17,17,18,16,20,20,21,24,15,18,18,21,15,19,22,18,22,24,19,26,17,18,25,24,20,19
2020-03-27,23,28,17,20,18,16,21,22,22,24,16,18,18,21,16,20,23,21,25,24,20,26,16,16,27,24,20,18
2020-03-28,19,23,13,16,15,13,19,19,17,19,13,13,15,17,13,17,19,18,21,19,17,20,13,13,21,20,17,14
2020-03-29,17,20,11,17,11,13,17,16,16,15,11,11,14,15,12,17,17,17,18,17,19,20,12,12,20,17,18,11
2020-03-30,20,23,15,16,17,16,19,20,18,20,14,14,15,18,14,18,20,20,22,20,19,23,13,14,22,22,17,14
2020-03-31,19,24,12,15,16,15,17,19,18,20,14,13,14,17,13,16,19,18,20,21,17,21,12,14,21,22,16,14
2020-04-01,20,24,13,15,16,15,17,19,19,20,15,13,14,18,13,17,19,18,20,21,18,21,13,13,21,22,16,14
2020-04-02,20,24,13,16,17,16,17,19,19,20,15,13,14,18,14,17,19,18,20,22,18,23,13,14,20,22,16,14
2020-04-03,20,24,15,17,18,16,19,20,19,21,16,14,14,18,16,18,20,19,22,22,18,23,13,14,21,23,18,14
2020-04-04,16,19,10,13,13,14,17,17,15,16,14,11,12,15,12,15,16,16,19,17,16,18,10,12,17,18,15,11
2020-04-05,15,17,10,14,11,13,16,15,16,13,12,9,11,13,12,16,14,16,17,16,18,18,9,11,17,15,14,9
2020-04-06,18,21,11,15,15,16,18,18,16,17,15,12,12,16,12,16,18,19,20,19,17,21,11,12,18,21,17,13
2020-04-07,17,20,11,13,14,14,15,17,15,17,12,11,11,15,11,15,16,17,18,20,16,18,10,12,16,20,15,12
2020-04-08,18,20,11,13,14,16,15,18,16,16,13,13,11,16,12,15,16,17,18,20,16,18,11,12,16,20,15,12
2020-04-09,16,17,12,12,14,17,14,17,16,15,12,8,9,14,11,15,13,16,18,19,15,17,10,12,13,18,14,11
2020-04-10,27,27,20,18,22,26,23,24,27,26,21,23,21,27,23,22,29,23,25,28,23,30,19,20,28,30,21,21
2020-04-11,16,16,10,13,14,18,17,18,14,13,13,11,11,14,14,15,15,17,18,18,16,17,11,13,16,18,14,11
