date,total,Blekinge County,Dalarna County,Halland County,Jamtland County,Kronoberg County,Norrbotten County,Skåne County,Stockholm County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County,Örebro County
2020-03-10,-5.815903295050861,-3.8131804332760852,-0.5385425416353985,-4.096584180973742,4.649602319784754,-4.18368,2.0408795414823966,-8.165754726627219,-7.437728274070154,-1.5108765951569414,1.6693983798829424,2.0211560351089295,-7.090081322955992,-6.179854020048616,-8.22114041948419
2020-03-11,-7.418698535394219,-6.083495481289348,0.7936416403047978,-1.6999880437635273,1.375395920396476,-8.834879999999998,-1.9807395549938465,-6.467635651747379,-9.492095000447751,-2.8924700078419607,-5.840992964692938,-8.256005916979772,-6.498673798692411,-7.671276797912362,-9.513858726130852
2020-03-12,-16.033621714541415,-15.627318774113059,-4.082562969893029,-15.257416290612804,-2.467116432211179,-16.8672,-3.9362591156537854,-16.624255066965105,-19.832982976079524,-7.35370460299247,-8.443961509180122,-11.5314084731653,-12.776542485529834,-17.11856222069352,-12.316542473470777
2020-03-13,-19.659551118794678,-11.82896408124629,-6.9189521819183035,-16.607212460841478,-7.684069569159479,-19.548479999999998,-14.476276747663157,-23.42451198080235,-22.184667015798418,-12.319529529731152,-12.258099493286252,-11.714279530818452,-16.840523795354244,-21.34779731652448,-18.913222341074984
2020-03-14,-13.524546598531447,2.086475866937744,-3.2605769852916318,3.2159129734049627,1.0936307839263646,-7.0512,-3.6462291808138443,-13.874780482380167,-21.26969696119327,-4.999592922160454,-9.79393058630642,-8.533663543782989,-9.7601695698368,-11.933311618482886,-7.428481957422269
2020-03-15,-30.611040375956318,-1.5033300775046463,-25.54020899360181,-28.34571957480218,-24.103813504948242,-27.67296,-13.592606946194307,-34.48271008010576,-31.763079945925902,-27.278751501575584,-15.027437466292524,-18.923803426777827,-29.55286743778968,-38.16440913005671,-26.934730259002837
2020-03-16,-25.51594949318721,-16.37947800421236,-13.750916548581527,-18.86410941400005,-7.65350521537289,-30.03936,-18.168095918234453,-27.936295708389732,-31.207767931652967,-17.290178455815802,-17.740685174826645,-14.435324273489972,-21.733253806942756,-23.35436871235669,-19.44166131578293
2020-03-17,-32.026748349741155,-18.113101249408384,-19.12363587956117,-22.24048766638325,-16.736849106324616,-26.778239999999997,-23.13449480245017,-32.708730015626486,-39.74269300076325,-21.15806113141234,-22.53212471617632,-17.857215163816505,-34.26661885650895,-30.64844867576405,-28.224512793567786
2020-03-18,-37.1542352959836,-26.206967130200987,-23.006811048195363,-32.019430549997985,-16.96417148761237,-35.34144,-21.79298510384268,-39.75504885726705,-44.50072910233154,-26.75197077299596,-22.832540369959354,-22.12644053593906,-39.28871926403011,-36.01313306625584,-33.43550823860449
2020-03-19,-35.32709731608738,-22.06169011175622,-20.668891339317188,-24.298218890927664,-24.256635273881184,-32.93184,-28.213413661386397,-37.44906928880193,-42.72162066282152,-22.761558514011853,-30.194625252541076,-28.361290417809904,-33.873644119991695,-34.81594311326172,-31.707317073170724
