date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-02-26,5,16,5,4,15,-4,-10,2,-2,-12,3,-3,2,0,-5,-8,-12,3,5,-9,-16,15,6,6,12
2020-02-27,-5,4,-7,-2,-2,-9,-13,-5,-10,0,5,0,-4,-2,-7,-7,-18,4,0,-7,-10,4,8,-28,2
2020-02-28,-8,7,-15,-1,-5,-19,-13,-13,-13,-1,6,-2,-23,-1,-11,-8,-21,2,2,-13,8,0,7,-8,3
2020-02-29,-8,5,-11,-8,-3,-7,-15,-16,-13,8,-11,13,-17,-6,-9,-7,-17,-10,8,-13,7,4,13,-10,-8
2020-03-01,-11,1,-16,-19,1,3,-21,-16,-16,-3,-17,-6,-18,-10,-10,-13,-18,-16,-10,-20,10,1,4,20,-2
2020-03-02,-8,1,-12,5,4,-24,-18,-10,-16,4,-3,10,-16,4,-10,-14,-21,-2,17,-14,-1,1,12,0,13
2020-03-03,-6,15,-11,-3,1,-13,-20,-10,-18,-6,-10,-7,-21,-3,-8,-2,-20,-6,1,-17,2,1,1,9,5
2020-03-04,-1,19,-4,0,11,-8,-20,-6,-13,-12,4,-10,-18,-5,-4,-10,-23,2,-2,-19,8,14,0,14,7
2020-03-05,-9,8,-15,2,2,-19,-19,-11,-17,1,-5,-8,-13,10,-7,-11,-30,2,-1,-14,24,-1,3,17,3
2020-03-06,-7,11,-14,8,8,-25,-15,-16,-14,-9,-4,-5,-17,2,-6,-10,-25,3,2,-15,6,5,3,1,5
2020-03-07,-10,16,-14,-7,1,-33,-19,-21,-18,-4,-5,11,-22,-3,-10,-12,-28,-2,6,-14,-29,1,0,-30,-11
2020-03-08,-12,-5,-23,-11,13,-20,-19,-18,-14,-8,-11,11,-1,1,-11,-7,-22,-6,-2,-18,-13,6,2,4,0
2020-03-09,-9,23,-24,5,7,-37,-17,-14,-16,1,-1,11,-25,9,-2,-7,-24,0,24,-15,0,8,6,1,12
2020-03-10,-9,15,-18,3,4,-20,-19,-15,-21,-6,-5,-10,-11,-2,-7,-6,-27,-7,10,-15,1,4,0,9,-6
2020-03-11,-24,-28,-43,-2,12,-10,-35,-10,-24,-17,-5,-24,-23,-7,-8,-18,-30,3,5,-28,-6,-9,-1,-7,17
2020-03-12,-16,-1,-21,-5,-3,-28,-24,-18,-23,0,-16,-5,-22,-6,-17,-18,-35,-8,3,-19,-3,-5,-6,-13,3
2020-03-13,-17,0,-25,-4,-11,-45,-22,-27,-26,-10,-12,-14,-22,-5,-22,-33,-42,-1,1,-20,8,-6,-4,-1,0
2020-03-14,-40,-50,-54,-24,-20,-40,-38,-38,-45,-16,-27,-14,-36,-19,-28,-23,-38,-15,-9,-38,-15,-25,-28,-17,-24
2020-03-15,-44,-30,-47,-26,-35,-27,-66,-47,-62,-30,-42,-7,-45,-23,-41,-27,-38,-34,-23,-53,-11,-52,-45,6,-48
2020-03-16,-39,-29,-43,-32,-37,-54,-45,-48,-44,-29,-39,-27,-49,-26,-40,-42,-48,-41,-19,-41,-44,-26,-36,-45,-35
2020-03-17,-54,-48,-62,-35,-49,-56,-58,-55,-66,-41,-48,-41,-56,-41,-47,-41,-51,-44,-32,-56,-33,-58,-34,-61,-30
2020-03-18,-49,-42,-52,-38,-63,-63,-52,-60,-58,-64,-58,-41,-58,-47,-61,-52,-56,-57,-39,-52,-58,-35,-38,-69,-31
2020-03-19,-55,-48,-57,-45,-67,-71,-55,-60,-63,-53,-60,-41,-59,-47,-63,-61,-66,-60,-46,-54,-59,-45,-42,-77,-35
2020-03-20,-80,-85,-82,-69,-75,-86,-79,-80,-83,-71,-77,-70,-75,-74,-75,-83,-83,-75,-69,-81,-79,-76,-75,-85,-69
2020-03-21,-85,-88,-88,-76,-79,-90,-85,-87,-90,-78,-80,-78,-80,-80,-80,-88,-88,-79,-73,-86,-85,-83,-79,-89,-76
2020-03-22,-90,-92,-92,-80,-85,-92,-91,-91,-93,-85,-83,-88,-85,-86,-86,-91,-91,-85,-82,-90,-88,-90,-79,-85,-81
2020-03-23,-88,-92,-90,-80,-83,-92,-88,-87,-90,-80,-84,-82,-84,-84,-83,-91,-90,-84,-81,-89,-88,-87,-81,-85,-82
2020-03-24,-88,-91,-90,-79,-83,-90,-89,-87,-90,-83,-84,-83,-85,-84,-83,-89,-89,-84,-82,-89,-87,-86,-81,-87,-83
2020-03-25,-82,-83,-84,-75,-76,-86,-86,-82,-85,-79,-79,-78,-83,-79,-78,-86,-86,-79,-77,-89,-84,-79,-77,-81,-76
2020-03-26,-84,-85,-86,-73,-79,-87,-83,-81,-86,-76,-81,-79,-79,-78,-79,-87,-87,-80,-76,-86,-85,-82,-75,-85,-76
2020-03-27,-82,-85,-84,-69,-79,-87,-81,-82,-86,-79,-78,-78,-75,-74,-75,-86,-86,-77,-70,-82,-83,-82,-72,-84,-71
2020-03-28,-84,-88,-87,-72,-78,-89,-85,-85,-90,-75,-80,-79,-79,-77,-80,-87,-88,-79,-72,-83,-86,-83,-71,-89,-73
2020-03-29,-89,-91,-91,-78,-83,-94,-90,-88,-93,-82,-83,-88,-84,-84,-85,-95,-92,-84,-80,-89,-88,-89,-75,-89,-78
2020-03-30,-83,-87,-86,-73,-74,-89,-83,-80,-85,-70,-79,-77,-82,-74,-79,-87,-86,-79,-71,-85,-85,-79,-72,-86,-74
2020-03-31,-85,-90,-88,-77,-79,-88,-86,-82,-88,-72,-83,-83,-85,-79,-77,-87,-88,-80,-79,-85,-84,-83,-77,-86,-79
2020-04-01,-79,-83,-83,-68,-68,-84,-81,-76,-82,-70,-76,-74,-80,-74,-71,-85,-85,-75,-71,-85,-81,-75,-74,-80,-71
2020-04-02,-81,-85,-83,-69,-78,-84,-81,-79,-83,-73,-80,-74,-78,-73,-78,-85,-85,-78,-72,-80,-82,-78,-72,-84,-72
2020-04-03,-78,-83,-81,-62,-68,-84,-78,-77,-82,-65,-72,-73,-72,-70,-72,-82,-84,-71,-66,-80,-80,-75,-70,-83,-66
2020-04-04,-81,-86,-84,-65,-70,-87,-81,-81,-87,-68,-75,-75,-73,-75,-74,-85,-86,-74,-68,-82,-81,-79,-69,-88,-68
2020-04-05,-87,-89,-89,-74,-77,-92,-88,-86,-91,-78,-78,-86,-78,-81,-80,-95,-90,-80,-76,-88,-87,-87,-71,-89,-72
2020-04-06,-77,-82,-81,-63,-64,-85,-78,-75,-80,-65,-70,-68,-74,-65,-76,-82,-83,-71,-62,-79,-80,-73,-67,-82,-64
2020-04-07,-72,-80,-76,-57,-56,-75,-74,-70,-75,-56,-69,-63,-69,-63,-63,-77,-79,-70,-62,-73,-70,-67,-62,-73,-59
2020-04-08,-69,-78,-72,-55,-51,-73,-72,-66,-73,-63,-65,-64,-64,-63,-60,-79,-79,-65,-60,-75,-70,-63,-61,-70,-53
2020-04-09,-75,-83,-78,-60,-63,-77,-75,-73,-78,-64,-66,-64,-66,-68,-68,-80,-81,-68,-67,-75,-75,-72,-66,-75,-59
2020-04-10,-85,-88,-86,-77,-82,-85,-85,-88,-89,-83,-76,-82,-87,-83,-84,-88,-88,-79,-84,-85,-83,-83,-75,-88,-74
2020-04-11,-80,-84,-83,-64,-68,-86,-80,-81,-85,-69,-71,-72,-76,-73,-71,-84,-85,-73,-69,-80,-82,-76,-68,-87,-66
