date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-03-16,-50,-51,-42,-43,-50,-52,-45,-51,-40,-41,-45,-48,-54,-45,-46,-53,-45,-47,-47,-52,-46
2020-03-17,-54,-52,-52,-52,-55,-59,-46,-55,-45,-52,-50,-52,-58,-54,-49,-56,-49,-49,-53,-56,-52
2020-03-18,-55,-55,-58,-52,-57,-61,-50,-55,-49,-52,-55,-52,-59,-58,-50,-57,-50,-50,-55,-59,-54
2020-03-19,-67,-65,-66,-63,-66,-70,-61,-67,-61,-65,-63,-65,-71,-69,-60,-67,-64,-64,-65,-67,-64
2020-03-20,-77,-76,-73,-77,-76,-79,-75,-78,-75,-77,-77,-77,-80,-77,-77,-79,-77,-75,-75,-76,-75
2020-03-21,-81,-79,-77,-81,-80,-85,-79,-79,-82,-79,-82,-82,-82,-81,-83,-82,-80,-79,-82,-83,-79
2020-03-22,-83,-83,-82,-81,-83,-88,-81,-82,-84,-81,-85,-84,-84,-86,-86,-84,-83,-81,-84,-85,-82
2020-03-23,-74,-71,-72,-72,-72,-76,-71,-72,-69,-73,-75,-73,-76,-81,-71,-75,-72,-70,-71,-75,-71
2020-03-24,-73,-71,-74,-73,-72,-79,-70,-73,-70,-73,-72,-73,-76,-80,-73,-75,-72,-70,-70,-75,-72
2020-03-25,-74,-71,-73,-74,-73,-79,-72,-74,-70,-75,-73,-73,-76,-80,-73,-75,-73,-69,-72,-77,-73
2020-03-26,-74,-72,-73,-75,-72,-80,-72,-73,-72,-74,-74,-74,-77,-79,-75,-75,-73,-70,-72,-76,-73
2020-03-27,-75,-73,-75,-77,-74,-79,-73,-75,-73,-74,-76,-74,-78,-80,-75,-77,-74,-71,-73,-78,-74
2020-03-28,-79,-78,-77,-80,-79,-83,-77,-79,-80,-79,-81,-80,-80,-83,-83,-80,-79,-78,-81,-82,-78
2020-03-29,-83,-83,-83,-83,-83,-85,-81,-83,-83,-83,-86,-85,-84,-89,-85,-84,-83,-82,-85,-86,-82
2020-03-30,-74,-72,-72,-75,-73,-79,-72,-74,-67,-75,-75,-73,-77,-79,-74,-76,-72,-71,-72,-76,-73
2020-03-31,-72,-70,-71,-73,-71,-81,-71,-73,-67,-71,-75,-72,-74,-80,-73,-74,-70,-67,-69,-75,-72
2020-04-01,-73,-69,-74,-75,-70,-77,-69,-73,-70,-74,-75,-73,-77,-81,-72,-72,-73,-70,-70,-74,-70
2020-04-02,-70,-67,-76,-73,-69,-77,-68,-70,-67,-71,-74,-70,-73,-80,-71,-71,-68,-65,-68,-73,-70
2020-04-03,-72,-69,-77,-74,-70,-78,-70,-72,-69,-72,-75,-72,-75,-84,-74,-74,-71,-68,-69,-74,-71
2020-04-04,-78,-75,-80,-81,-76,-81,-75,-78,-78,-79,-80,-79,-80,-84,-83,-78,-78,-77,-79,-79,-77
2020-04-05,-84,-84,-86,-86,-84,-88,-83,-84,-84,-83,-88,-86,-85,-88,-88,-84,-85,-83,-87,-87,-84
2020-04-06,-72,-69,-71,-70,-68,-75,-68,-70,-65,-69,-71,-70,-76,-79,-72,-72,-71,-69,-68,-71,-69
2020-04-07,-68,-65,-72,-70,-66,-72,-65,-68,-64,-70,-67,-68,-72,-77,-68,-69,-66,-63,-65,-69,-65
2020-04-08,-67,-62,-69,-70,-66,-71,-64,-66,-63,-69,-69,-67,-71,-74,-67,-67,-65,-62,-65,-69,-65
2020-04-09,-71,-68,-71,-74,-68,-78,-69,-70,-67,-73,-72,-69,-74,-83,-74,-71,-69,-66,-69,-73,-69
2020-04-10,-81,-80,-86,-83,-77,-88,-81,-81,-79,-82,-83,-85,-83,-90,-84,-82,-84,-77,-79,-85,-81
2020-04-11,-78,-77,-76,-81,-76,-79,-76,-77,-80,-79,-79,-79,-80,-85,-82,-79,-79,-77,-78,-80,-76
