date,EG,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,Matrouh Governorate,Menia Governorate,Menofia Governorate,New Valley Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-02-29,6,-7,0,-1,0,-4,0,12,5,4,12,-9,6,5,3,6,4,3,16,8,0,0,-1,0,-6,8,-8,13
2020-03-01,4,-7,5,-5,0,-6,0,8,6,2,8,-11,12,1,-4,7,0,8,7,0,0,0,-7,0,-8,2,-9,3
2020-03-02,6,-3,8,-2,0,-10,0,10,5,-3,9,-9,7,-4,0,13,0,7,12,0,0,0,-5,0,-5,3,4,-5
2020-03-03,6,-2,5,-1,0,-7,0,9,6,-3,2,1,17,2,-4,14,-3,15,6,0,0,0,2,0,-2,3,8,-2
2020-03-04,8,4,6,-6,0,-5,0,13,5,-3,7,-2,8,-1,-1,15,-11,12,4,0,0,0,4,0,4,-3,15,-6
2020-03-05,3,10,-2,-2,0,-7,0,5,4,4,13,0,11,0,3,12,-1,13,8,0,0,0,0,0,5,-4,9,-5
2020-03-06,19,11,24,7,0,8,0,25,10,24,14,8,26,8,18,36,-4,25,14,0,0,0,26,0,-1,7,-16,29
2020-03-07,10,-5,10,-5,0,-1,0,13,6,12,9,-3,13,2,-1,17,9,11,10,20,0,0,11,0,-1,1,-5,23
2020-03-08,6,-8,8,-6,0,-2,0,10,4,9,3,-10,13,2,-8,12,1,7,5,8,0,0,1,0,-1,1,-3,6
2020-03-09,4,-1,1,-4,0,-8,0,6,4,-3,3,-12,10,-7,-3,11,-17,14,-1,0,0,0,-4,0,0,3,2,4
2020-03-10,7,2,7,-3,0,-7,0,10,9,4,5,-2,13,-5,0,22,-9,21,0,0,0,0,2,0,-4,0,11,-4
2020-03-11,8,2,3,-3,0,-10,0,16,9,-4,14,-6,8,-1,-4,14,-21,10,8,0,0,0,-3,0,5,-1,9,-18
2020-03-12,-60,-60,-54,-62,-38,-26,0,-74,-43,-63,-38,-62,-65,-72,-56,-52,-38,-44,-70,-62,0,0,-68,0,-23,-44,-41,-61
2020-03-13,-41,-44,-25,-43,0,-17,-64,-57,-27,-31,-14,-64,-32,-57,-55,-15,-26,-28,-52,-41,0,0,-59,0,-18,-23,-56,-57
2020-03-14,-17,-35,-7,-34,0,-16,0,-19,-15,-12,7,-46,-12,-28,-22,-4,-13,-13,-17,-24,0,0,-23,0,-18,3,-34,-45
2020-03-15,-6,-11,-6,-16,13,-10,0,1,-10,-12,10,-26,1,-11,-14,-1,-23,2,-10,2,0,0,-14,0,-17,-6,-39,-11
2020-03-16,-6,-7,-10,-14,0,-14,0,-3,-7,-22,7,-23,2,-15,-9,-1,-28,13,-20,0,0,0,-16,0,-20,3,-14,-13
2020-03-17,-18,-14,-25,-16,0,-16,0,-14,-12,-44,-10,-19,-12,-21,-29,-19,-36,6,-29,0,0,0,-34,0,-36,-5,-28,-16
2020-03-18,-20,-14,-24,-20,0,-18,0,-19,-12,-44,0,-17,-15,-26,-25,-11,-44,9,-20,0,0,0,-25,0,-51,-6,-41,-18
2020-03-19,-30,-22,-38,-22,0,-24,0,-29,-13,-45,-14,-22,-25,-30,-33,-21,-48,3,-35,-2,0,0,-44,0,-56,-12,-52,-37
2020-03-20,-30,-17,-36,-21,0,-12,0,-32,-10,-57,-10,-27,-22,-39,-36,-12,-57,5,-37,0,0,0,-44,0,-65,-23,-63,-20
2020-03-21,-31,-27,-33,-16,-31,-9,0,-33,-14,-42,-6,-29,-31,-39,-41,-23,-54,1,-34,-6,0,0,-40,0,-67,-21,-70,-13
2020-03-22,-35,-29,-34,-23,-28,-16,0,-40,-19,-47,-11,-36,-36,-40,-41,-33,-61,-2,-46,-4,0,0,-43,0,-68,-30,-69,0
2020-03-23,-39,-23,-38,-25,0,-19,0,-48,-19,-56,-14,-38,-38,-49,-39,-25,-57,7,-42,-17,0,0,-47,0,-72,-30,-67,-2
2020-03-24,-39,-22,-41,-21,0,-22,0,-49,-18,-49,-5,-20,-35,-48,-43,-25,-63,2,-44,-17,0,0,-47,0,-73,-22,-64,7
2020-03-25,-47,-32,-50,-33,-39,-21,0,-56,-23,-60,-21,-35,-50,-56,-47,-35,-61,-10,-48,-21,0,0,-54,0,-76,-40,-71,-11
2020-03-26,-50,-41,-55,-31,-32,-25,0,-59,-25,-62,-25,-35,-50,-54,-46,-34,-62,-10,-46,-23,0,0,-59,0,-73,-36,-68,-10
2020-03-27,-57,-49,-56,-42,0,-19,0,-75,-25,-46,-40,-44,-69,-72,-57,-42,-70,5,-68,-51,0,0,-62,0,-79,-54,-73,14
2020-03-28,-57,-53,-57,-50,-50,-16,0,-71,-27,-62,-34,-47,-73,-68,-51,-54,-62,-13,-70,-54,0,0,-60,0,-79,-51,-75,35
2020-03-29,-40,-30,-42,-26,-28,-11,0,-49,-19,-55,-16,-34,-35,-47,-47,-25,-65,-6,-43,-8,0,0,-54,0,-73,-27,-75,20
2020-03-30,-45,-32,-49,-29,0,-19,0,-56,-18,-60,-21,-36,-46,-54,-46,-27,-61,1,-44,-21,0,0,-61,0,-75,-34,-72,9
2020-03-31,-46,-28,-45,-30,0,-23,0,-57,-18,-61,-21,-32,-46,-56,-51,-31,-64,0,-47,-27,0,0,-62,0,-77,-37,-73,11
2020-04-01,-43,-28,-43,-27,-34,-19,0,-53,-18,-61,-14,-29,-48,-54,-45,-32,-58,-1,-42,-24,0,0,-55,0,-76,-34,-73,3
2020-04-02,-44,-35,-47,-29,-25,-22,0,-53,-15,-59,-15,-33,-46,-53,-45,-30,-62,10,-43,-13,0,0,-59,0,-76,-26,-71,-8
2020-04-03,-47,-29,-50,-25,0,-1,0,-66,4,-67,-29,-41,-59,-65,-48,-32,-74,37,-58,0,0,0,-59,0,-80,-37,-74,12
2020-04-04,-49,-43,-54,-38,-31,0,0,-65,-2,-61,-25,-44,-65,-63,-47,-45,-66,7,-56,-36,0,0,-60,0,-78,-38,-75,29
2020-04-05,-36,-21,-37,-19,-28,2,0,-47,1,-48,-7,-32,-28,-53,-47,-13,-66,5,-33,16,0,0,-52,0,-72,-23,-75,25
2020-04-06,-37,-19,-41,-20,0,-4,0,-46,0,-60,-10,-32,-45,-53,-43,-22,-67,9,-32,0,0,0,-53,0,-77,-25,-73,24
2020-04-07,-36,-20,-37,-21,-38,-6,0,-44,3,-57,-12,-26,-38,-50,-44,-21,-70,16,-36,0,0,0,-49,0,-77,-21,-77,25
2020-04-08,-35,-19,-37,-21,-32,-7,0,-45,0,-58,-16,-27,-39,-52,-40,-22,-61,18,-29,0,0,0,-46,0,-77,-22,-73,5
2020-04-09,-35,-25,-40,-20,-28,-7,0,-42,2,-52,-15,-27,-35,-50,-38,-20,-64,24,-30,9,0,0,-49,0,-77,-18,-74,3
2020-04-10,-42,-23,-42,-24,0,0,0,-58,8,-64,-20,-39,-57,-62,-39,-22,-69,52,-52,0,0,0,-54,0,-79,-30,-72,23
2020-04-11,-42,-35,-41,-34,-43,5,0,-56,4,-54,-18,-42,-60,-58,-43,-37,-60,36,-52,-32,0,0,-51,0,-78,-35,-74,42
