date,total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-03-28,28.171694890868615,24.78577033997342,24.398982421752827,28.17190115500439,27.4731082010051,26.622141074253467,24.679280493168108,26.26410198025747,24.714817848275235,29.15595367637819
2020-03-29,24.11802800733579,20.603949065941674,19.790061930479393,26.358848442593136,23.384600427034346,24.375526504995026,22.669327233156828,23.728138585603826,20.086294574677954,22.04139732744868
2020-03-30,36.74824785567016,31.37094834435155,31.609233271472366,40.864236587891966,32.04534855589999,32.70394412754922,30.781834684202828,33.20730886902363,31.063291656935476,35.950520664570746
2020-03-31,35.12291125320353,29.64496308228314,30.11481118501992,38.70906198838391,30.438388922070025,29.841805480605778,30.158739732766737,30.468008016099724,28.673734828761553,35.439295058659646
2020-04-01,35.19063361163965,30.931677320446752,29.10861813708114,38.94970704456217,32.65001428205515,30.81678788937213,30.14457848387046,31.467430806277143,27.574140901884853,35.02936785984574
2020-04-02,36.83773811503216,32.212560527319596,31.4221907125133,40.5791350153113,32.578421860078386,32.04300461556093,31.08771766036237,32.95793274095633,30.454300360654926,36.80635019742934
2020-04-03,38.67994750820489,33.56730346387555,35.30883916842172,42.41055020188878,35.616262468281924,32.607315543925196,32.03463316989328,36.064583813302455,32.77282398941821,37.71424900496405
2020-04-04,26.70760199896416,22.558316386898642,22.023062326667645,27.050823784856707,26.746541864457058,24.722423120205253,23.646453406999793,24.810047325834276,21.17547029897443,27.51813830929262
2020-04-05,22.52816502119285,18.755512146767057,17.98677982359197,24.5322654860594,22.43261470777566,22.26225938113773,21.228656178775797,21.637215665654907,17.21087066253526,21.14864594527429
2020-04-06,36.79258987607476,32.560478727668965,31.63800904977376,40.37038267742173,32.97121271578877,32.5734955396568,30.563751451200197,33.33967004469012,30.648457772377338,36.468373269077
2020-04-07,36.36126295032096,31.99681236956104,31.282148591446507,39.48415168739981,33.76840400915175,30.52400328099135,30.827150680670908,32.08511629272077,29.606637514354624,36.39831642678548
2020-04-08,36.39351169243339,32.28836393409962,32.08595199866548,40.3877787055792,33.84386629177591,32.99093102091256,32.38866439230016,33.09413047243924,29.01374707660715,35.22155081910492
2020-04-09,36.51121960114378,31.884079097939455,31.320516295848368,40.44286612807784,33.19663209849943,32.11740862495142,31.608851619745284,32.205008661983896,28.765604433332648,35.65703929821438
2020-04-10,44.767703800479424,40.963966656219405,42.14020893717289,48.054594892977136,41.62712351884518,41.175372053866965,40.310467024876324,42.46971374881571,40.0201045479544,43.14933456706709
2020-04-11,27.00025933363449,23.999552954267706,22.99952040369498,26.999602146393062,27.000017736861306,24.999747155206187,23.999540546146914,24.999956838747067,22.000402521463325,28.000015778568084
