date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-03-24,-43,-39,-41,-44,-43,-44,-44,-39,-43,-35,-41,-40,-40,-44,-41,-45,-41,-39,-45
2020-03-25,-43,-40,-41,-46,-44,-48,-43,-43,-44,-41,-42,-43,-42,-44,-41,-44,-42,-39,-44
2020-03-26,-44,-43,-36,-41,-44,-46,-43,-40,-46,-36,-42,-42,-40,-43,-42,-46,-41,-38,-45
2020-03-27,-45,-43,-39,-45,-44,-51,-45,-42,-47,-41,-46,-44,-40,-43,-43,-46,-45,-43,-47
2020-03-28,-51,-50,-45,-55,-55,-60,-55,-51,-56,-46,-54,-54,-50,-53,-50,-55,-52,-50,-51
2020-03-29,-52,-48,-44,-54,-52,-62,-54,-51,-56,-44,-56,-53,-49,-55,-49,-55,-54,-53,-50
2020-03-30,-47,-42,-40,-46,-44,-51,-45,-42,-46,-43,-45,-45,-44,-45,-44,-48,-49,-45,-47
2020-03-31,-49,-45,-46,-52,-48,-56,-51,-48,-52,-48,-47,-49,-46,-46,-48,-51,-47,-45,-49
2020-04-01,-45,-43,-40,-51,-47,-54,-49,-43,-49,-42,-43,-46,-40,-48,-43,-51,-43,-42,-44
2020-04-02,-47,-45,-42,-49,-49,-53,-47,-46,-49,-41,-48,-47,-41,-49,-45,-52,-44,-44,-48
2020-04-03,-48,-45,-42,-49,-47,-54,-50,-46,-49,-47,-48,-47,-43,-48,-46,-49,-48,-45,-49
2020-04-04,-49,-48,-41,-54,-52,-62,-53,-51,-57,-46,-52,-51,-47,-53,-51,-54,-49,-47,-47
2020-04-05,-47,-43,-38,-52,-47,-63,-51,-46,-53,-41,-51,-48,-41,-53,-46,-52,-45,-48,-45
2020-04-06,-41,-39,-37,-48,-42,-50,-43,-38,-43,-37,-41,-38,-31,-46,-38,-44,-35,-38,-42
2020-04-07,-41,-36,-33,-44,-39,-50,-41,-39,-42,-36,-38,-39,-35,-42,-36,-41,-38,-36,-42
2020-04-08,-37,-31,-28,-43,-37,-51,-39,-35,-39,-33,-35,-37,-33,-39,-31,-40,-35,-32,-37
2020-04-09,-31,-28,-16,-30,-33,-44,-32,-27,-34,-21,-32,-28,-23,-31,-20,-34,-27,-26,-35
2020-04-10,-67,-67,-65,-74,-72,-77,-77,-67,-75,-68,-70,-68,-68,-73,-65,-77,-68,-64,-62
2020-04-11,-51,-51,-43,-53,-54,-66,-52,-54,-57,-47,-55,-53,-47,-56,-48,-53,-52,-48,-49
