date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-03-12,-67,-67,-58,-67,-61,-66,-68,-63,-60,-70,-64,-74,-59,-58,-66,-60,-66,-62,-64,-56,-65
2020-03-13,-71,-72,-66,-72,-65,-70,-73,-68,-67,-75,-68,-76,-64,-61,-69,-64,-73,-69,-66,-59,-71
2020-03-14,-76,-79,-74,-76,-71,-75,-78,-76,-72,-77,-72,-80,-73,-65,-75,-69,-74,-80,-72,-68,-80
2020-03-15,-80,-86,-82,-82,-76,-83,-85,-80,-75,-82,-78,-83,-78,-74,-80,-75,-82,-80,-78,-73,-82
2020-03-16,-74,-75,-70,-78,-71,-79,-79,-70,-68,-79,-69,-79,-68,-63,-73,-70,-77,-73,-69,-65,-75
2020-03-17,-76,-76,-68,-78,-71,-78,-79,-72,-69,-80,-71,-80,-69,-65,-73,-72,-78,-73,-71,-65,-76
2020-03-18,-77,-78,-71,-79,-72,-79,-79,-73,-71,-81,-73,-81,-70,-66,-75,-72,-79,-74,-72,-66,-76
2020-03-19,-78,-79,-72,-80,-75,-79,-80,-75,-72,-82,-75,-82,-72,-68,-76,-72,-80,-77,-74,-68,-78
2020-03-20,-78,-81,-76,-80,-76,-82,-81,-76,-73,-81,-75,-82,-74,-72,-76,-72,-81,-78,-74,-69,-79
2020-03-21,-80,-85,-82,-82,-79,-83,-82,-80,-76,-81,-78,-83,-79,-72,-79,-76,-82,-80,-78,-74,-84
2020-03-22,-87,-89,-88,-87,-83,-89,-89,-88,-84,-87,-85,-89,-85,-82,-86,-81,-89,-87,-85,-81,-89
2020-03-23,-81,-83,-79,-83,-79,-84,-83,-78,-75,-83,-77,-86,-77,-75,-81,-74,-83,-79,-77,-74,-81
2020-03-24,-81,-83,-78,-82,-79,-81,-82,-77,-74,-84,-77,-85,-78,-78,-80,-74,-82,-77,-77,-74,-79
2020-03-25,-82,-83,-79,-83,-80,-84,-84,-80,-77,-84,-79,-86,-79,-76,-81,-74,-85,-80,-79,-73,-81
2020-03-26,-83,-84,-80,-84,-82,-84,-85,-82,-79,-86,-81,-86,-80,-80,-82,-75,-84,-80,-81,-75,-83
2020-03-27,-82,-85,-81,-83,-80,-84,-84,-81,-77,-84,-79,-86,-80,-77,-81,-77,-84,-81,-80,-75,-83
2020-03-28,-82,-87,-83,-84,-80,-84,-83,-82,-77,-82,-80,-85,-81,-76,-80,-76,-82,-81,-79,-76,-84
2020-03-29,-87,-90,-86,-88,-86,-90,-89,-88,-83,-88,-85,-89,-86,-80,-85,-81,-89,-86,-85,-81,-89
2020-03-30,-81,-82,-78,-82,-77,-83,-82,-78,-77,-83,-77,-85,-76,-73,-80,-74,-82,-82,-77,-72,-81
2020-03-31,-79,-81,-78,-80,-76,-80,-80,-76,-73,-82,-76,-84,-76,-73,-79,-71,-78,-79,-76,-71,-79
2020-04-01,-79,-79,-76,-81,-74,-81,-79,-76,-73,-82,-75,-84,-73,-71,-78,-69,-78,-78,-74,-68,-78
2020-04-02,-79,-79,-75,-80,-75,-80,-80,-76,-74,-82,-76,-84,-73,-71,-78,-71,-80,-79,-74,-67,-79
2020-04-03,-79,-82,-77,-82,-76,-83,-81,-78,-75,-82,-76,-84,-75,-73,-78,-72,-82,-79,-76,-70,-80
2020-04-04,-80,-86,-82,-82,-79,-83,-81,-81,-75,-80,-78,-84,-79,-74,-78,-74,-80,-81,-77,-74,-83
2020-04-05,-86,-89,-86,-88,-83,-90,-88,-87,-83,-87,-84,-88,-85,-81,-85,-80,-89,-85,-84,-80,-88
2020-04-06,-78,-81,-77,-81,-75,-81,-80,-76,-73,-81,-74,-83,-73,-70,-77,-71,-80,-77,-74,-69,-78
2020-04-07,-78,-80,-75,-80,-74,-80,-79,-75,-72,-81,-75,-83,-73,-70,-77,-71,-79,-76,-74,-68,-78
2020-04-08,-78,-80,-72,-80,-72,-79,-78,-75,-73,-81,-75,-83,-72,-67,-77,-70,-78,-76,-74,-67,-78
2020-04-09,-78,-79,-74,-80,-72,-77,-78,-75,-72,-81,-74,-83,-73,-68,-77,-70,-78,-76,-73,-67,-78
2020-04-10,-77,-81,-74,-81,-71,-80,-79,-76,-72,-80,-73,-82,-73,-67,-76,-69,-79,-78,-73,-67,-79
2020-04-11,-78,-84,-81,-81,-75,-82,-78,-79,-74,-78,-76,-82,-77,-71,-76,-70,-79,-80,-75,-71,-82
