date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-03-29,-78,-80,-79,-84,-74,-82,-71,-77,-77,-79,-71,-75,-82,-77,-74,-77,-80
2020-03-30,-56,-52,-51,-63,-51,-58,-59,-48,-58,-50,-60,-52,-56,-55,-54,-51,-54
2020-03-31,-54,-51,-48,-61,-50,-58,-58,-47,-56,-52,-59,-51,-53,-53,-54,-50,-51
2020-04-01,-58,-55,-54,-65,-54,-59,-61,-51,-60,-54,-61,-59,-59,-57,-58,-55,-57
2020-04-02,-58,-56,-55,-64,-54,-59,-62,-51,-61,-54,-60,-59,-58,-56,-58,-55,-56
2020-04-03,-59,-56,-55,-66,-54,-61,-62,-52,-62,-57,-61,-61,-59,-58,-60,-56,-57
2020-04-04,-71,-69,-68,-75,-66,-73,-72,-66,-72,-70,-72,-73,-71,-70,-72,-68,-71
2020-04-05,-71,-70,-67,-80,-65,-73,-70,-66,-70,-69,-71,-72,-73,-72,-73,-66,-70
2020-04-06,-54,-51,-50,-61,-49,-56,-56,-46,-57,-48,-56,-54,-54,-52,-52,-49,-51
2020-04-07,-53,-51,-49,-60,-47,-54,-56,-44,-56,-48,-57,-53,-51,-51,-52,-47,-50
2020-04-08,-50,-47,-46,-59,-45,-51,-54,-41,-53,-44,-53,-51,-50,-48,-50,-45,-48
2020-04-09,-48,-44,-43,-55,-42,-50,-51,-36,-50,-42,-51,-50,-48,-44,-47,-42,-44
2020-04-10,-50,-46,-44,-62,-44,-51,-55,-41,-53,-47,-58,-53,-47,-48,-54,-45,-47
2020-04-11,-76,-73,-71,-83,-73,-76,-78,-70,-76,-75,-80,-77,-71,-75,-79,-71,-73
