date,HR,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Istria County,Karlovac County,Koprivnica-Križevci County,Krapina-Zagorje County,Lika-Senj County,Međimurje County,Osijek-Baranja County,Požega-Slavonia County,Primorje-Gorski Kotar County,Šibenik-Knin County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County,Virovitica-Podravina County,Vukovar-Srijem County,Zadar County,Zagreb County
2020-03-05,3,4,6,4,4,5,1,-1,5,8,3,3,5,0,4,4,1,1,1,1,4,5
2020-03-06,-2,6,1,-4,-3,8,0,3,4,9,7,-5,5,-4,4,3,-5,-1,3,-1,1,3
2020-03-07,7,12,12,4,14,14,7,7,16,15,8,10,22,5,15,10,11,4,9,8,7,3
2020-03-08,13,19,13,10,5,30,20,13,27,29,22,20,28,19,23,13,8,15,23,22,18,15
2020-03-09,1,9,5,-2,6,2,1,3,0,8,2,4,7,2,3,4,3,1,4,8,4,4
2020-03-10,2,5,5,3,12,1,-1,3,7,13,3,4,6,1,2,6,0,3,9,9,9,5
2020-03-11,3,7,9,2,4,-2,4,4,4,8,7,4,10,-1,4,9,1,4,8,4,7,6
2020-03-12,1,5,2,0,8,-7,1,0,9,12,5,5,6,-4,3,4,-2,0,7,3,0,5
2020-03-13,-11,2,-3,-19,7,-24,-9,0,2,6,-2,-4,4,-14,2,0,-4,-10,8,0,-5,-4
2020-03-14,-18,-4,-13,-24,1,-32,-19,-11,-14,2,-15,-14,-9,-24,-2,-8,-15,-22,-2,-4,-9,-14
2020-03-15,-24,-7,-16,-31,-8,-51,-20,-11,-15,1,-19,-23,5,-27,-5,-12,-18,-28,1,4,-12,-20
2020-03-16,-19,-3,-9,-27,-8,-45,-23,-9,-8,2,-6,-16,4,-23,-11,-5,-13,-16,1,-5,-14,-14
2020-03-17,-29,-14,-26,-33,-13,-49,-30,-21,-20,-1,-17,-28,-13,-30,-22,-19,-24,-26,-12,-15,-45,-20
2020-03-18,-30,-16,-25,-37,-18,-49,-30,-20,-26,-12,-15,-27,-7,-34,-22,-16,-24,-27,-9,-22,-47,-20
2020-03-19,-57,-53,-52,-63,-52,-56,-60,-53,-54,-50,-48,-56,-44,-60,-57,-45,-59,-59,-38,-55,-54,-55
2020-03-20,-65,-64,-60,-69,-60,-60,-67,-63,-65,-58,-61,-64,-59,-66,-61,-55,-66,-68,-57,-64,-63,-62
2020-03-21,-73,-70,-70,-79,-66,-67,-73,-71,-73,-60,-69,-72,-69,-75,-68,-64,-73,-75,-65,-73,-69,-72
2020-03-22,-79,-81,-84,-76,-81,-74,-80,-84,-82,-73,-83,-83,-81,-83,-79,-76,-84,-85,-77,-83,-79,-77
2020-03-23,-73,-67,-65,-78,-78,-68,-73,-69,-65,-66,-66,-69,-63,-75,-76,-63,-78,-70,-61,-70,-74,-68
2020-03-24,-80,-80,-77,-83,-80,-75,-80,-79,-79,-77,-76,-79,-75,-80,-79,-76,-80,-78,-72,-81,-78,-78
2020-03-25,-80,-77,-77,-83,-80,-74,-80,-76,-78,-73,-76,-79,-74,-81,-79,-73,-81,-80,-70,-81,-78,-77
2020-03-26,-79,-78,-75,-83,-80,-76,-80,-76,-78,-73,-75,-79,-75,-81,-78,-72,-81,-79,-72,-80,-78,-77
2020-03-27,-78,-78,-73,-81,-80,-73,-79,-75,-77,-75,-75,-77,-73,-79,-77,-72,-81,-79,-72,-78,-77,-76
2020-03-28,-79,-79,-75,-81,-77,-73,-78,-79,-81,-72,-78,-77,-77,-80,-75,-73,-81,-81,-73,-80,-77,-80
2020-03-29,-82,-85,-81,-85,-78,-74,-83,-81,-87,-73,-86,-83,-83,-82,-78,-76,-83,-86,-80,-81,-77,-85
2020-03-30,-74,-74,-69,-78,-73,-70,-76,-73,-71,-69,-70,-73,-69,-76,-73,-69,-76,-75,-68,-74,-73,-73
2020-03-31,-74,-71,-69,-76,-75,-69,-74,-69,-72,-71,-67,-72,-70,-76,-76,-66,-79,-72,-64,-74,-74,-72
2020-04-01,-72,-71,-65,-75,-77,-66,-73,-67,-69,-68,-67,-71,-68,-75,-71,-63,-76,-71,-63,-73,-72,-71
2020-04-02,-71,-70,-65,-73,-71,-66,-71,-68,-70,-66,-65,-70,-68,-73,-69,-63,-75,-70,-64,-72,-70,-69
2020-04-03,-71,-69,-64,-73,-72,-65,-73,-67,-71,-70,-67,-69,-67,-73,-68,-62,-74,-72,-64,-70,-71,-69
2020-04-04,-73,-72,-67,-75,-72,-66,-74,-72,-76,-68,-71,-72,-70,-75,-71,-66,-77,-76,-68,-72,-71,-74
2020-04-05,-76,-75,-75,-77,-79,-67,-76,-76,-82,-71,-80,-78,-77,-77,-73,-69,-79,-80,-77,-73,-75,-79
2020-04-06,-66,-62,-59,-69,-67,-60,-66,-62,-65,0,-62,-64,0,-69,-63,-55,-70,-67,-56,-65,-66,-64
2020-04-07,-65,-60,-55,-67,-67,-59,-66,-60,-64,0,-59,-61,0,-68,-64,-54,-69,-65,-55,-64,-66,-62
2020-04-08,-64,-61,-54,-68,-66,-57,-64,-60,-65,0,-58,-60,0,-68,-62,-50,-69,-64,-51,-64,-65,-62
2020-04-09,-60,-55,-50,-64,-64,-55,-57,-56,-59,0,-50,-55,-48,-65,-61,-46,-66,-59,-44,-61,-63,-56
2020-04-10,-64,-61,-59,-68,-65,-54,-66,-60,-63,0,-59,-62,-56,-68,-63,-52,-69,-65,-52,-66,-65,-61
2020-04-11,-70,-69,-68,-73,-65,-60,-71,-70,-74,0,-72,-69,-69,-73,-65,-61,-72,-74,-63,-70,-67,-71
