date,total,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Maule,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso,Ñuble
2020-03-12,-21.346462354116774,-12.200890737693921,-35.630232461171694,-35.81662271809538,-17.2321197681229,-21.361750621695062,-22.745690980859276,-47.41799165821659,-35.437269140438794,-21.65013136633455,-26.6985962866942,5.0375247705929755,-31.65748099855908,-33.0102226082407,-17.965976826368557
2020-03-13,-17.16900164705595,-6.451374956864689,-32.125241413324794,-31.030896038447903,-20.751375688375187,-22.356533293742533,-26.518944877646202,-41.72143354810708,-32.672912949756686,-20.835196637542204,2.9943692526996,4.874155977956423,-24.109995741126042,-28.194928451054125,-15.923579567874286
2020-03-14,-21.169553527253758,-5.5804966323145715,-35.819509664139304,-31.24652088485945,-25.687127337528587,-26.378159552388805,-27.4438464031704,-46.506311067425926,-27.846397266724367,-27.627922948373325,10.336267912562603,6.250297807694909,-25.99998030933462,-36.36062016194178,-26.608886374325454
2020-03-15,-29.585588899746266,-14.1861495499085,-42.96976826558574,-37.06457536900824,-37.650877026229814,-37.014607675941015,-37.74975533545915,-57.59778244100914,-39.92282824230032,-31.248465314897054,-9.79653500795328,-5.284499945343527,-32.33090175448945,-41.95552420666008,-33.33157692654304
2020-03-16,-34.44012793507373,-29.300472050982258,-41.78702594653433,-38.36786536988512,-34.58753774746593,-31.26901338855228,-37.83775010314087,-58.594270528617535,-40.45213194338131,-30.88285115085798,-33.13998313230654,-17.70341116441507,-39.1043842085203,-44.15960648128676,-24.43853865168623
2020-03-17,-39.28662566008925,-34.15141710439739,-47.65365844054561,-45.31174869812961,-38.83606913408229,-29.525729191420556,-40.551240928282695,-60.26536370454883,-41.41608284425509,-35.42801249538578,-35.87979750446345,-28.126340134627092,-42.98780916519418,-48.93062649671228,-29.089008904894563
2020-03-18,-45.39158844892578,-41.838446175261915,-55.89250115855196,-52.034282626518,-42.44039126207561,-43.65260894291408,-45.37278031832145,-63.46877415252786,-50.54174227457114,-40.75058500976506,-38.72966379865948,-32.60264505286862,-47.105925565968974,-54.13380063497945,-37.54624597480653
2020-03-19,-50.53641878651483,-48.57247462342796,-58.77873830431185,-59.53630991560655,-40.63297329760057,-50.991787122417676,-51.45876626135192,-66.77048419909109,-51.27871074888647,-45.79509833096727,-46.52516777197074,-38.869279739827185,-53.18395500605181,-58.164672497921174,-43.65131097829434
2020-03-20,-54.09711099264868,-55.45737892168054,-57.547956086030084,-60.759456168259675,-41.94433101693412,-47.90699503065107,-58.505999394818595,-66.72422556446323,-54.969348416460306,-49.10775508566862,-48.91568691330779,-46.45151370395892,-49.89156931880757,-60.25133204874678,-48.4893777766776
2020-03-21,-66.33839768053836,-65.8114728614798,-69.65304989409562,-70.55702938861454,-56.62542035291325,-67.47910265108014,-71.04907964892854,-76.83655583842348,-64.64169743584905,-62.61334987676444,-63.31717712867253,-52.88632214804335,-61.837842785674866,-75.95614011646884,-63.86267414537208
2020-03-22,-71.93193313353454,-69.86697751538807,-73.80081479364469,-78.12679722679697,-62.49307708687001,-72.76497213080422,-76.98203121338211,-82.00403081497689,-74.55068770845833,-68.97407418850729,-68.86283702620983,-59.3989710168546,-66.98764361623205,-81.65691710887663,-69.47710203071007
2020-03-23,-60.826883592724144,-57.21727886920889,-65.47453945903911,-66.07852041049146,-47.68104313897493,-62.53802677710456,-65.6909634690045,-74.6489079091478,-68.60664578062546,-51.2042636736716,-52.303372165642905,-51.59666967911245,-67.15144866497185,-66.35250127968936,-52.01715485953134
2020-03-24,-61.31901178381581,-59.467047874296696,-67.20781902327042,-68.84347972421126,-50.369708783643496,-59.41556815697887,-66.51065385925708,-76.18411634585976,-60.807143251010494,-53.82802637192039,-52.91200714318108,-53.86749589676052,-67.99921163652006,-67.7365494503938,-57.34297267536943
2020-03-25,-61.26272261163213,-60.22429185606013,-68.60385849490461,-65.82282368996805,-49.32215188831582,-56.61182631527615,-63.65943209339603,-76.35084017483099,-62.370907287598314,-54.19364053595946,-53.490975950430446,-51.75523350725969,-71.1651513212283,-69.22069568073194,-55.45065265301511
2020-03-26,-59.4646856258789,-59.3801510239304,-66.4949069186919,-69.26041803342297,-43.6122021687104,-58.57145159836772,-63.912895282914036,-75.79188167307773,-60.52027609914726,-54.697803225318594,-54.42402485467529,-46.05366264424402,-70.15262537667863,-68.4766976028776,-53.366887951225856
2020-03-27,-64.6947538527747,-60.65973101833519,-63.4453341155488,-68.78814237424723,-47.02154107896024,-60.04334362963018,-64.68571889472742,-73.05009384982252,-64.72862687580762,-56.781803960341286,-54.62020436787548,-65.08804897219807,-67.31812748649659,-68.47188519616445,-56.15197512189986
2020-03-28,-69.74630499074506,-66.16574463605008,-71.5169979842335,-70.96061040645561,-56.62542035291325,-66.86581430472079,-72.51247089407025,-79.1562336206995,-66.23154030442444,-64.31153145447222,-63.804276505350096,-60.90292490200874,-74.01784977238144,-78.32576918202818,-66.87480123738601
