date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-03-27,-16,-20,-5,-19,-16,-20,-16,-17,-14,-13,-19,-16,-15,-18,-16,-16,-16,-18,-15
2020-03-28,-16,-18,-7,-17,-14,-27,-18,-19,-14,-13,-19,-17,-14,-22,-17,-16,-15,-20,-13
2020-03-29,-21,-22,-13,-24,-21,-30,-20,-24,-20,-16,-22,-21,-22,-26,-20,-18,-22,-24,-20
2020-03-30,-20,-23,-16,-20,-16,-24,-21,-21,-18,-14,-20,-20,-21,-18,-18,-17,-23,-19,-20
2020-03-31,-18,-22,-19,-21,-14,-24,-19,-21,-17,-18,-19,-19,-18,-19,-19,-15,-15,-17,-16
2020-04-01,-13,-18,-6,-20,-12,-19,-18,-15,-13,-11,-14,-13,-12,-18,-10,-14,-11,-13,-11
2020-04-02,-16,-21,-15,-16,-14,-19,-17,-19,-15,-9,-18,-17,-14,-17,-14,-16,-13,-16,-13
2020-04-03,-15,-19,-2,-24,-13,-19,-16,-16,-13,-13,-14,-16,-13,-16,-16,-15,-15,-17,-14
2020-04-04,-13,-17,2,-17,-12,-24,-14,-16,-13,-9,-15,-14,-11,-19,-15,-15,-11,-17,-8
2020-04-05,-13,-15,-3,-17,-15,-22,-15,-16,-11,-10,-15,-14,-14,-16,-12,-13,-14,-17,-12
2020-04-06,-15,-21,-7,-18,-12,-21,-16,-19,-15,-7,-18,-14,-12,-18,-11,-14,-13,-13,-14
2020-04-07,-9,-10,-7,-13,-4,-17,-10,-14,-6,-4,-10,-10,-8,-8,-7,-6,-9,-8,-9
2020-04-08,1,-4,12,-3,7,-9,-2,-3,1,7,1,0,4,0,2,6,2,2,2
2020-04-09,11,7,23,9,16,2,9,11,13,23,6,10,17,11,22,14,13,12,10
2020-04-10,-38,-44,-30,-51,-42,-50,-43,-41,-40,-39,-41,-41,-41,-45,-38,-43,-38,-41,-31
2020-04-11,-17,-20,-1,-21,-13,-30,-18,-21,-16,-15,-20,-18,-13,-22,-15,-13,-18,-22,-12
