date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-03-29,-10,-5,-15,-10,-6,-7,-25,-7,-5,-6,-14,-7,-12,-8,-7,-14,-9,-11,-10,-9,-7,-9
2020-03-30,-10,-6,-13,-7,-7,-10,-15,-10,-6,-7,-11,-10,-14,-8,-8,-15,-9,-8,-8,-9,-9,-6
2020-03-31,-7,-6,-12,-6,-2,-9,-11,-7,-5,-7,-11,-8,-10,-5,-6,-10,-5,-4,-4,-9,-4,-6
2020-04-01,-5,-4,-6,-4,-3,-7,-8,-7,-5,-4,-8,-6,-8,-6,-4,-7,-1,-3,-3,-3,-3,-4
2020-04-02,-8,-4,-11,-6,-4,-7,-15,-9,-2,-6,-7,-10,-11,-5,-7,-11,-6,-7,-3,-3,-9,-7
2020-04-03,-7,-6,-12,-7,-3,-7,-15,-8,-5,-8,-11,-7,-8,-6,-6,-9,-4,-6,-8,-7,-3,-5
2020-04-04,-5,-2,-15,-5,-9,-4,-18,-5,-3,-5,-15,-5,-7,-4,-5,-9,-1,-8,-7,-1,-3,-6
2020-04-05,-9,-6,-15,-8,-8,-5,-27,-7,-2,-7,-10,-7,-11,-4,-9,-15,-7,-11,-8,-7,-7,-8
2020-04-06,-2,1,-9,-2,5,1,-10,-3,-1,-2,-7,-3,-2,-1,0,-5,1,-2,-5,-5,-1,0
2020-04-07,2,3,-1,2,8,3,-4,5,5,5,1,1,2,5,2,-5,5,4,5,2,4,5
2020-04-08,9,13,6,11,15,14,6,10,11,12,10,7,7,8,12,3,12,14,15,16,10,9
2020-04-09,18,22,13,20,21,24,12,19,24,19,16,19,15,19,20,12,21,21,21,22,18,21
2020-04-10,-20,-18,-27,-26,-23,-16,-38,-22,-20,-23,-37,-21,-17,-14,-16,-15,-17,-22,-30,-29,-21,-19
2020-04-11,-15,-6,-25,-19,-17,-7,-35,-15,-8,-13,-29,-15,-16,-12,-14,-17,-13,-17,-25,-15,-13,-16
