date,CL,Antofagasta,Araucania,Arica y Parinacota,Atacama,Aysén,Bio Bio,Coquimbo,Los Lagos,Los Ríos,Magallanes and Chilean Antarctica,Maule,Ñuble,O'Higgins,Santiago Metropolitan Region,Tarapacá,Valparaíso
2020-03-12,5,-1,-12,-17,-11,-16,12,-18,-17,-30,-11,-9,-18,-2,10,-5,-5
2020-03-13,3,-1,-11,-9,-6,-17,19,-13,-11,-22,-7,-4,-10,1,6,-4,-5
2020-03-14,-1,-4,-21,-13,-17,-18,8,-21,-13,-26,-8,-10,-17,-2,3,-4,-14
2020-03-15,-6,-6,-22,-13,-20,-30,8,-21,-22,-35,-11,-13,-15,-7,-4,-11,-20
2020-03-16,-18,-9,-26,-20,-19,-34,-4,-30,-21,-36,-32,-22,-24,-19,-16,-14,-22
2020-03-17,-27,-12,-33,-26,-21,-31,-17,-30,-26,-38,-28,-28,-38,-19,-28,-16,-31
2020-03-18,-32,-16,-37,-33,-20,-32,-23,-34,-32,-42,-39,-30,-44,-25,-33,-19,-34
2020-03-19,-41,-29,-48,-45,-36,-46,-34,-46,-39,-49,-41,-38,-57,-34,-43,-28,-41
2020-03-20,-47,-41,-55,-47,-45,-53,-40,-52,-42,-51,-48,-43,-66,-43,-48,-35,-46
2020-03-21,-51,-45,-66,-53,-55,-63,-52,-58,-51,-59,-55,-51,-69,-49,-50,-32,-57
2020-03-22,-58,-56,-74,-61,-65,-74,-59,-63,-65,-72,-63,-64,-79,-58,-56,-49,-69
2020-03-23,-56,-43,-66,-53,-56,-69,-52,-57,-59,-67,-70,-51,-80,-49,-56,-52,-55
2020-03-24,-57,-43,-65,-54,-52,-70,-55,-53,-54,-62,-64,-53,-82,-49,-59,-51,-55
2020-03-25,-57,-48,-64,-53,-55,-66,-58,-57,-55,-61,-68,-51,-80,-50,-58,-53,-55
2020-03-26,-54,-51,-65,-55,-64,-80,-59,-60,-56,-63,-73,-53,-82,-50,-54,-55,-56
2020-03-27,-65,-54,-62,-56,-65,-69,-60,-63,-58,-62,-72,-55,-84,-54,-68,-57,-59
2020-03-28,-61,-53,-70,-60,-68,-81,-63,-67,-60,-62,-71,-57,-87,-54,-62,-53,-62
2020-03-29,-64,-63,-86,-64,-74,-68,-69,-66,-65,-74,-79,-63,-89,-61,-62,-61,-70
2020-03-30,-63,-50,-77,-54,-63,-77,-54,-59,-52,-62,-74,-52,-79,-51,-66,-54,-55
2020-03-31,-59,-47,-75,-51,-50,-77,-54,-48,-61,-60,-70,-48,-85,-43,-62,-48,-50
2020-04-01,-59,-46,-74,-53,-57,-75,-56,-55,-62,-61,-65,-48,-83,-46,-62,-48,-51
2020-04-02,-61,-51,-76,-55,-66,-76,-57,-60,-62,-62,-83,-51,-86,-47,-63,-50,-54
2020-04-03,-61,-52,-76,-55,-67,-69,-56,-62,-62,-61,-86,-52,-86,-51,-62,-53,-57
2020-04-04,-57,-51,-80,-57,-66,-79,-60,-64,-63,-62,-86,-52,-86,-50,-56,-49,-60
2020-04-05,-59,-58,-84,-63,-74,-83,-62,-63,-72,-73,-89,-60,-91,-56,-56,-58,-68
2020-04-06,-61,-49,-76,-56,-61,-75,-51,-59,-59,-62,-87,-52,-85,-48,-63,-50,-55
2020-04-07,-59,-49,-73,-55,-53,-77,-56,-52,-59,-58,-84,-48,-84,-45,-61,-49,-53
2020-04-08,-60,-51,-74,-55,-58,-74,-58,-57,-59,-61,-80,-47,-83,-43,-62,-48,-53
2020-04-09,-58,-50,-72,-56,-62,-76,-58,-58,-56,-58,-83,-43,-79,-40,-60,-48,-51
2020-04-10,-76,-64,-85,-67,-78,-84,-79,-74,-73,-78,-89,-72,-94,-69,-78,-65,-73
2020-04-11,-67,-58,-85,-66,-75,-88,-76,-73,-69,-71,-87,-65,-91,-61,-66,-58,-68
