date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-26,-18,-22,-24,-39,-33,-37,-27,-35,-26,-11,-35,-5,-9,-22,-27,-23,-8,-38,-34,-46,-34,1,-8,-27,7,-10,-37,-9
2020-02-27,10,17,17,7,8,12,10,5,11,10,5,9,19,13,8,12,19,8,9,-7,11,11,17,15,18,11,6,18
2020-02-28,13,22,21,11,11,16,11,10,12,15,9,13,21,14,11,15,22,11,12,-3,16,12,25,21,20,14,11,22
2020-02-29,5,6,9,2,7,9,3,2,5,6,3,5,8,5,6,2,7,2,8,-1,2,4,7,5,5,7,1,9
2020-03-01,-1,1,0,-2,1,1,0,-4,-4,3,0,3,3,-1,3,-5,2,-3,1,-12,-6,0,3,0,-2,1,-1,3
2020-03-02,20,22,27,15,13,16,17,14,17,18,14,13,22,16,18,20,23,20,14,13,18,18,23,27,19,19,11,22
2020-03-03,15,22,23,14,12,19,15,11,23,14,13,13,21,16,13,17,21,17,13,13,17,17,19,23,17,12,10,20
2020-03-04,16,22,25,15,10,17,18,10,21,14,12,13,24,16,13,16,22,18,12,14,16,17,23,21,19,16,10,21
2020-03-05,18,22,25,15,11,17,18,11,22,14,12,13,23,19,13,18,22,18,13,18,16,17,22,21,19,17,12,22
2020-03-06,18,25,27,18,15,20,16,13,24,18,15,15,24,21,17,19,24,-39,16,21,20,18,27,27,21,20,16,25
2020-03-07,7,8,10,4,8,7,3,2,5,8,5,8,8,8,4,3,8,0,7,7,3,7,10,8,5,9,5,10
2020-03-08,3,4,7,1,5,4,0,1,1,5,5,6,5,5,6,1,4,0,3,2,1,2,7,4,0,4,2,6
2020-03-09,21,24,27,16,15,19,17,15,25,20,14,14,23,22,11,20,24,20,14,22,19,20,25,28,12,20,12,23
2020-03-10,17,23,26,15,17,20,15,12,24,16,15,13,22,18,16,19,22,19,14,16,17,19,22,25,18,16,11,20
2020-03-11,17,22,25,15,11,18,18,11,22,15,13,12,24,17,13,17,22,18,13,15,16,18,22,23,19,16,11,21
2020-03-12,17,7,26,14,13,18,17,10,22,13,13,12,22,19,13,16,22,15,14,17,13,17,21,23,18,16,11,21
2020-03-13,18,8,25,17,15,20,17,12,24,17,14,14,23,21,16,18,23,18,13,19,16,17,26,26,20,18,15,24
2020-03-14,6,3,11,4,9,2,5,1,6,7,4,5,6,8,6,3,7,4,8,3,3,6,8,8,4,7,5,9
2020-03-15,0,-1,3,-3,-2,2,0,-2,0,3,0,3,3,4,1,-2,2,-4,2,-2,-2,-3,5,3,-2,2,0,5
2020-03-16,14,1,25,12,10,16,14,11,21,11,10,13,19,18,19,18,21,11,10,0,16,15,23,26,16,10,-1,9
2020-03-17,3,-5,17,8,4,6,7,0,9,-1,2,9,14,9,12,12,14,3,-1,-13,11,10,9,6,7,0,-40,2
2020-03-18,-6,-13,-5,-7,-13,-3,-3,-14,1,-8,-6,4,7,-3,1,-6,4,-10,-8,-21,-7,0,0,-3,-7,-5,-13,-2
2020-03-19,-17,-24,-12,-7,-51,-10,-13,-55,-9,-19,-12,-3,-4,-9,-10,-13,-6,-17,-15,-26,-12,-13,-3,-6,-45,-14,-19,-30
2020-03-20,-21,-36,-18,-9,-36,-9,-18,-40,-15,-27,-13,-9,-8,-16,-11,-18,-15,-19,-24,-29,-13,-21,-5,-5,-53,-18,-20,-19
2020-03-21,-30,-43,-25,-29,-43,-12,-28,-46,-33,-36,-15,-17,-23,-28,-16,-26,-30,-27,-30,-37,-22,-37,-21,-8,-56,-26,-28,-20
2020-03-22,-34,-41,-29,-31,-32,-23,-34,-39,-38,-34,-22,-27,-29,-34,-21,-35,-36,-36,-32,-38,-33,-40,-30,-19,-50,-32,-30,-26
2020-03-23,-42,-52,-41,-46,-50,-34,-43,-56,-41,-43,-37,-36,-33,-38,-27,-47,-40,-46,-51,-46,-39,-51,-35,-30,-64,-39,-50,-31
2020-03-24,-51,-57,-47,-51,-54,-33,-51,-61,-47,-51,-45,-44,-41,-46,-36,-53,-48,-52,-58,-55,-46,-57,-41,-42,-64,-50,-54,-42
2020-03-25,-52,-59,-45,-50,-55,-39,-50,-70,-48,-52,-48,-44,-40,-47,-37,-55,-49,-52,-59,-55,-48,-57,-41,-45,-61,-51,-54,-42
2020-03-26,-50,-58,-43,-49,-53,-39,-50,-59,-47,-51,-45,-42,-39,-45,-37,-53,-48,-51,-56,-54,-46,-57,-39,-43,-60,-51,-54,-41
2020-03-27,-48,-55,-39,-47,-50,-37,-48,-56,-44,-47,-43,-36,-37,-43,-34,-49,-46,-49,-53,-50,-42,-55,-33,-38,-57,-48,-48,-37
2020-03-28,-41,-45,-29,-38,-41,-32,-42,-46,-38,-41,-33,-30,-34,-38,-26,-40,-42,-41,-43,-42,-35,-46,-30,-31,-50,-42,-39,-30
2020-03-29,-34,-36,-22,-35,-28,-26,-33,-33,-31,-28,-20,-22,-26,-30,-19,-33,-34,-35,-27,-37,-33,-36,-23,-24,-40,-37,-36,-19
2020-03-30,-43,-51,-35,-42,-49,-40,-43,-51,-40,-40,-38,-28,-31,-38,-29,-46,-41,-46,-49,-47,-40,-48,-29,-31,-49,-46,-47,-29
2020-03-31,-45,-52,-35,-42,-46,-38,-43,-53,-41,-42,-38,-29,-31,-40,-30,-46,-43,-47,-48,-50,-40,-48,-28,-32,-49,-48,-46,-29
2020-04-01,-45,-52,-35,-42,-48,-39,-41,-52,-42,-42,-39,-28,-28,-40,-30,-46,-41,-46,-47,-50,-40,-47,-28,-30,-46,-48,-45,-28
2020-04-02,-45,-52,-33,-42,-48,-40,-41,-52,-41,-42,-38,-27,-29,-38,-29,-45,-42,-47,-47,-49,-41,-49,-28,-30,-45,-48,-45,-28
2020-04-03,-42,-49,-33,-38,-45,-37,-39,-49,-39,-38,-36,-25,-27,-36,-27,-42,-39,-44,-45,-47,-37,-46,-24,-27,-43,-46,-42,-25
2020-04-04,-35,-38,-23,-31,-35,-33,-35,-41,-33,-32,-26,-20,-24,-31,-20,-35,-34,-37,-37,-38,-32,-38,-20,-22,-39,-38,-34,-18
2020-04-05,-30,-33,-23,-26,-28,-29,-31,-31,-30,-25,-18,-19,-20,-27,-18,-29,-29,-31,-26,-35,-30,-31,-18,-21,-35,-32,-25,-16
2020-04-06,-38,-47,-29,-37,-43,-41,-39,-46,-33,-32,-33,-22,-22,-33,-25,-40,-34,-42,-44,-44,-37,-41,-22,-25,-37,-42,-45,-25
2020-04-07,-40,-49,-31,-37,-43,-41,-38,-48,-33,-35,-33,-23,-22,-35,-28,-41,-35,-43,-44,-48,-37,-39,-21,-28,-35,-45,-44,-25
2020-04-08,-40,-49,-30,-37,-46,-44,-36,-49,-35,-36,-36,-32,-19,-35,-29,-42,-33,-43,-45,-49,-37,-39,-21,-30,-32,-45,-43,-27
2020-04-09,-41,-49,-38,-40,-48,-47,-38,-53,-38,-39,-42,-27,-25,-36,-32,-45,-34,-45,-53,-47,-41,-39,-24,-33,-33,-44,-48,-33
2020-04-10,-72,-76,-65,-63,-71,-70,-69,-72,-71,-70,-67,-71,-67,-73,-67,-66,-75,-68,-72,-69,-66,-76,-64,-62,-76,-74,-69,-68
2020-04-11,-36,-38,-27,-34,-35,-41,-40,-44,-30,-35,-34,-24,-23,-32,-25,-35,-33,-40,-46,-40,-34,-36,-23,-28,-34,-39,-36,-26
