date,EE,Harju County,Hiiu County,Ida-Viru County,Järva County,Jõgeva County,Lääne County,Lääne-Viru County,Pärnu County,Põlva County,Rapla County,Saare County,Tartu County,Valga County,Viljandi County,Võru County
2020-03-12,19,17,NA,1,18,16,11,14,17,31,24,23,30,23,28,31
2020-03-13,22,25,NA,26,27,26,20,24,24,20,31,-12,19,13,19,-11
2020-03-14,-4,-5,NA,-3,1,0,-1,0,-5,-3,-3,-24,-7,-9,-3,6
2020-03-15,-4,-4,NA,2,4,8,-2,1,-6,0,5,-21,-7,-1,-3,15
2020-03-16,-5,-6,NA,-9,0,5,-7,-1,-10,-9,3,-23,-9,-3,-2,14
2020-03-17,-15,-17,NA,-8,-11,-9,-18,-9,-14,-2,-10,-33,-21,-12,-12,1
2020-03-18,-20,-23,NA,-18,-12,-9,-23,-15,-22,-18,-13,-35,-24,-26,-13,-6
2020-03-19,-15,-17,NA,-13,-12,-15,-14,-12,-15,-13,-5,-27,-18,-17,-11,-3
2020-03-20,-16,-17,NA,-12,-16,-19,-12,-14,-18,-14,-8,-35,-21,-23,-13,-3
2020-03-21,-17,-20,NA,-12,-16,-12,-18,-9,-18,-6,-10,-36,-16,-22,-14,2
2020-03-22,-14,-14,NA,-7,-10,-17,-12,-3,-15,-12,-2,-29,-19,-18,-14,12
2020-03-23,-18,-21,NA,-13,-14,-8,-20,-14,-15,-13,-9,-30,-19,-12,-13,0
2020-03-24,-19,-21,NA,-12,-13,-21,-19,-12,-18,-7,-11,-35,-23,-16,-18,-4
2020-03-25,-18,-21,NA,-8,-18,-19,-16,-10,-15,-7,-5,-31,-23,-20,-11,-9
2020-03-26,-22,-24,NA,-14,-13,-16,-22,-17,-20,-16,-12,-35,-26,-23,-16,-14
2020-03-27,-23,-25,NA,-18,-21,-20,-27,-23,-25,-17,-18,-45,-25,-27,-15,-14
2020-03-28,-24,-26,NA,-19,-22,-19,-24,-17,-26,-19,-19,-41,-27,-30,-22,-15
2020-03-29,-28,-29,NA,-22,-23,-24,-32,-20,-31,-24,-23,-40,-30,-30,-26,-20
2020-03-30,-29,-32,NA,-22,-20,-19,-33,-20,-27,-24,-23,-48,-31,-28,-22,-16
2020-03-31,-25,-29,NA,-20,-19,-19,-29,-14,-21,-15,-19,-39,-28,-26,-18,-13
2020-04-01,-24,-26,NA,-24,-17,-24,-25,-17,-23,-18,-15,-38,-29,-28,-20,-19
2020-04-02,-28,-29,NA,-29,-25,-25,-25,-23,-24,-15,-19,-37,-31,-23,-22,-15
2020-04-03,-25,-27,NA,-21,-21,-26,-23,-19,-23,-18,-19,-43,-27,-27,-21,-18
2020-04-04,-23,-25,NA,-20,-19,-17,-21,-15,-23,-11,-19,-41,-24,-35,-22,-8
2020-04-05,-22,-23,NA,-16,-14,-14,-28,-15,-25,-12,-11,-41,-26,-23,-21,-5
2020-04-06,-22,-26,NA,-17,0,0,0,-13,-21,0,0,0,-22,0,0,0
2020-04-07,-16,-20,NA,-9,0,0,0,0,-13,0,0,0,-18,0,0,0
2020-04-08,-12,-16,NA,-3,0,0,0,0,-7,0,0,0,-17,0,0,0
2020-04-09,-6,-12,NA,-5,0,0,0,6,2,0,0,0,-7,0,0,0
2020-04-10,-23,-25,NA,-17,0,0,0,-14,-25,0,0,0,-29,0,-21,0
2020-04-11,-20,-25,NA,-16,NA,NA,NA,-11,-17,NA,NA,NA,-23,NA,-15,NA
