date,total,Aargau,Appenzell Ausserrhoden,Basel City,Basel-Landschaft,Canton of Bern,Geneva,Glarus,Grisons,Jura,Nidwalden,Obwalden,Solothurn,St. Gallen,Vaud,Zurich
2020-03-21,-78.1516185203444,-73.85068818141117,NA,-86.71119974580726,-74.46177083105786,-77.65660866768188,-80.53550447303768,NA,-85.08133684485738,-84.49310250423639,NA,NA,-74.86285196131587,-75.1614213556223,-78.38723604518454,-77.77904474313374
2020-03-22,-82.30879935285255,-73.45563203985773,NA,-86.13816145073964,-72.32607376972354,-82.56214675820748,-84.92438135684333,NA,-90.62059598130305,-86.93916149557917,NA,NA,-78.44730915202331,-79.67388175674509,-80.99737428258953,-79.74020029743122
2020-03-23,-68.00017578255823,-59.8013848671808,NA,-75.64487520422638,-60.24672408188152,-66.84636295781233,-77.5548543710517,NA,-76.55101168878375,-75.87556602653927,NA,NA,-63.6785777710871,-60.80884871527982,-71.52332696643238,-65.99000034982484
2020-03-24,-69.08696782823716,-60.17735617097805,NA,-75.32970414193919,-60.38814831681551,-67.6812459583346,-79.51941765926928,NA,-74.79195495386342,-76.1199809764939,NA,NA,-63.91850127782789,-61.37639925473344,-72.34944097131905,-67.24840849716573
2020-03-25,-70.23413720978715,-60.19644100873425,NA,-76.13004762738365,-62.02121600264116,-68.05497379170993,-80.29017552750804,NA,-77.21962542326406,-77.66475983987901,NA,NA,-62.87531387051894,-63.41437784716879,-73.25959894433295,-68.12804444431387
2020-03-26,-70.58593582012914,-59.43591022414948,NA,-76.98769494233485,-62.2534193072963,-68.52765783803555,-79.72707798717823,NA,-78.34832958161425,-76.95347414567512,NA,NA,-63.94249362850198,-64.65258233477134,-72.86230018591345,-69.15572840879624
2020-03-27,-69.56193620375612,-60.916893634031,NA,-77.073650686595,-60.43974905118332,-68.09340338897218,-78.46276464190939,NA,-78.22589387630168,-76.08370063236002,NA,NA,-61.62099377727807,-62.585696244570954,-72.44590052564686,-68.3866477992678
2020-03-28,-73.17411095113489,-67.36088910241364,NA,-83.14308129518622,-64.61558625835599,-72.92688598463106,-79.33107457116584,NA,-83.54419482581608,-78.39895943564115,NA,NA,-67.09700789512992,-67.71870426438328,-75.8496812347985,-71.39471433328586
2020-03-29,-81.64625872056088,-74.5234287123174,NA,-88.09604229222067,-76.26492982646629,-79.73949283929558,-82.05673710771943,NA,-88.86058271743498,-90.2320800986788,NA,NA,-76.59605937401136,-80.45438419640118,-78.15324999755767,-81.96668866201603
2020-03-30,-71.1019607840404,-61.12491836557363,NA,-76.09089001055403,-61.45551906290518,-69.99758993331643,-80.22932622212078,NA,-80.19634350867571,-77.16160875149586,NA,NA,-65.73232298878828,-64.9435844789394,-73.86414248779337,-70.36318496575586
