date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-03-02,-1,0,3,0,-13,-7,-1,4,2,-6,1,1,-1,-2,-2,1,-5,11,-8,0,3,8,-10,-7,-1,-4,0
2020-03-03,4,3,-6,0,0,0,5,9,6,5,8,0,0,2,4,-7,-7,4,-6,4,3,8,6,6,5,3,5
2020-03-04,1,2,2,0,-8,-6,1,4,3,4,0,-2,1,2,0,-1,-2,-2,-11,3,2,0,4,-4,3,0,4
2020-03-05,-4,-5,-1,0,-14,-9,-4,5,-1,-7,-1,2,-3,-2,-6,-5,-5,-5,-12,-1,-1,-2,1,-4,-1,-8,-4
2020-03-06,1,-2,3,0,-5,-3,1,4,4,6,3,1,2,1,8,-8,-2,-3,-12,4,0,4,6,-5,4,1,3
2020-03-07,2,1,8,NA,-6,0,2,9,1,4,-1,-2,3,0,5,2,-3,2,-11,6,3,7,10,0,5,1,4
2020-03-08,7,3,0,NA,5,10,8,0,4,43,0,-3,0,10,0,0,0,0,0,3,9,0,4,0,12,11,9
2020-03-09,-1,-3,-7,0,-3,-1,-4,-1,0,0,1,-1,-3,-6,-3,-4,-12,-3,-8,0,-3,4,9,-6,-4,-3,0
2020-03-10,-1,0,-3,0,-9,-3,-1,1,0,-1,-3,-8,1,-5,-3,-10,-12,-4,-9,-4,-4,1,13,-2,0,-3,-2
2020-03-11,2,3,3,0,2,2,0,10,2,7,2,1,-6,-1,0,3,-5,0,-8,4,4,0,11,6,5,0,7
2020-03-12,8,7,10,0,6,7,4,17,7,12,9,3,2,4,5,12,12,5,0,10,8,11,8,4,8,6,13
2020-03-13,24,24,31,0,15,24,16,36,32,30,27,15,15,21,23,17,12,31,14,26,26,32,10,18,27,29,32
2020-03-14,12,13,33,NA,8,13,11,28,17,20,12,6,11,16,16,16,16,23,8,18,17,17,-5,15,13,8,17
2020-03-15,2,15,0,NA,14,40,4,0,12,34,0,-25,0,16,0,0,0,0,0,22,20,0,-54,0,-7,4,12
2020-03-16,24,33,37,0,21,27,20,44,28,29,29,6,22,27,20,36,12,46,31,33,31,44,-10,20,16,19,33
2020-03-17,1,7,20,0,1,8,1,9,2,4,1,-17,4,3,5,13,2,17,10,10,4,13,-18,4,-10,-5,8
2020-03-18,-4,5,17,0,-6,2,-5,11,-5,-9,0,-16,-18,-4,-9,22,-2,15,6,8,0,4,-8,4,-13,-12,5
2020-03-19,-10,5,18,0,-6,2,-4,23,-5,-12,5,-21,-12,-3,-9,-42,12,18,-47,11,4,7,-66,-50,-79,-9,6
2020-03-20,-4,5,18,0,-6,5,-10,9,-6,-11,3,-18,-15,0,-2,19,0,23,13,6,0,9,-22,-2,-2,-11,5
2020-03-21,-26,-21,-5,NA,-28,-21,-26,-15,-26,-27,-32,-37,-37,-22,-29,-16,-22,-4,-25,-16,-21,-20,-36,-20,-37,-34,-21
2020-03-22,-49,-36,0,NA,-34,-15,-51,0,-38,-59,0,-72,0,-41,-50,0,0,0,-58,-38,-43,-19,-75,0,-60,-52,-37
2020-03-23,-20,-12,-4,0,-22,-12,-23,-9,-22,-30,-21,-30,-28,-18,-25,-15,-18,0,-15,-13,-14,-9,-28,-24,-30,-29,-12
2020-03-24,-19,-13,-3,0,-23,-11,-21,-8,-22,-31,-19,-31,-25,-15,-21,-7,-19,-3,-15,-11,-13,-8,-33,-21,-30,-27,-11
2020-03-25,-19,-10,3,0,-20,-8,-20,-7,-19,-30,-20,-30,-25,-16,-22,-4,-16,3,-14,-4,-10,-8,-37,-24,-29,-26,-10
2020-03-26,-18,-8,6,0,-23,-9,-20,-11,-20,-30,-19,-28,-25,-14,-23,-2,-7,4,-13,-7,-11,-7,-38,-23,-28,-25,-11
2020-03-27,-13,-4,9,0,-14,-1,-15,1,-13,-24,-16,-27,-20,-8,-14,1,-3,16,-8,-2,-5,4,-29,-18,-28,-23,-4
2020-03-28,-19,-12,3,0,-20,-9,-20,-2,-20,-27,-19,-34,-32,-13,-24,-2,-16,6,-13,-6,-10,-7,-36,-13,-34,-30,-10
2020-03-29,-51,-35,0,NA,-41,-21,-53,0,-44,-60,0,-78,0,-38,-48,0,0,-50,-55,-35,-44,-30,-69,0,-67,-49,-44
2020-03-30,-22,-12,-15,0,-20,-12,-26,-20,-24,-35,-22,-35,-28,-20,-26,-17,-17,-2,-16,-16,-17,-5,-37,-20,-33,-30,-14
2020-03-31,-2,7,9,0,-6,2,-8,35,-3,-10,-6,-26,-10,6,0,21,5,23,33,7,7,15,-29,17,-14,-7,10
2020-04-01,-5,6,2,0,-10,-2,-12,34,-4,-12,2,-28,-21,3,-8,19,5,26,23,7,5,6,-31,8,-17,-11,7
2020-04-02,-3,7,9,0,-8,1,-8,46,-3,-12,-80,-24,-14,4,-3,23,10,29,27,8,7,9,-33,8,-14,-8,9
2020-04-03,2,9,18,0,-5,13,-6,38,2,-12,24,-22,-11,13,2,11,-2,34,23,9,14,21,-21,-2,-8,-3,15
2020-04-04,-5,2,12,NA,-14,1,-10,26,-7,-15,-6,-31,-17,5,-9,0,-4,30,13,4,5,7,-29,0,-16,-13,7
2020-04-05,-25,4,0,NA,-14,18,-25,0,-15,-35,0,-73,0,1,-26,0,0,0,0,-8,-9,0,-65,0,-52,-24,-8
2020-04-06,-5,6,0,0,-14,1,-11,0,-6,-16,0,-25,-20,3,-11,0,0,0,13,2,6,14,-26,0,-17,-11,6
2020-04-07,1,12,0,0,-5,14,0,0,-2,-18,0,-21,0,7,-8,0,0,0,25,8,13,24,-24,0,-8,-3,12
2020-04-08,9,28,0,0,-2,26,8,0,5,-15,0,-10,4,17,-7,0,0,0,25,20,28,29,-25,0,-7,2,24
2020-04-09,25,48,0,0,8,43,14,0,29,-2,0,1,0,28,10,0,0,0,57,40,35,55,-21,0,3,23,44
2020-04-10,-75,-84,0,0,-73,-87,-82,-88,-82,-79,0,-88,-90,-85,-87,0,0,0,-82,-86,-85,-89,-14,0,-4,-81,-81
2020-04-11,11,19,0,NA,3,20,10,46,20,-8,0,-15,12,24,8,0,0,0,34,20,27,24,-21,0,-8,7,20
