date,HU,Bács-Kiskun,Baranya,Békés County,Borsod-Abaúj-Zemplén,Budapest,Csongrád,Fejér,Gyor-Moson-Sopron,Hajdú-Bihar,Heves County,Jász-Nagykun-Szolnok,Komárom-Esztergom,Nógrád County,Pest County,Somogy County,Szabolcs-Szatmár-Bereg,Tolna County,Vas County,Veszprém,Zala County
2020-03-10,32,21,28,0,41,29,29,44,39,27,47,0,38,0,37,38,0,0,0,41,25
2020-03-11,15,17,33,0,24,9,17,21,21,4,23,18,14,0,19,30,9,0,21,17,32
2020-03-12,35,35,57,0,28,30,32,60,47,41,29,44,57,0,50,48,25,0,33,57,16
2020-03-13,-3,11,-4,2,11,-13,3,11,-9,1,2,22,30,0,10,1,3,0,3,-2,-10
2020-03-14,10,21,44,29,28,-16,25,52,8,45,20,53,47,0,46,19,25,0,15,34,5
2020-03-15,38,26,67,0,53,3,25,89,49,41,38,0,125,0,112,58,0,0,0,114,22
2020-03-16,0,6,25,0,7,-13,-5,9,0,8,4,15,22,0,21,16,4,0,12,24,-14
2020-03-17,8,16,26,0,30,-4,-11,25,-1,6,12,28,28,0,37,14,10,0,0,39,-13
2020-03-18,5,24,33,0,26,-14,-5,20,2,6,0,14,27,0,46,29,-2,0,17,30,-2
2020-03-19,-1,27,27,11,27,-22,-13,25,-5,9,-8,17,37,0,50,19,5,0,13,35,-2
2020-03-20,-3,25,25,4,25,-28,-5,16,-9,6,-11,25,47,0,56,10,-8,0,18,26,-14
2020-03-21,-46,-4,0,-25,-54,-66,-24,-20,-58,-29,-61,-3,-23,-29,-18,-39,-35,0,-48,-42,-52
2020-03-22,-49,-21,-47,-35,-37,-64,-46,-38,-44,-38,-59,-19,-29,0,-25,-44,-36,0,-38,-48,-60
2020-03-23,-50,-28,-20,-43,-31,-67,-52,-46,-46,-43,-53,-35,-24,0,-36,-43,-30,0,-35,-36,-52
2020-03-24,-38,-26,-28,-33,-15,-51,-52,-32,-38,-30,-39,-25,-17,0,-9,-46,-20,0,-31,-27,-51
2020-03-25,-45,-30,-26,-25,-15,-59,-54,-41,-45,-26,-45,-18,-27,0,-22,-46,-23,0,-38,-41,-56
2020-03-26,-32,-10,-32,-6,-7,-48,-37,-21,-34,-15,-32,-2,-6,0,0,-30,-11,0,-24,-16,-40
2020-03-27,-9,12,-5,2,26,-33,-15,7,-17,9,-9,24,44,0,47,-6,11,0,7,16,-18
2020-03-28,-21,7,0,-7,-8,-50,-13,11,-18,4,-46,32,41,0,38,-18,-5,0,5,-13,-26
2020-03-29,-7,10,27,15,19,-38,-12,24,-6,34,-35,0,51,0,57,1,4,0,19,5,-25
2020-03-30,-42,-15,-27,-33,-27,-57,-47,-41,-49,-35,-49,-15,-12,0,-18,-40,-36,0,-35,-31,-48
2020-03-31,-24,-12,-17,-14,-4,-41,-35,-16,-35,-22,-27,2,6,0,14,-16,-14,0,-10,-1,-38
2020-04-01,-15,-4,2,-7,20,-32,-32,-10,-23,-2,-17,2,21,0,26,-7,-6,0,-9,10,-27
2020-04-02,-17,5,0,6,9,-38,-26,-3,-24,-1,-26,15,19,0,25,0,-7,0,2,13,-22
2020-04-03,-13,7,7,4,19,-35,-19,11,-25,-1,-22,32,29,0,31,-5,-3,0,5,7,-10
2020-04-04,-4,9,22,5,22,-34,-5,33,-11,30,-24,37,60,0,57,4,0,0,19,17,-8
2020-04-05,20,27,53,0,61,-26,7,63,36,59,8,0,111,0,104,49,0,0,0,65,8
2020-04-06,-4,10,24,0,26,-27,-17,-1,-15,20,-14,35,0,0,35,16,10,0,16,24,-2
2020-04-07,8,22,24,0,44,-17,-8,13,-7,18,12,0,0,0,48,28,20,0,0,51,1
2020-04-08,5,33,24,0,51,-22,-8,8,-1,20,4,43,0,0,53,28,19,0,32,33,1
2020-04-09,2,36,38,0,37,-30,-5,15,-8,23,9,56,54,0,55,32,36,0,33,46,3
2020-04-10,-9,36,10,15,36,-42,-27,1,-29,2,-1,41,39,0,65,14,-21,0,18,16,-10
2020-04-11,-21,12,-11,20,11,-49,-12,-4,-26,15,-39,56,2,0,10,2,15,0,3,-8,-21
