date,NG,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun State,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-03-20,4,-3,-1,1,-4,2,-4,-3,-2,19,2,0,0,7,-14,12,-7,-11,0,5,-6,-3,0,-5,-8,10,-2,-5,5,-11,16,-10,8,1,-15,0,0,-54
2020-03-21,0,-5,-15,-11,-7,3,2,-11,-5,15,-1,-21,-1,7,-12,9,-9,-11,0,6,-5,-6,0,-10,-7,3,5,-9,6,-10,16,-12,-3,-2,-17,0,6,-48
2020-03-22,-6,-15,-6,-13,-9,5,0,-11,-13,8,-8,-20,-4,-5,-17,-3,-21,-13,0,-3,-7,-13,0,-19,-10,-6,2,-7,1,-7,20,-8,-9,-5,-21,0,10,-62
2020-03-23,-1,-13,-6,-1,-10,0,-7,-8,5,11,0,-17,0,5,-19,1,-12,-2,0,10,-6,-15,0,0,3,1,-2,-5,2,-20,18,-6,-6,2,-26,0,0,-46
2020-03-24,-5,-4,-8,-9,-6,-4,-21,-1,-3,6,-1,-18,-2,-10,-12,5,-16,-8,0,-1,-3,-12,0,7,-4,-8,1,6,-5,-14,6,-8,2,1,-27,0,0,-44
2020-03-25,4,-1,5,3,-5,2,-2,11,4,9,4,-14,-1,-3,-11,-1,-18,-7,0,-7,-5,-7,0,-19,-4,13,18,-35,13,-19,6,-5,6,11,-25,0,0,-69
2020-03-26,-12,-6,3,-2,-5,10,0,-1,7,4,3,-9,-6,-5,-22,-13,-15,-6,0,-2,-4,-3,0,-9,14,-26,11,-30,7,-31,2,-3,-2,3,-23,0,0,-68
2020-03-27,-20,-8,4,3,-6,-6,10,2,4,3,10,-3,-12,-41,-20,-28,-9,-13,0,-50,-10,-6,0,-9,-45,-38,8,-24,-2,-37,-12,-15,2,9,-25,0,0,-48
2020-03-28,-26,-16,-1,-13,-9,2,-12,-5,-5,-1,4,-15,-20,-39,-23,-36,0,-18,0,-45,-17,-1,0,-22,-38,-38,-14,-29,-6,-31,-13,-13,-6,-28,-22,0,17,-45
2020-03-29,-25,-9,2,-22,-14,-2,0,-4,2,-9,-12,-13,-21,0,-28,-27,-10,-27,0,-42,-16,-7,0,-9,-37,-36,-18,-20,-6,-32,5,-28,-3,-29,-23,0,0,-50
2020-03-30,-5,-8,10,-15,-49,4,-17,-8,5,-15,8,-10,-24,-34,-14,15,-5,-30,0,-36,-13,9,0,-8,-23,6,-1,-29,28,-34,17,-31,-6,-20,-23,0,0,-52
2020-03-31,-43,-10,3,-15,-50,-1,-9,-11,2,-17,15,-27,-25,-66,-24,-66,-6,-40,0,-30,-8,3,0,-31,-26,-71,-19,-24,-17,-37,-2,-31,-3,-33,-27,0,0,-65
2020-04-01,-44,-58,-15,-29,-49,15,-15,-16,2,-18,-63,-39,-31,-62,-45,-64,-13,-46,0,-13,-8,4,0,-26,-28,-65,-15,-17,-9,-40,-42,-32,1,-35,-25,0,0,-65
2020-04-02,-38,-56,-10,-19,-48,20,-10,-13,1,-4,-60,-31,-26,-65,-43,-58,-18,-37,0,33,-8,8,0,-24,-29,-61,-11,-9,9,-37,-39,-30,4,-23,-24,0,0,-72
2020-04-03,-42,-54,-13,-23,-50,-3,-2,-17,0,-18,-62,-16,-27,-67,-42,-59,-11,-41,0,-42,-11,-8,0,-21,-36,-60,-33,-15,3,-41,-48,-33,-3,-23,-21,0,0,-48
2020-04-04,-43,-49,-13,-53,-50,5,-6,-17,-5,-15,-57,-18,-23,-57,-42,-53,-7,-39,0,-42,-15,-8,0,-19,-36,-58,-31,-15,-50,-39,-43,-37,-8,-19,-16,0,-6,-47
2020-04-05,-36,-32,-11,-45,-22,-4,0,-5,-6,-24,-51,-20,-18,-52,-43,-46,-12,-43,0,-40,-16,-6,0,-6,-26,-51,-22,-4,-36,-40,-27,-33,-1,-22,-25,0,17,-57
2020-04-06,-40,-53,0,-47,-49,0,0,0,0,-13,-57,0,-22,0,-39,-49,0,-41,0,-41,-9,0,0,0,-24,-56,-21,0,-43,-38,-37,-30,0,-15,0,0,0,0
2020-04-07,-37,-52,0,-45,-48,0,0,0,0,-13,-54,0,-16,0,-41,-52,0,-36,0,21,-10,0,0,0,-40,-55,-27,-6,-9,-36,-38,-28,0,-9,0,0,0,0
2020-04-08,-39,-51,0,-46,-49,0,0,0,-10,-20,-55,0,-36,0,-39,-49,0,-37,0,26,-13,0,0,0,-41,-56,-24,-12,-44,-37,-42,-29,0,-13,0,0,0,0
2020-04-09,-39,-51,0,-41,-46,0,0,0,-11,-25,-53,0,-30,0,-37,-57,0,-34,0,-46,-13,0,0,0,-40,-55,-27,-7,-13,-31,-38,-25,0,-14,0,0,0,0
2020-04-10,-41,-28,0,-35,-49,0,0,0,-12,-26,-54,0,-32,0,-41,-54,0,-28,0,-44,-18,0,0,0,-34,-53,-19,-12,-43,-37,-40,-33,-52,-19,0,0,0,0
2020-04-11,-35,-17,0,-42,-44,0,0,0,-11,-26,-49,0,-26,0,-32,-36,0,-37,0,-41,-15,0,0,0,-69,-50,-21,-8,-11,-28,-41,-27,-51,-11,0,0,0,0
