date,EG,Al Qalyubia Governorate,Alexandria Governorate,Ash Sharqia Governorate,Assiut Governorate,Aswan Governorate,Beni Suef Governorate,Cairo Governorate,Dakahlia Governorate,Damietta Governorate,El Beheira Governorate,Faiyum Governorate,Gharbia Governorate,Giza Governorate,Ismailia Governorate,Kafr El Sheikh Governorate,Luxor Governorate,Matrouh Governorate,Menia Governorate,Menofia Governorate,New Valley Governorate,North Sinai Governorate,Port Said Governorate,Qena Governorate,Red Sea Governorate,Sohag Governorate,South Sinai Governorate,Suez Governorate
2020-03-18,-3,-3,-6,-1,-7,-20,-5,0,-8,-8,0,-4,-3,-1,-1,-4,-9,5,-2,-4,0,0,-3,6,-11,-11,-27,5
2020-03-19,-9,-9,-14,-7,-10,-24,-6,-8,-13,-16,-1,-5,-11,-5,-3,-7,-15,4,-1,-8,0,0,-11,6,-22,-9,-43,-2
2020-03-20,-13,-11,-15,-13,-15,-27,-4,-18,-12,-24,3,-5,-10,-12,-9,7,-23,1,-3,-10,0,0,-18,6,-27,-11,-54,-10
2020-03-21,-15,-14,-13,-12,-14,-26,-7,-18,-17,-21,2,-8,-12,-14,-10,-6,-17,2,-5,-8,0,0,-14,0,-30,-13,-57,-6
2020-03-22,-20,-19,-24,-15,-24,-29,-16,-22,-26,-25,-7,-16,-19,-20,-11,-12,-22,-5,-15,-12,0,0,-21,-2,-32,-18,-58,-6
2020-03-23,-25,-22,-24,-19,-24,-33,-14,-29,-26,-26,-7,-14,-25,-26,-13,-10,-26,-3,-13,-15,0,0,-23,-8,-35,-16,-56,-10
2020-03-24,-18,-16,-20,-11,-19,-29,-11,-20,-21,-22,0,-10,-16,-16,-1,-10,-20,3,-8,-9,0,0,-16,-6,-30,-13,-58,1
2020-03-25,-30,-30,-34,-25,-27,-38,-19,-34,-33,-32,-13,-21,-30,-30,-18,-17,-25,-18,-18,-21,0,0,-29,-10,-39,-21,-60,-11
2020-03-26,-29,-28,-34,-24,-28,-41,-20,-31,-33,-31,-14,-16,-29,-27,-14,-17,-27,-13,-15,-21,0,0,-27,-11,-33,-19,-56,-10
2020-03-27,-50,-49,-52,-44,-46,-58,-35,-57,-46,-55,-23,-35,-49,-54,-47,-26,-47,-46,-33,-38,0,0,-58,-29,-55,-35,-72,-40
2020-03-28,-47,-44,-46,-39,-42,-54,-37,-52,-49,-55,-24,-27,-49,-49,-41,-29,-49,-46,-28,-34,0,0,-50,-24,-51,-32,-71,-27
2020-03-29,-24,-23,-28,-18,-21,-27,-15,-26,-26,-30,-9,-14,-24,-25,-8,-8,-23,-13,-16,-14,0,0,-26,-1,-35,-15,-60,-7
2020-03-30,-30,-27,-34,-23,-25,-35,-17,-33,-30,-33,-9,-15,-28,-30,-16,-16,-27,-24,-13,-17,0,0,-38,-7,-42,-21,-64,-16
2020-03-31,-29,-26,-30,-22,-28,-36,-18,-34,-28,-32,-9,-16,-24,-28,-16,-15,-17,-17,-10,-16,0,0,-38,-11,-43,-16,-63,-20
2020-04-01,-26,-24,-30,-21,-28,-36,-21,-28,-29,-29,-11,-13,-25,-26,-13,-15,-24,-19,-14,-18,0,0,-37,-6,-41,-21,-62,-15
2020-04-02,-22,-19,-28,-15,-20,-36,-11,-24,-20,-29,-6,-7,-20,-21,-10,-11,-21,-11,-5,-12,0,0,-32,1,-37,-8,-62,-7
2020-04-03,-27,-18,-35,-3,-18,-40,0,-40,0,-29,10,1,-16,-31,-26,14,-33,-25,0,2,0,0,-48,12,-47,2,-68,-2
2020-04-04,-28,-17,-35,-4,-21,-37,-6,-39,-15,-34,8,-1,-23,-29,-26,-3,-27,-23,2,-4,0,0,-38,8,-44,2,-72,5
2020-04-05,-11,-3,-17,10,-7,-16,11,-22,6,-12,17,10,5,-16,6,18,-10,2,11,14,0,0,-14,25,-33,17,-63,10
2020-04-06,-12,-2,-21,7,-7,-26,10,-19,1,-12,16,12,-3,-14,3,15,-18,0,18,11,0,0,-21,20,-38,14,-64,15
2020-04-07,-4,9,-11,12,-10,-18,8,-10,4,-7,24,8,7,-4,9,12,-8,5,24,22,0,0,-15,16,-31,14,-63,29
2020-04-08,-5,10,-12,9,-8,-24,7,-11,3,-9,16,7,3,-6,7,11,-15,1,16,13,0,0,-21,18,-30,12,-62,27
2020-04-09,-2,10,-8,7,-3,-25,13,-5,4,-7,16,11,5,-1,17,14,-13,10,23,18,0,0,-11,18,-28,14,-61,28
2020-04-10,-18,-8,-23,2,-14,-39,4,-31,1,-24,16,7,-7,-22,-15,16,-34,-7,4,12,0,0,-38,11,-42,9,-70,12
2020-04-11,-18,-8,-21,1,-15,-32,-2,-28,-7,-24,13,6,-14,-18,-18,1,-27,-8,8,7,0,0,-22,10,-38,5,-69,19
