date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-03-15,-17,-4,-26,-42,-15,-15,-32,25,-29,2,-5,0,-13,1,-16,-20,-24
2020-03-16,-20,1,-11,-54,-13,-20,-36,15,-13,-14,-30,-9,-25,-20,-18,-12,-10
2020-03-17,5,24,7,-43,11,7,-29,28,11,19,-16,3,27,19,-15,8,12
2020-03-18,14,38,13,-36,22,14,-15,54,26,28,0,23,14,39,9,24,4
2020-03-19,-3,3,-13,-34,4,-3,-18,23,-14,19,11,-13,13,33,-3,-14,-13
2020-03-20,-31,-20,-9,-61,-30,-44,-40,-21,-26,-19,-27,8,-11,-15,-36,1,-25
2020-03-21,-43,-16,-20,-79,-25,-52,-42,-8,-42,-40,-53,-13,-32,-54,-41,-9,-21
2020-03-22,-47,-28,-45,-73,-43,-52,-61,-5,-56,-45,-44,-16,-32,-56,-43,-34,-36
2020-03-23,-37,-21,-24,-72,-31,-41,-50,-17,-34,-29,-48,-13,-23,-41,-34,-9,-26
2020-03-24,-29,-12,-19,-67,-27,-33,-46,-11,-27,-22,-43,2,0,-35,-35,0,-16
2020-03-25,-41,-27,-32,-72,-36,-46,-50,-23,-38,-32,-47,-13,-33,-45,-38,-11,-38
2020-03-26,-35,-22,-28,-67,-29,-40,-44,-15,-32,-23,-38,-14,-23,-29,-35,-18,-26
2020-03-27,-30,-18,-19,-63,-20,-30,-40,-9,-26,-15,-33,0,-17,-18,-34,2,-24
2020-03-28,-9,26,27,-59,15,-11,-19,18,-16,18,-22,45,-2,5,-12,40,-15
2020-03-29,-59,-62,-73,-69,-49,-71,-25,-55,-60,-55,-11,-17,-78,-50,-26,-63,-76
2020-03-30,-48,-29,-31,-75,-41,-47,-54,-30,-50,-35,-52,-29,-47,-49,-39,-27,-52
2020-03-31,-46,-34,-36,-71,-41,-52,-52,-27,-44,-42,-45,-22,-42,-46,-45,-33,-41
2020-04-01,-50,-33,-45,-73,-42,-48,-51,-28,-51,-37,-42,-40,-58,-45,-36,-42,-57
2020-04-02,-48,-39,-41,-71,-46,-47,-48,-28,-54,-27,-38,-41,-50,-38,-37,-40,-49
2020-04-03,-56,-43,-40,-76,-49,-56,-52,-34,-58,-43,-45,-35,-54,-50,-49,-39,-57
2020-04-04,-56,-39,-38,-78,-47,-57,-46,-31,-63,-31,-48,-35,-61,-50,-49,-35,-60
2020-04-05,-59,-47,-55,-76,-55,-59,-52,-36,-68,-43,-48,-38,-62,-57,-50,-46,-69
2020-04-06,-43,-28,-29,-71,-39,-44,-45,-18,-49,-25,-39,-25,-44,-38,-36,-19,-46
2020-04-07,-37,-21,-21,-68,-37,-33,-45,-13,-43,-21,-33,-16,-31,-33,-36,-14,-44
2020-04-08,-37,-17,-24,-67,-33,-36,-38,-7,-43,-18,-31,-13,-41,-30,-25,-12,-44
2020-04-09,-38,-23,-22,-68,-34,-37,-38,-7,-46,-17,-30,-25,-40,-24,-23,-25,-46
2020-04-10,-48,-33,-26,-74,-40,-44,-46,-19,-52,-33,-46,-27,-42,-40,-38,-18,-52
2020-04-11,-57,-42,-35,-80,-48,-56,-48,-29,-64,-36,-53,-36,-61,-49,-47,-30,-62
