date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-03-31,-53,-42,-38,-57,-45,-50,-56,-60,-53,-26,-41,-39,-42,-40,-41,-54,-50,-56,-44,-61,-58,-53,-27,-36,-74,-56,-49,-27
2020-04-01,-48,-41,-39,-55,-39,-47,-53,-53,-56,-28,-44,-35,-38,-40,-36,-52,-42,-54,-40,-61,-57,-46,-27,-34,-65,-50,-43,-19
2020-04-02,-48,-35,-40,-54,-48,-45,-51,-54,-53,-24,-39,-31,-42,-38,-35,-53,-43,-54,-35,-59,-58,-57,-24,-34,-70,-44,-40,-19
2020-04-03,-52,-42,-48,-61,-48,-46,-58,-59,-58,-32,-45,-36,-37,-39,-42,-59,-50,-55,-46,-69,-59,-57,-29,-42,-74,-50,-54,-28
2020-04-04,-60,-53,-52,-64,-47,-55,-62,-68,-66,-38,-49,-37,-43,-38,-45,-66,-54,-62,-46,-73,-68,-62,-25,-47,-76,-57,-63,-28
2020-04-05,-66,-62,-56,-68,-53,-63,-68,-70,-72,-37,-48,-38,-44,-41,-53,-70,-61,-69,-48,-78,-71,-68,-30,-54,-80,-58,-65,-29
2020-04-06,-53,-42,-34,-57,-39,-51,-60,-56,-50,-31,-34,-37,-32,-33,-33,-56,-58,-53,-39,-67,-58,-55,-30,-39,-80,-49,-49,-17
2020-04-07,-50,-43,-36,-52,-39,-46,-52,-53,-42,-26,-29,-36,-26,-33,-33,-49,-48,-52,-33,-67,-54,-46,-18,-40,-75,-53,-47,-23
2020-04-08,-46,-45,-32,-47,-38,-53,-46,-50,-54,-25,-39,-33,-21,-33,-35,-46,-37,-49,-30,-72,-54,-39,-24,-36,-59,-48,-42,-16
2020-04-09,-40,-27,-35,-42,-30,-50,-44,-48,-52,-14,-31,-23,-22,-28,-31,-44,-32,-45,-23,-64,-49,-39,-23,-37,-58,-35,-35,-9
2020-04-10,-58,-50,-55,-62,-53,-59,-65,-61,-66,-30,-50,-39,-47,-46,-56,-60,-55,-62,-43,-76,-58,-61,-26,-45,-71,-56,-60,-24
2020-04-11,-59,-50,-46,-59,-46,-63,-64,-66,-65,-32,-46,-30,-30,-33,-49,-63,-51,-62,-42,-77,-62,-57,-27,-47,-73,-57,-59,-27
