date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-03-19,-28,-23,-19,-22,-22,-21,-18,-21,-19,-23,-16,-22,-27,-27,-26,-41,-30,-21,-18,-18,-24,-26
2020-03-20,-28,-22,-20,-24,-17,-22,-18,-22,-20,-22,-19,-22,-27,-28,-28,-41,-32,-22,-21,-21,-25,-26
2020-03-21,-13,-12,-12,-12,-2,-9,-7,-13,-12,-14,-16,-10,-13,-11,-13,-17,-18,-10,-17,-12,-11,-11
2020-03-22,-15,-12,-15,-14,-2,-12,-13,-17,-12,-15,-11,-14,-13,-13,-15,-19,-17,-14,-16,-12,-12,-13
2020-03-23,-27,-20,-19,-21,-15,-21,-18,-20,-19,-23,-18,-21,-26,-26,-27,-41,-30,-19,-23,-18,-24,-25
2020-03-24,-28,-20,-20,-21,-18,-20,-19,-19,-19,-23,-18,-22,-27,-26,-27,-41,-30,-19,-23,-19,-24,-25
2020-03-25,-28,-21,-21,-22,-14,-22,-19,-19,-21,-21,-19,-22,-26,-26,-27,-41,-31,-19,-22,-18,-24,-26
2020-03-26,-28,-23,-21,-22,-17,-21,-21,-20,-22,-22,-19,-23,-25,-26,-28,-42,-31,-19,-23,-19,-25,-28
2020-03-27,-29,-23,-22,-23,-14,-22,-20,-21,-23,-21,-20,-22,-26,-27,-28,-41,-31,-21,-24,-20,-25,-29
2020-03-28,-15,-11,-15,-13,-5,-10,-12,-16,-12,-9,-17,-13,-16,-11,-15,-18,-15,-9,-18,-14,-14,-14
2020-03-29,-18,-18,-17,-14,-10,-14,-16,-23,-13,-17,-15,-18,-17,-16,-19,-21,-18,-13,-18,-17,-17,-18
2020-03-30,-29,-25,-22,-21,-17,-21,-20,-20,-24,-24,-21,-23,-27,-26,-28,-43,-31,-20,-24,-19,-26,-28
2020-03-31,-29,-24,-22,-21,-19,-21,-23,-20,-21,-24,-21,-23,-27,-26,-28,-42,-30,-19,-24,-19,-26,-28
2020-04-01,-29,-25,-22,-21,-16,-22,-22,-20,-22,-23,-21,-23,-27,-26,-28,-42,-30,-21,-25,-19,-27,-28
2020-04-02,-30,-27,-22,-23,-19,-24,-24,-23,-24,-25,-22,-25,-27,-27,-30,-43,-31,-22,-26,-21,-28,-30
2020-04-03,-31,-26,-24,-24,-17,-25,-24,-24,-24,-24,-23,-25,-28,-28,-30,-44,-32,-21,-27,-22,-28,-30
2020-04-04,-16,-16,-17,-15,-10,-11,-16,-17,-13,-14,-19,-14,-18,-14,-19,-19,-15,-11,-20,-17,-14,-14
2020-04-05,-18,-17,-20,-16,-6,-14,-18,-21,-12,-18,-18,-17,-17,-13,-20,-22,-20,-15,-19,-17,-18,-18
2020-04-06,-36,-30,-22,-22,-28,-32,-23,-29,-23,-33,-24,-32,-37,-36,-36,-49,-40,-21,-27,-22,-35,-37
2020-04-07,-36,-29,-23,-23,-28,-31,-23,-29,-22,-33,-24,-33,-37,-36,-37,-49,-40,-20,-28,-22,-36,-37
2020-04-08,-37,-30,-24,-24,-29,-33,-23,-31,-23,-34,-25,-34,-38,-37,-38,-49,-41,-22,-27,-23,-37,-38
2020-04-09,-44,-37,-36,-31,-37,-40,-33,-41,-29,-42,-37,-42,-43,-44,-44,-55,-49,-30,-37,-31,-44,-45
2020-04-10,-80,-78,-77,-78,-73,-80,-79,-82,-78,-81,-77,-79,-80,-79,-78,-82,-81,-78,-82,-79,-79,-81
2020-04-11,-24,-17,-25,-23,-7,-22,-27,-25,-19,-20,-27,-22,-23,-20,-20,-27,-22,-19,-29,-21,-20,-24
