date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-03-09,2,2,-1,-3,2,1,3,0,1,4,1,2,-4,3,1,2,0,-1,-3,4,-1,-2,3,5,1,-2,-1,-1,6,0,-1,-1,-4,4,-2,4,4,2,2,1,-1,4,1,3,2,0,2,-2
2020-03-10,-3,-5,4,2,-5,2,2,-3,1,-3,-2,1,2,-2,-2,1,-3,3,5,-8,0,-1,-5,-1,-4,5,0,1,-2,2,3,3,0,-7,1,-4,-2,0,-5,-4,2,-10,3,2,0,5,-1,-2
2020-03-11,4,4,2,5,7,2,4,4,5,5,3,3,-6,4,5,3,6,2,3,7,0,3,1,1,8,5,4,4,7,2,1,2,1,2,3,8,2,2,3,5,0,6,3,1,2,3,2,3
2020-03-12,5,5,6,5,5,3,6,5,5,6,6,6,3,6,5,9,6,3,4,8,1,3,7,7,6,5,4,5,8,6,3,4,-2,5,5,6,7,5,5,6,3,4,6,7,4,6,5,5
2020-03-13,3,3,-3,-2,6,0,4,1,3,4,2,3,-2,4,4,3,-1,1,0,5,1,0,4,3,3,3,2,2,7,3,1,2,-5,3,2,7,4,4,3,3,0,5,3,5,3,-2,3,0
2020-03-14,-4,-2,6,3,-12,3,6,2,-1,2,-5,4,1,-3,-8,5,4,1,3,-14,0,3,-3,0,3,3,-5,5,-1,1,2,3,-5,-8,3,-10,0,5,-4,-5,1,-17,3,3,-1,3,2,-6
2020-03-15,5,3,6,3,11,2,1,2,5,5,5,4,0,6,9,2,5,4,3,11,-1,1,4,7,5,3,5,5,12,4,3,5,0,4,1,8,5,6,8,6,3,10,10,4,10,6,4,5
2020-03-16,0,0,-1,-1,1,1,1,1,0,2,-1,1,-4,0,1,0,1,0,1,0,1,1,-1,3,1,1,-4,3,2,-4,1,-1,-2,-1,0,0,-1,4,1,-1,-1,0,3,3,2,0,2,-2
2020-03-17,4,2,0,3,5,1,3,1,4,3,4,5,1,5,5,2,2,3,2,5,2,1,6,6,1,1,4,3,8,1,0,3,-2,4,0,8,5,4,3,4,2,4,6,3,6,3,2,4
2020-03-18,3,4,4,6,6,0,5,1,4,4,3,3,-1,3,4,6,6,3,1,5,0,0,2,4,7,2,3,3,8,3,0,2,-3,1,1,6,4,4,1,3,0,4,5,4,2,5,2,4
2020-03-19,6,4,11,8,6,4,9,4,10,7,8,7,6,8,7,8,8,5,4,7,3,3,7,7,9,6,7,6,9,9,5,5,-6,5,5,8,9,6,3,8,5,4,9,8,6,8,5,7
2020-03-20,6,2,0,0,11,6,10,3,8,10,5,7,4,10,10,6,2,10,5,10,9,4,9,11,5,7,11,7,20,7,7,11,-2,1,8,11,11,10,10,7,9,2,17,5,15,6,8,13
2020-03-21,5,3,2,2,7,5,9,4,5,7,6,4,0,6,7,5,3,2,4,6,3,4,7,7,5,3,7,6,11,2,5,5,-3,2,3,8,8,6,7,7,3,4,9,7,10,5,5,11
2020-03-22,1,1,-2,0,5,2,2,-1,2,3,3,1,-2,2,5,2,1,0,-2,3,0,1,2,6,2,-1,3,1,8,-2,1,2,-2,0,0,4,2,2,4,5,1,4,5,3,5,1,1,8
2020-03-23,0,1,0,-1,-1,2,4,2,-1,2,-1,2,-5,2,-1,5,1,0,1,-3,0,0,2,4,0,0,1,4,5,-1,0,-1,-3,1,-1,1,4,2,-1,-1,2,0,1,5,3,0,2,-1
2020-03-24,3,2,2,3,3,2,4,1,2,3,0,4,-1,4,3,5,2,2,5,4,3,1,4,6,1,2,2,3,6,2,3,3,-1,2,0,4,4,4,3,2,4,3,4,4,5,1,2,3
2020-03-25,8,6,9,12,10,3,8,6,7,6,6,6,6,6,7,8,10,6,6,11,2,5,6,7,11,6,7,8,10,8,4,4,1,5,6,11,7,11,6,7,3,14,11,7,6,8,6,7
2020-03-26,13,10,8,7,18,5,12,1,9,10,10,8,5,11,11,11,8,5,5,25,4,3,10,11,10,4,10,1,13,10,4,6,2,10,1,22,11,10,12,12,5,25,11,10,9,8,4,12
2020-03-27,3,-3,0,3,10,-2,5,-5,5,1,5,-3,1,-5,8,4,2,0,0,13,-4,-1,-3,2,5,2,5,-3,2,5,-1,0,-3,-8,-4,14,1,2,0,8,0,13,4,6,1,2,-5,2
2020-03-28,1,3,7,3,1,0,6,-2,4,5,1,3,3,1,1,6,7,-1,0,-1,-3,-1,0,3,6,0,3,1,4,3,-2,4,-6,-2,-1,3,3,4,5,2,0,-6,4,6,1,7,2,2
2020-03-29,-7,1,5,1,-21,5,5,6,-7,3,-15,7,3,5,-16,8,5,4,4,-31,3,4,7,4,0,7,-11,8,11,3,5,7,0,3,6,-28,7,6,-4,-16,3,-32,9,7,8,6,9,-13
2020-03-30,4,0,2,-1,6,2,6,3,2,4,1,4,2,5,3,6,3,4,-2,7,0,-1,4,4,3,-1,4,4,5,2,-1,5,-2,2,2,7,5,4,2,1,3,9,3,6,2,2,5,0
2020-03-31,7,4,5,5,7,4,8,3,7,5,5,6,3,7,6,8,5,3,7,9,2,3,7,5,5,4,8,6,11,6,2,4,-1,8,3,10,9,8,6,6,5,5,8,9,8,8,3,5
2020-04-01,-5,-5,5,6,-7,-5,1,-3,6,-4,-3,-4,7,-8,-2,2,6,-6,1,-11,-4,-2,-10,-7,6,1,0,2,-2,2,-3,-6,-2,-12,-1,-6,-7,-1,-6,-1,-7,-13,-3,4,-3,7,-1,-3
2020-04-02,6,6,2,2,7,5,7,6,4,6,2,7,-1,9,5,8,2,5,3,13,2,3,7,7,4,2,4,6,11,4,3,5,-2,9,3,7,6,6,7,4,5,7,7,7,5,5,6,4
2020-04-03,6,5,-1,1,9,2,10,4,3,6,2,4,2,7,6,7,1,2,1,10,0,1,7,5,6,2,3,4,10,5,0,4,-2,6,2,10,7,6,5,3,2,9,7,9,5,0,4,1
2020-04-04,6,8,6,4,6,7,9,5,5,9,3,8,5,9,4,9,6,6,4,8,2,4,7,8,4,5,4,7,16,4,4,7,-4,6,4,9,12,7,8,5,6,5,8,9,8,5,7,6
2020-04-05,2,5,2,2,-1,4,3,3,3,6,0,8,2,6,-1,9,5,6,7,1,2,3,6,8,0,5,5,8,16,2,3,5,2,4,5,-1,10,13,6,1,6,-4,13,6,9,2,8,5
2020-04-06,7,6,-3,-3,10,3,6,8,2,6,1,5,-2,11,4,8,0,2,5,11,1,3,7,6,2,4,3,6,12,1,3,3,2,11,3,11,9,9,5,2,2,12,8,8,6,-1,7,3
2020-04-07,6,5,6,5,7,3,5,4,5,4,3,9,4,10,4,9,5,6,5,8,3,2,6,7,3,3,5,5,10,7,2,5,-1,7,2,9,8,6,6,6,4,4,8,7,8,5,6,3
2020-04-08,2,3,4,5,3,1,3,-2,3,3,0,4,-1,3,1,7,6,3,1,2,-2,-1,1,3,6,1,4,4,11,5,-1,2,-3,-1,0,4,4,3,1,2,0,-1,6,5,1,3,4,0
2020-04-09,2,6,1,1,1,1,2,0,3,3,0,5,-3,4,-2,6,3,2,2,4,-1,0,2,4,2,1,2,4,7,4,0,3,-7,1,2,-2,5,6,3,-1,1,-3,5,5,3,1,3,0
2020-04-10,4,5,3,2,5,2,4,1,3,5,0,7,8,5,4,4,3,3,2,7,2,2,3,5,5,3,2,3,8,3,2,4,-1,1,1,7,5,8,5,3,2,3,8,6,3,2,3,-1
2020-04-11,4,4,6,2,3,5,2,0,3,4,-1,2,3,7,2,7,7,6,7,4,-1,4,3,6,3,4,0,5,12,3,2,5,-6,3,1,6,8,7,5,1,6,1,9,6,6,0,5,-1
