date,BG,Blagoevgrad Province,Burgas,Dobrich Province,Gabrovo,Haskovo Province,Jambol,Kardzhali Province,Kyustendil Province,Lovec,Montana Province,Pazardzhik,Pernik,Pleven Province,Plovdiv Province,Razgrad,Ruse,Shumen Province,Silistra,Sliven Province,Smoljan,Sofia City Province,Sofia Province,Stara Zagora,Targovishte Province,Varna,Veliko Tarnovo Province,Vidin,Vraca
2020-03-19,-26,-31,-27,-26,-15,-20,-30,-34,-22,-26,-19,-28,-19,-28,-26,-21,-27,-26,-20,-21,-43,-30,-20,-27,-32,-24,-26,-34,-27
2020-03-20,-25,-36,-22,-18,-20,-19,-26,-29,-32,-29,-20,-24,-17,-22,-23,-43,-25,-22,-19,-19,-50,-27,-21,-27,-27,-23,-29,-33,-22
2020-03-21,-34,-44,-30,-26,-30,-27,-38,-47,-45,-34,-27,-34,-32,-34,-34,-45,-34,-35,-30,-31,-62,-34,-35,-36,-29,-30,-39,-45,-30
2020-03-22,-40,-49,-40,-36,-36,-38,-40,-46,-36,-36,-35,-42,-36,-37,-44,-68,-41,-35,-25,-38,-63,-41,-33,-43,-37,-39,-40,-38,-35
2020-03-23,-37,-39,-32,-29,-27,-30,-36,-38,-42,-30,-29,-37,-34,-30,-36,-48,-36,-30,-31,-23,-56,-43,-31,-37,-34,-33,-38,-40,-36
2020-03-24,-39,-43,-38,-30,-38,-32,-35,-47,-38,-36,-37,-37,-33,-40,-38,-47,-41,-34,-30,-35,-53,-44,-37,-37,-39,-36,-42,-37,-46
2020-03-25,-33,-34,-31,-27,-25,-23,-27,-42,-27,-33,-31,-30,-22,-33,-34,-46,-31,-33,-20,-27,-44,-38,-28,-34,-31,-32,-34,-39,-34
2020-03-26,-32,-37,-31,-28,-21,-27,-35,-39,-26,-33,-28,-32,-23,-29,-34,-43,-30,-30,-22,-27,-46,-36,-28,-29,-34,-29,-33,-34,-30
2020-03-27,-29,-39,-25,-22,-23,-28,-31,-41,-38,-31,-28,-29,-22,-29,-29,-45,-26,-26,-27,-24,-51,-32,-28,-31,-30,-25,-33,-34,-30
2020-03-28,-32,-43,-28,-28,-29,-31,-32,-50,-43,-33,-24,-34,-32,-33,-32,-46,-30,-31,-30,-33,-62,-33,-34,-32,-32,-27,-38,-40,-29
2020-03-29,-36,-47,-38,-33,-34,-43,-44,-48,-39,-32,-37,-38,-31,-37,-38,-66,-36,-29,-23,-36,-59,-35,-35,-38,-31,-36,-37,-29,-31
2020-03-30,-28,-33,-23,-21,-21,-26,-31,-36,-38,-21,-24,-28,-24,-26,-31,-40,-24,-26,-26,-27,-49,-31,-26,-28,-27,-23,-29,-28,-25
2020-03-31,-30,-35,-28,-24,-26,-27,-31,-43,-30,-27,-25,-27,-22,-29,-31,-41,-28,-28,-27,-28,-51,-33,-25,-29,-32,-27,-31,-28,-32
2020-04-01,-34,-36,-29,-27,-20,-26,-27,-42,-32,-36,-32,-30,-23,-32,-34,-43,-31,-30,-22,-27,-46,-41,-29,-34,-29,-28,-33,-41,-31
2020-04-02,-30,-34,-30,-25,-18,-32,-35,-49,-25,-28,-29,-31,-18,-27,-32,-44,-24,-28,-20,-26,-57,-34,-26,-29,-31,-24,-30,-32,-28
2020-04-03,-25,-35,-19,-18,-19,-18,-22,-35,-36,-24,-23,-24,-17,-24,-23,-37,-25,-24,-18,-21,-50,-28,-22,-26,-25,-21,-29,-36,-25
2020-04-04,-35,-44,-28,-23,-28,-35,-37,-48,-44,-37,-26,-39,-31,-31,-39,-33,-31,-32,-31,-33,-67,-37,-34,-36,-29,-29,-37,-43,-31
2020-04-05,-37,-48,-39,-32,-32,-42,-43,-54,-39,-31,-36,-42,-36,-35,-42,-62,-35,-34,-24,-39,-68,-36,-34,-38,-30,-35,-38,-29,-32
2020-04-06,-25,-31,-23,-19,-15,-21,-28,-31,-35,-21,-13,-22,-22,-22,-24,-28,-22,-24,-23,-23,0,-30,-24,-27,-21,-22,-26,0,-24
2020-04-07,-19,-28,-18,-12,-16,-10,0,-27,-23,-15,0,-15,-10,-17,-20,0,-13,-13,0,-18,0,-26,-17,-16,-17,-15,-20,0,-17
2020-04-08,-19,-24,-15,-13,-6,-9,0,0,-16,-20,-12,-14,-10,-18,-19,0,-17,-18,0,-14,0,-25,-15,-20,-9,-17,-19,0,-15
2020-04-09,-17,-25,-15,-14,-5,-9,-21,-27,-9,-16,-11,-14,-7,-18,-18,-21,-16,-17,0,-12,0,-22,-17,-18,-18,-14,-19,0,-14
2020-04-10,-15,-26,-10,-6,-8,-9,-16,-27,-24,-19,-10,-13,-7,-13,-13,-22,-13,-12,-16,-13,0,-19,-14,-14,-19,-12,-21,0,-12
2020-04-11,-19,-31,-12,-11,-12,-9,-23,-32,-27,-18,-8,-21,-15,-22,-18,-27,-19,-20,0,-20,0,-22,-18,-19,-16,-15,-26,0,-16
