date,total,Maldonado Department,Montevideo Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department
2020-03-18,-23.82153536998523,-36.73236505015882,-27.655747963977667,-17.606054586900413,-11.67615105687243,-6.086360820945814,-4.318671813774255
2020-03-19,-27.581893256943356,-38.61769565171197,-31.97609769571849,-22.511928545722704,-14.161899741964296,-9.503998783488154,-9.97437289373146
2020-03-20,-28.18406851908215,-39.71922637373617,-32.556514073487534,-21.845590979548145,-14.870614735449813,-11.670910506123453,-12.708025829047278
2020-03-21,-27.41839943577126,-45.21061063348843,-29.01701910856531,-26.24710462627325,-18.720377472606675,-15.688250791903899,-8.437414017651994
2020-03-22,-33.69672404385007,-52.429417094156136,-33.437113062345,-31.1297004168449,-22.97362128950024,-26.400207820773396,-22.979409537480773
2020-03-23,-33.661111528347234,-46.02407815192507,-38.0832939194128,-27.92798235870485,-18.485728901412276,-19.23894473741507,-17.668779274604574
2020-03-24,-38.66143245508578,-50.596722626148896,-42.69907653738303,-29.875589102341696,-26.557258208107356,-23.246781024412027,-20.1034989951232
2020-03-25,-40.42910822458998,-52.00832802578894,-44.27123546571,-31.69128622589158,-28.61758712591182,-23.127030639740074,-21.98841228842641
2020-03-26,-41.290283599476645,-52.85911934801267,-45.072989021908164,-31.355692633611532,-29.897661851695894,-26.927679753256985,-23.78489517735231
2020-03-27,-39.491042191231294,-51.800654553435116,-43.32794010871382,-28.671913819048207,-26.58587388752131,-24.95084800629145,-21.95092548657081
2020-03-28,-34.0900804650859,-51.653273379506594,-35.8366740611087,-27.325659755219547,-23.759598617403423,-23.261987422465605,-20.8128646302368
2020-03-29,-35.46601856405895,-55.82588323878158,-36.31734621683888,-30.583633386631984,-22.97362128950024,-27.22515491518017,-24.62113921874639
2020-03-30,-39.63025475183328,-52.421760929276736,-44.14869256434796,-29.023026190162017,-28.65287979718903,-24.44903687052328,-22.773712727298783
2020-03-31,-41.499911815731956,-54.754020155665074,-45.83009516443179,-28.789274583978514,-30.448990608404678,-24.44903687052328,-19.709406975615643
2020-04-01,-43.35338137258389,-55.098547575238236,-48.06056595821531,-30.60788147855973,-33.19609583214397,-25.156134380014798,-22.773712727298783
2020-04-02,-42.67026857521139,-56.70347113808322,-46.75534156696379,-29.74755917696318,-32.59516656445099,-25.34431355592786,-26.0860080912574
2020-04-03,-39.46514217995651,-52.40836264073778,-44.18669036321991,-25.394541714093574,-29.96538562630891,-22.133862766865565,-24.646130419983454
2020-04-04,-32.26089216880407,-51.314488083592984,-35.31040454673218,-24.44983605258845,-21.959672382265914,-20.0163718379044,-18.000393291019467
2020-04-05,-35.46601856405895,-55.974221433320025,-36.35724390565443,-27.852328311890272,-24.122063889980137,-23.100419443146308,-24.62113921874639
2020-04-06,-48.745439969853585,-58.37442912301307,-54.19626053106358,-34.22569679417997,-39.51253013478339,-31.263403998284286,-36.515989807541494
2020-04-07,-50.18369997095659,-60.68084879293341,-55.42643926954299,-35.5787403237484,-40.064812747472644,-32.86672859305874,-37.84244587320107
2020-04-08,-50.97365031483759,-59.866424253886855,-55.96505806855289,-35.7542965093053,-41.20943992403068,-29.619212208740834,-38.479721504746216
2020-04-09,-59.03583819946734,-64.21703994660797,-64.72450065350938,-43.14705477623759,-51.47865340971719,-38.41231188322408,-48.3358667926254
2020-04-10,-67.59822005184142,-67.61829119428305,-71.26867156423113,-58.70851025179016,-61.05822902152748,-52.316662103467245,-59.6895617546333
2020-04-11,-42.999684343612586,-59.00032060190431,-44.99984325907966,-31.999721955212554,-36.00043241471115,-32.99978457602757,-35.99982538199136
