date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-03-05,-12,-4,-21,-5,-3,-7,-6,-16,-9,-10,-20,-22,-11,-3,-14,-4,-7,-12,-14,-9,-12
2020-03-06,-15,-9,-4,-13,-13,-16,-14,-17,-15,-16,-4,-20,-16,-10,-13,-11,-12,-11,-13,-15,-14
2020-03-07,-19,-18,-6,-22,-22,-22,-22,-22,-13,-18,-13,-25,-22,-22,-15,-18,-21,-9,-18,-19,-16
2020-03-08,-32,-27,-26,-32,-28,-31,-29,-37,-16,-23,-21,-48,-31,-24,-34,-19,-31,-14,-23,-27,-31
2020-03-09,-30,-23,-29,-24,-23,-26,-26,-34,-21,-28,-31,-42,-27,-22,-31,-27,-25,-28,-28,-24,-30
2020-03-10,-43,-41,-51,-41,-39,-42,-44,-44,-37,-44,-39,-50,-41,-37,-43,-41,-43,-45,-42,-40,-39
2020-03-11,-52,-52,-58,-50,-48,-56,-55,-50,-48,-53,-50,-57,-50,-46,-50,-53,-51,-55,-51,-50,-48
2020-03-12,-70,-70,-74,-66,-65,-71,-70,-68,-71,-72,-70,-74,-67,-66,-69,-69,-68,-75,-70,-68,-70
2020-03-13,-75,-74,-79,-70,-70,-75,-75,-73,-76,-77,-73,-78,-72,-70,-73,-73,-74,-81,-74,-74,-76
2020-03-14,-83,-82,-88,-78,-76,-81,-83,-84,-85,-84,-82,-86,-83,-78,-84,-81,-80,-90,-84,-83,-85
2020-03-15,-90,-90,-93,-90,-87,-89,-91,-90,-90,-90,-88,-91,-90,-87,-90,-88,-90,-92,-90,-91,-91
2020-03-16,-75,-73,-80,-72,-70,-76,-77,-73,-76,-76,-73,-78,-72,-69,-73,-74,-75,-82,-73,-74,-76
2020-03-17,-77,-75,-81,-75,-73,-78,-78,-76,-77,-79,-75,-80,-75,-71,-75,-76,-78,-84,-76,-76,-77
2020-03-18,-79,-77,-83,-75,-75,-79,-79,-77,-79,-80,-78,-82,-77,-73,-77,-77,-78,-85,-77,-78,-79
2020-03-19,-79,-77,-83,-76,-75,-80,-80,-78,-79,-80,-78,-82,-77,-75,-77,-77,-78,-86,-78,-79,-79
2020-03-20,-80,-79,-86,-76,-76,-80,-81,-79,-80,-81,-78,-82,-78,-76,-79,-78,-80,-86,-79,-79,-80
2020-03-21,-86,-85,-91,-81,-80,-85,-84,-86,-87,-86,-86,-88,-86,-81,-86,-84,-84,-90,-86,-86,-88
2020-03-22,-95,-94,-95,-94,-92,-94,-94,-96,-96,-94,-94,-95,-95,-92,-94,-93,-96,-96,-94,-95,-96
2020-03-23,-80,-78,-86,-77,-77,-80,-82,-79,-80,-80,-78,-84,-78,-77,-80,-77,-80,-86,-78,-79,-80
2020-03-24,-81,-83,-87,-79,-79,-82,-82,-80,-81,-82,-80,-84,-81,-81,-81,-79,-82,-87,-80,-81,-80
2020-03-25,-83,-82,-87,-80,-82,-85,-84,-83,-83,-83,-82,-86,-83,-80,-82,-80,-86,-88,-82,-82,-83
2020-03-26,-84,-84,-88,-82,-82,-85,-85,-85,-85,-85,-83,-86,-84,-82,-83,-81,-82,-89,-84,-82,-84
2020-03-27,-83,-81,-88,-78,-78,-81,-82,-83,-83,-83,-81,-86,-83,-79,-83,-81,-82,-88,-82,-82,-83
2020-03-28,-87,-86,-92,-82,-82,-84,-85,-88,-87,-86,-86,-89,-87,-83,-87,-83,-83,-91,-87,-87,-88
2020-03-29,-94,-94,-95,-94,-91,-94,-94,-96,-95,-94,-94,-95,-95,-91,-94,-94,-95,-96,-94,-95,-96
2020-03-30,-81,-79,-87,-78,-79,-81,-82,-81,-82,-80,-79,-85,-79,-77,-82,-79,-80,-87,-79,-79,-83
2020-03-31,-90,-91,-95,-90,-91,-92,-92,-90,-89,-90,-89,-92,-90,-89,-90,-88,-91,-86,-90,-91,-90
2020-04-01,-90,-90,-95,-90,-91,-92,-92,-90,-90,-90,-88,-92,-90,-89,-90,-87,-91,-86,-90,-90,-90
2020-04-02,-90,-89,-95,-89,-90,-91,-92,-90,-89,-90,-88,-92,-90,-89,-89,-87,-91,-86,-89,-90,-90
2020-04-03,-85,-83,-90,-82,-82,-85,-85,-85,-85,-85,-82,-88,-84,-81,-85,-82,-85,-86,-84,-84,-85
2020-04-04,-89,-88,-93,-85,-85,-87,-89,-90,-88,-88,-87,-91,-89,-86,-89,-86,-87,-90,-89,-89,-89
2020-04-05,-95,-95,-96,-94,-93,-95,-95,-96,-95,-94,-94,-96,-95,-94,-95,-94,-96,-95,-95,-95,-96
2020-04-06,-83,-81,-87,-81,-81,-83,-84,-82,-82,-82,-79,-86,-81,-80,-82,-80,-82,-84,-81,-81,-83
2020-04-07,-81,-80,-88,-79,-79,-82,-82,-81,-81,-81,-79,-85,-81,-78,-81,-79,-81,-84,-81,-80,-81
2020-04-08,-82,-80,-88,-79,-79,-82,-82,-81,-82,-81,-80,-85,-81,-77,-81,-79,-81,-84,-81,-81,-82
2020-04-09,-81,-79,-87,-78,-78,-82,-81,-81,-81,-80,-79,-84,-80,-78,-80,-79,-80,-84,-80,-80,-80
2020-04-10,-81,-80,-88,-77,-77,-81,-81,-80,-80,-80,-77,-84,-80,-77,-80,-78,-80,-84,-80,-80,-81
2020-04-11,-86,-85,-91,-82,-82,-85,-86,-87,-86,-85,-84,-89,-86,-83,-85,-83,-83,-88,-85,-86,-87
