date,BR,Federal District,State of Acre,State of Alagoas,State of Amapá,State of Amazonas,State of Bahia,State of Ceará,State of Espírito Santo,State of Goiás,State of Maranhão,State of Mato Grosso,State of Mato Grosso do Sul,State of Minas Gerais,State of Pará,State of Paraíba,State of Paraná,State of Pernambuco,State of Piauí,State of Rio de Janeiro,State of Rio Grande do Norte,State of Rio Grande do Sul,State of Rondônia,State of Roraima,State of Santa Catarina,State of São Paulo,State of Sergipe,State of Tocantins
2020-02-28,3,7,2,0,13,2,0,-3,3,3,3,-1,5,3,1,4,3,1,-2,3,-3,4,5,2,-2,4,2,-2
2020-02-29,5,7,10,4,11,7,1,0,8,4,6,1,8,4,7,8,6,5,-1,3,2,7,9,8,-2,6,4,1
2020-03-01,3,14,8,1,6,7,-1,2,-4,7,4,5,9,5,6,3,8,4,-1,-16,-1,8,7,9,-4,6,7,5
2020-03-02,1,1,10,2,13,5,2,0,2,1,4,2,5,1,4,3,-2,5,-4,0,3,3,7,7,-7,0,5,-3
2020-03-03,2,11,8,0,9,11,0,3,3,2,3,0,5,1,2,3,-1,4,-5,1,3,5,-1,8,-7,1,4,-5
2020-03-04,2,9,5,-1,8,3,-2,-2,-2,2,4,1,5,3,5,1,0,3,-4,7,-3,6,3,2,-4,2,1,-1
2020-03-05,7,10,4,1,7,8,-1,3,3,4,4,8,10,6,8,4,6,11,-4,7,3,3,5,3,-2,10,3,1
2020-03-06,11,16,6,6,15,11,0,6,12,11,8,10,17,13,8,7,11,-7,0,13,1,11,13,9,3,13,4,4
2020-03-07,13,19,15,8,16,18,2,2,10,14,10,14,18,14,5,10,14,8,-1,12,7,15,18,12,8,15,9,10
2020-03-08,11,23,12,5,19,13,-2,6,5,12,9,12,16,15,12,7,14,4,3,7,9,10,21,13,2,12,11,7
2020-03-09,5,13,6,3,8,7,-1,-2,6,6,-7,7,8,6,-1,2,2,8,-9,9,2,4,8,3,-4,7,2,0
2020-03-10,5,14,6,2,14,7,0,2,4,6,10,7,9,6,7,2,2,7,-4,3,3,6,3,3,-2,5,3,-6
2020-03-11,2,11,0,-2,7,1,-4,-4,0,3,3,2,5,5,-2,-2,2,1,-7,5,-4,5,0,3,-1,2,-2,0
2020-03-12,4,14,1,-4,5,-1,-5,-8,0,4,2,6,6,7,-2,-4,6,-1,-9,4,-9,3,0,-1,-1,8,0,0
2020-03-13,7,17,-2,-1,9,3,0,-5,4,7,0,5,8,11,3,1,5,1,-11,13,-6,3,6,3,0,8,1,1
2020-03-14,7,14,8,2,13,-1,0,-2,7,7,3,5,8,9,3,4,8,7,0,11,4,6,9,7,1,9,4,5
2020-03-15,7,13,6,-4,13,9,-4,1,2,8,2,5,8,12,-1,1,10,3,-3,5,3,5,10,4,-1,10,2,4
2020-03-16,6,11,3,-2,19,5,1,2,8,7,1,4,6,9,6,1,5,6,-9,8,2,8,8,0,-2,7,2,-1
2020-03-17,7,10,20,0,16,6,1,8,8,10,10,6,6,10,7,7,11,5,0,1,4,11,9,2,6,6,-14,0
2020-03-18,5,12,4,-9,12,0,-3,3,0,6,5,6,6,10,8,2,8,-2,-3,1,-3,7,-1,2,12,7,0,3
2020-03-19,2,16,-5,-7,-11,-12,-8,-20,3,1,1,7,2,12,4,-1,8,-4,-11,-6,-5,2,3,-3,-29,11,-5,-7
2020-03-20,0,7,-12,1,14,3,-9,-3,3,-4,1,0,5,7,6,5,1,1,-9,-5,-6,1,6,1,-37,5,-6,-8
2020-03-21,-16,-21,-10,-18,-21,2,-22,-29,-15,-19,1,-7,-10,-14,-7,-8,-16,-13,-25,-20,-11,-19,-3,-2,-47,-9,-16,-20
2020-03-22,-33,-37,-26,-35,-29,-15,-40,-36,-41,-35,-18,-33,-34,-32,-22,-32,-41,-33,-38,-29,-33,-45,-33,-12,-58,-28,-31,-36
2020-03-23,-26,-29,-21,-34,-26,-22,-33,-34,-28,-26,-18,-27,-25,-26,-17,-32,-29,-31,-40,-18,-31,-33,-24,-19,-49,-20,-37,-24
2020-03-24,-33,-31,-22,-40,-31,-17,-41,-36,-35,-30,-27,-34,-30,-31,-24,-37,-35,-37,-46,-34,-36,-37,-33,-29,-48,-30,-40,-37
2020-03-25,-32,-34,-23,-37,-28,-25,-40,-44,-33,-32,-30,-32,-31,-31,-23,-37,-33,-36,-45,-29,-37,-33,-33,-29,-46,-28,-39,-33
2020-03-26,-29,-28,-25,-35,-31,-26,-41,-32,-31,-27,-26,-29,-29,-27,-22,-33,-29,-34,-43,-29,-33,-35,-33,-28,-44,-23,-44,-34
2020-03-27,-26,-21,-17,-35,-28,-22,-35,-32,-25,-24,-25,-26,-26,-22,-19,-31,-28,-31,-42,-23,-32,-30,-22,-27,-43,-22,-32,-29
2020-03-28,-27,-30,-18,-32,-29,-21,-36,-34,-26,-28,-23,-25,-28,-24,-22,-29,-26,-29,-39,-26,-31,-31,-21,-21,-41,-24,-33,-30
2020-03-29,-35,-28,-20,-43,-27,-28,-42,-34,-35,-27,-27,-30,-33,-29,-25,-36,-42,-35,-39,-32,-36,-39,-27,-25,-49,-36,-46,-31
2020-03-30,-26,-22,-22,-25,-23,-23,-32,-33,-26,-21,-20,-21,-23,-26,-20,-28,-27,-28,-38,-25,-29,-29,-20,-19,-37,-24,-27,-24
2020-03-31,-21,-17,-6,-23,-15,-17,-26,-25,-21,-17,-18,-18,-18,-19,-15,-21,-21,-23,-30,-25,-23,-21,-16,-18,-33,-20,-22,-18
2020-04-01,-19,-14,-11,-23,-12,-5,-27,-16,-20,-15,-13,-16,-15,-19,-10,-20,-17,-23,-29,-17,-23,-16,-16,-8,-29,-17,-24,-15
2020-04-02,-17,-11,-11,-23,-17,-9,-26,-20,-17,-13,-12,-12,-12,-15,-9,-19,-17,-23,-28,-19,-22,-22,-14,-10,-31,-15,-24,-17
2020-04-03,-14,-5,-13,-20,-16,-6,-23,-19,-16,-10,-11,-11,-6,-11,-7,-15,-14,-17,-29,-14,-21,-17,-9,-10,-27,-11,-22,-13
2020-04-04,-13,-10,-5,-18,-13,-9,-24,-21,-13,-11,-10,-9,-7,-10,-8,-15,-12,-16,-26,-13,-20,-17,-5,-10,-26,-10,-23,-13
2020-04-05,-24,-20,-20,-27,-22,-21,-33,-28,-28,-18,-18,-19,-20,-19,-16,-28,-29,-26,-32,-24,-30,-28,-11,-19,-37,-21,-26,-22
2020-04-06,-14,-11,-6,-15,-14,-12,-26,-19,-12,-13,-8,-8,-8,-12,-7,-17,-19,-16,-25,-14,-16,-14,-8,-9,-29,-11,-19,-14
2020-04-07,-8,-5,-1,-9,-13,-7,-14,-13,-8,-7,2,-5,0,-7,-5,-13,-6,-12,-17,-14,-12,-4,-2,-7,-18,-7,-13,-11
2020-04-08,-7,-1,1,-5,-11,-17,-12,-14,-6,-4,-4,-5,2,-6,-5,-9,-4,-8,-17,-9,-13,-2,-8,-5,-14,-4,-12,-10
2020-04-09,11,20,5,7,0,-9,-1,-6,10,9,8,17,19,16,7,-2,15,3,-18,7,-2,12,1,-1,0,16,0,-2
2020-04-10,-38,-29,-25,-42,-57,-36,-56,-41,-46,-28,-70,-45,-36,-46,-50,-47,-40,-43,-83,-27,-47,-51,-29,-26,-44,-29,-68,-41
2020-04-11,-5,0,-7,-14,-5,-19,-27,-24,-5,-4,-10,0,3,2,-7,-11,9,-18,-31,-10,-17,2,-2,-14,-8,-4,-14,-17
