date,IT,Abruzzo,Aosta,Apulia,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardy,Marche,Molise,Piedmont,Sardinia,Sicily,Trentino-South Tyrol,Tuscany,Umbria,Veneto
2020-03-11,-37,-38,-35,-36,-36,-42,-42,-32,-27,-44,-36,-43,-32,-35,-35,-37,-38,-32,-34,-31,-27
2020-03-12,-47,-50,-44,-47,-45,-53,-51,-40,-37,-55,-48,-52,-40,-48,-44,-46,-49,-41,-44,-42,-37
2020-03-13,-53,-56,-51,-52,-49,-58,-57,-46,-45,-60,-54,-58,-48,-52,-50,-51,-55,-49,-50,-47,-45
2020-03-14,-58,-61,-58,-56,-54,-59,-59,-57,-56,-56,-51,-63,-59,-56,-55,-54,-55,-57,-57,-55,-57
2020-03-15,-55,-58,-59,-58,-53,-55,-61,-53,-48,-55,-52,-57,-56,-53,-52,-48,-56,-58,-54,-52,-53
2020-03-16,-58,-58,-57,-56,-54,-61,-62,-50,-51,-64,-58,-63,-54,-54,-56,-54,-59,-58,-53,-53,-51
2020-03-17,-61,-60,-60,-59,-58,-63,-65,-55,-54,-67,-61,-65,-57,-57,-59,-57,-62,-61,-57,-56,-54
2020-03-18,-61,-61,-61,-60,-58,-65,-65,-56,-54,-68,-63,-66,-58,-58,-60,-57,-63,-62,-57,-56,-55
2020-03-19,-63,-63,-63,-61,-60,-66,-66,-57,-56,-69,-64,-67,-59,-60,-61,-58,-65,-63,-59,-58,-56
2020-03-20,-63,-63,-64,-61,-61,-66,-67,-58,-57,-68,-63,-68,-61,-61,-62,-59,-65,-63,-59,-58,-57
2020-03-21,-63,-65,-63,-61,-61,-65,-64,-62,-59,-61,-57,-67,-64,-62,-59,-59,-62,-61,-61,-60,-62
2020-03-22,-63,-64,-67,-65,-59,-66,-68,-64,-57,-62,-60,-65,-64,-62,-59,-54,-70,-65,-61,-60,-62
2020-03-23,-68,-67,-67,-65,-65,-68,-70,-64,-62,-71,-67,-74,-67,-66,-69,-61,-67,-67,-65,-64,-63
2020-03-24,-69,-71,-68,-67,-67,-70,-71,-66,-63,-72,-68,-74,-69,-71,-70,-62,-69,-68,-66,-66,-64
2020-03-25,-70,-71,-69,-67,-68,-72,-72,-68,-64,-73,-69,-75,-71,-69,-70,-62,-71,-69,-68,-66,-65
2020-03-26,-72,-72,-71,-69,-69,-71,-73,-71,-69,-74,-70,-77,-73,-71,-73,-63,-70,-71,-71,-68,-69
2020-03-27,-71,-71,-69,-67,-66,-69,-71,-70,-68,-72,-69,-77,-73,-68,-72,-64,-69,-70,-70,-67,-69
2020-03-28,-65,-67,-65,-64,-63,-65,-66,-66,-63,-62,-59,-70,-67,-64,-62,-59,-62,-63,-65,-63,-65
2020-03-29,-63,-63,-67,-64,-58,-63,-67,-65,-59,-62,-60,-65,-64,-60,-59,-56,-68,-65,-62,-61,-62
2020-03-30,-69,-68,-68,-65,-64,-67,-69,-67,-66,-71,-67,-75,-70,-64,-71,-61,-67,-69,-67,-64,-67
2020-03-31,-70,-70,-68,-66,-66,-68,-70,-69,-66,-72,-68,-76,-71,-66,-71,-62,-67,-69,-69,-66,-68
2020-04-01,-70,-69,-67,-67,-67,-68,-70,-68,-66,-71,-67,-75,-70,-66,-70,-61,-67,-68,-68,-65,-67
2020-04-02,-70,-68,-68,-66,-65,-67,-70,-68,-66,-72,-67,-75,-70,-66,-70,-62,-68,-68,-68,-65,-67
2020-04-03,-69,-68,-68,-65,-65,-67,-69,-67,-66,-70,-66,-74,-70,-65,-70,-61,-67,-67,-68,-64,-67
2020-04-04,-63,-65,-63,-62,-62,-63,-65,-64,-60,-60,-57,-68,-65,-62,-61,-57,-61,-61,-63,-60,-63
2020-04-05,-62,-62,-64,-63,-59,-62,-66,-63,-58,-61,-59,-64,-64,-59,-59,-54,-67,-64,-61,-59,-61
2020-04-06,-66,-65,-65,-63,-63,-64,-68,-63,-62,-69,-65,-71,-67,-62,-67,-59,-64,-65,-65,-60,-63
2020-04-07,-67,-66,-66,-64,-64,-65,-68,-64,-63,-70,-65,-72,-68,-63,-68,-60,-65,-66,-66,-62,-64
2020-04-08,-67,-66,-64,-64,-63,-65,-68,-64,-62,-69,-65,-71,-67,-63,-67,-59,-65,-65,-65,-61,-63
2020-04-09,-67,-66,-66,-64,-63,-65,-68,-64,-63,-70,-65,-71,-68,-64,-67,-60,-66,-66,-66,-61,-63
2020-04-10,-68,-68,-66,-64,-63,-65,-69,-65,-64,-70,-64,-73,-69,-65,-68,-60,-66,-67,-66,-63,-65
2020-04-11,-62,-64,-61,-61,-61,-62,-64,-63,-59,-59,-55,-67,-65,-62,-59,-56,-60,-59,-62,-60,-62
