date,MX,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico City,Michoacán,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,State of Mexico,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-03-06,0,-1,12,1,-2,-8,8,8,-3,5,-7,-5,-1,5,1,1,1,-3,9,-5,-5,-7,-8,-2,4,6,3,7,8,3,-5,-2,-6
2020-03-07,4,7,7,7,1,-2,8,9,1,1,3,-1,5,9,8,0,0,7,20,-2,-2,2,-2,4,4,3,6,1,9,9,0,-2,-3
2020-03-08,10,9,6,12,2,-5,-2,18,4,10,7,0,10,15,24,3,9,3,28,-1,2,10,-1,16,12,-9,5,9,15,0,-1,-5,7
2020-03-09,-8,-11,-7,-6,-5,-8,1,-6,-9,-8,-8,-8,-6,-10,-16,-2,-8,-9,-13,-8,-12,-8,-6,-12,-4,-2,-6,3,1,-4,-7,-12,-15
2020-03-10,2,2,-31,1,3,-4,14,10,1,2,-2,-8,2,4,3,0,3,-5,2,0,-1,4,-3,9,1,4,2,7,0,0,-2,-1,-4
2020-03-11,2,-1,-5,-3,3,-5,10,11,-3,4,-2,-5,1,5,3,0,2,-4,8,-4,-1,4,-2,13,2,-3,3,4,7,-2,2,-1,-4
2020-03-12,3,6,-22,0,3,-3,10,15,-4,1,6,-5,4,7,3,2,4,-3,14,-4,0,3,1,9,7,-21,3,8,10,-1,5,0,0
2020-03-13,3,0,-12,5,5,2,3,18,0,7,-3,-1,8,4,1,-2,11,-3,10,1,-1,-9,0,4,13,5,2,15,14,4,9,-1,1
2020-03-14,6,7,-5,8,9,5,11,18,8,7,1,24,19,9,-3,6,16,21,14,11,4,-4,3,16,15,6,1,16,11,10,32,-4,14
2020-03-15,6,-3,-2,7,2,-2,12,12,10,5,3,34,25,5,-5,8,29,23,-3,12,3,5,2,20,28,11,2,6,11,6,23,-14,15
2020-03-16,-7,-12,-3,-2,-10,-8,10,2,4,-6,-9,22,-5,-6,-22,3,2,10,-24,-2,-8,-8,-8,-6,12,3,-7,-5,-5,-13,2,-23,-13
2020-03-17,-8,-6,-5,-15,-11,-5,-3,-2,-12,-8,-10,-7,0,-13,-12,-5,-3,-8,-23,-4,-5,-3,-16,3,-9,-14,-4,4,-17,-6,-5,-27,-3
2020-03-18,-14,-16,-35,-17,-12,-6,-19,-4,-19,-11,-14,-7,-4,-18,-17,-6,-8,-14,-22,-10,-6,-17,-21,-3,-12,-41,-8,-4,-17,-10,-7,-31,-8
2020-03-19,-16,-14,-27,-15,-17,-8,-9,-16,-29,-24,-16,-15,-5,-20,-23,-5,-11,-21,-27,-10,-9,-20,-23,-9,-15,-21,-9,-7,-27,-13,-7,-36,-9
2020-03-20,-22,-20,-22,-16,-25,-13,-12,-24,-34,-22,-24,-22,-8,-26,-25,-13,-19,-29,-39,-16,-18,-27,-28,-23,-18,-26,-12,-11,-25,-13,-16,-40,-23
2020-03-21,-32,-21,-31,-25,-32,-19,-25,-39,-37,-28,-26,-29,-20,-37,-38,-18,-22,-35,-53,-22,-22,-35,-35,-34,-29,-37,-21,-24,-42,-11,-20,-47,-33
2020-03-22,-37,-28,-38,-30,-42,-28,-29,-50,-46,-42,-33,-32,-27,-50,-41,-24,-20,-43,-54,-29,-29,-43,-43,-41,-31,-44,-27,-36,-51,-26,-31,-59,-38
2020-03-23,-30,-27,-31,-36,-35,-22,-26,-37,-33,-32,-24,-22,-24,-42,-34,-16,-22,-36,-39,-30,-25,-29,-41,-30,-27,-30,-21,-29,-39,-17,-26,-44,-39
2020-03-24,-33,-29,-27,-39,-40,-27,-27,-41,-40,-36,-27,-24,-25,-44,-38,-21,-26,-38,-43,-34,-25,-29,-45,-35,-32,-33,-24,-34,-39,-21,-29,-46,-41
2020-03-25,-36,-35,-36,-38,-43,-29,-36,-41,-35,-35,-31,-24,-28,-41,-41,-22,-28,-42,-41,-37,-29,-33,-50,-37,-31,-34,-26,-40,-42,-23,-30,-47,-43
2020-03-26,-36,-31,-38,-42,-43,-31,-35,-40,-37,-39,-31,-27,-31,-37,-43,-21,-29,-43,-41,-37,-31,-33,-50,-38,-31,-34,-27,-40,-41,-23,-30,-49,-43
2020-03-27,-37,-31,-32,-39,-42,-33,-42,-39,-36,-35,-34,-33,-28,-36,-43,-25,-31,-44,-42,-38,-32,-36,-52,-40,-32,-38,-24,-35,-40,-18,-34,-50,-45
2020-03-28,-39,-28,-39,-40,-43,-32,-43,-43,-36,-33,-36,-38,-27,-36,-47,-25,-35,-43,-45,-39,-32,-41,-53,-43,-36,-42,-27,-38,-44,-17,-33,-52,-42
2020-03-29,-46,-37,-45,-45,-52,-41,-50,-57,-45,-45,-46,-41,-37,-46,-55,-31,-35,-50,-57,-44,-41,-48,-60,-51,-40,-50,-36,-48,-56,-33,-44,-63,-44
2020-03-30,-36,-34,-30,-45,-40,-30,-36,-40,-30,-36,-32,-29,-28,-35,-43,-22,-32,-41,-42,-37,-32,-32,-58,-37,-33,-36,-26,-38,-44,-18,-33,-49,-45
2020-03-31,-37,-36,-38,-46,-45,-36,-33,-41,-35,-32,-33,-28,-28,-37,-45,-22,-32,-42,-43,-38,-30,-32,-58,-40,-34,-36,-27,-39,-43,-22,-33,-50,-43
2020-04-01,-39,-38,-38,-49,-44,-35,-37,-41,-31,-32,-35,-29,-29,-38,-49,-23,-33,-42,-40,-40,-31,-37,-60,-40,-34,-38,-29,-39,-40,-21,-33,-55,-46
2020-04-02,-41,-35,-39,-53,-47,-38,-36,-43,-34,-38,-36,-35,-36,-39,-53,-23,-36,-44,-42,-45,-36,-38,-61,-41,-36,-36,-32,-45,-38,-30,-34,-59,-48
2020-04-03,-43,-35,-34,-51,-49,-39,-36,-44,-34,-33,-41,-43,-35,-39,-53,-27,-37,-50,-43,-49,-37,-41,-63,-45,-38,-41,-29,-43,-38,-34,-39,-60,-49
2020-04-04,-46,-32,-45,-55,-50,-39,-44,-50,-39,-36,-44,-51,-32,-42,-57,-30,-43,-49,-52,-50,-38,-49,-64,-50,-44,-49,-30,-43,-50,-30,-37,-65,-48
2020-04-05,-52,-40,-52,-59,-55,-47,-50,-61,-46,-46,-53,-53,-37,-52,-61,-35,-42,-59,-62,-52,-45,-57,-69,-54,-48,-56,-38,-51,-58,-37,-49,-72,-48
2020-04-06,-41,-32,-40,-63,-47,-39,-39,-45,-33,-37,-39,-37,-30,-40,-51,-21,-34,-47,-48,-46,-32,-41,-65,-44,-40,-39,-27,-44,-46,-25,-37,-61,-46
2020-04-07,-42,-30,-46,-60,-51,-41,-38,-48,-36,-40,-41,-37,-27,-40,-53,-22,-33,-48,-49,-48,-31,-40,-66,-44,-42,-37,-27,-47,-49,-27,-37,-60,-46
2020-04-08,-42,-33,-47,-62,-51,-42,-39,-47,-33,-37,-40,-36,-29,-38,-54,-21,-35,-51,-44,-49,-31,-42,-66,-45,-41,-40,-27,-48,-48,-28,-36,-60,-44
2020-04-09,-46,-35,-45,-67,-54,-47,-41,-53,-39,-47,-44,-45,-29,-43,-62,-21,-37,-58,-49,-53,-35,-46,-67,-51,-44,-41,-29,-50,-50,-26,-40,-62,-48
2020-04-10,-57,-53,-64,-66,-64,-57,-52,-62,-50,-53,-58,-59,-43,-52,-68,-34,-49,-66,-62,-63,-46,-61,-72,-65,-50,-51,-40,-60,-57,-45,-53,-70,-59
2020-04-11,-54,-38,-54,-67,-58,-53,-56,-62,-48,-49,-54,-59,-38,-49,-67,-31,-52,-64,-57,-59,-44,-59,-70,-62,-55,-59,-41,-54,-58,-42,-44,-66,-53
