date,LV,Ādaži Municipality,Aizkraukle Municipality,Aloja Municipality,Alūksne Municipality,Babīte Municipality,Baldone Municipality,Balvi Municipality,Bauska Municipality,Burtnieki Municipality,Carnikava Municipality,Cēsis Municipality,City of Liepāja,Daugavpils,Daugavpils Municipality,Dobele Municipality,Engure Municipality,Garkalne Municipality,Grobiņa Municipality,Gulbene Municipality,Iecava Municipality,Ikšķile Municipality,Inčukalns Municipality,Jēkabpils,Jēkabpils Municipality,Jelgava,Jelgava Municipality,Jūrmala,Ķegums Municipality,Ķekava Municipality,Kocēni Municipality,Krāslava Municipality,Krimulda Municipality,Kuldīga Municipality,Lielvārde Municipality,Limbaži Municipality,Madona Municipality,Mārupe Municipality,Ogre Municipality,Olaine Municipality,Ozolnieki Municipality,Preiļi Municipality,Priekuļi Municipality,Rēzekne,Rēzekne Municipality,Riga,Ropaži Municipality,Salacgrīva Municipality,Salaspils Municipality,Saldus Municipality,Saulkrasti Municipality,Sigulda Municipality,Smiltene Municipality,Stopiņi Municipality,Talsi Municipality,Tukums Municipality,Valmiera,Ventspils,Ventspils Municipality
2020-03-13,-12,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-28,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-14,-22,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,-46,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,-49,NA,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,-50,NA,NA,0,4,NA,-17,0,NA,0,0,0,0,NA
2020-03-15,56,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,9,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-03-16,-18,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-34,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-17,26,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-3,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-18,-14,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-38,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-19,29,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-8,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
2020-03-20,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,-34,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-21,10,0,0,NA,NA,NA,NA,NA,0,0,NA,0,-13,-49,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,13,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,-39,NA,0,0,10,NA,0,0,NA,0,0,0,0,NA
2020-03-22,47,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,-8,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-03-23,9,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-24,0,NA,0,0,0,0,0,0,0,0,0,0,0
2020-03-24,16,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,-16,0,NA,0,0,0,0,0,0,0,0,0,0,0
2020-03-25,34,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-7,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
2020-03-26,36,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,-6,NA,NA,0,0,0,0,0,0,0,0,0,0,NA
2020-03-27,35,0,0,0,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,NA,0,0,-16,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-03-28,47,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,49,0,NA,0,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,0,NA,-28,NA,NA,0,0,NA,0,0,NA,0,0,0,0,NA
2020-03-29,-18,0,0,NA,NA,NA,NA,NA,0,0,NA,0,0,-61,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,-62,0,NA,0,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,-50,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-03-30,-11,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,-39,0,NA,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,5,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,-27,0,NA,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,-8,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-35,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-04-02,-22,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,-48,0,NA,0,0,0,0,0,0,0,0,0,0,NA
2020-04-03,-16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,-47,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-04-04,-1,0,0,NA,NA,0,NA,NA,0,0,NA,0,-13,-46,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,-37,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,-42,NA,0,0,0,NA,-24,0,NA,0,0,0,0,NA
2020-04-05,71,0,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,34,NA,NA,NA,0,NA,0,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,20,NA,NA,0,0,NA,0,NA,NA,0,0,0,0,NA
2020-04-06,38,0,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,61,0,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,17,0,NA,0,0,NA,0,0,0,0,0,0,0,0
2020-04-08,49,0,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,NA,NA,0,0,8,0,NA,0,0,NA,0,0,0,0,0,0,0,NA
2020-04-09,2,0,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,-38,0,NA,0,0,0,0,0,0,0,0,0,0,NA
2020-04-10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,0,-30,NA,NA,0,0,NA,0,0,0,0,0,0,0,0
2020-04-11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,-32,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
