date,total,Akwa Ibom,Anambra,Imo,Jigawa,Kaduna,Kano,Oyo,Plateau,Taraba,Yobe
2020-03-25,-17.276635453920857,-10.857559034883641,-4.820203203232514,NA,NA,-29.823848442536566,-16.76277882394052,-7.49952,NA,NA,NA
2020-03-26,-26.85936223892877,-16.29157455186004,1.7645302023248328,NA,NA,-19.327165520710764,-8.608161363592242,-3.70368,NA,NA,NA
2020-03-27,-30.233110337681342,-14.461830714503938,-11.340426902468307,NA,NA,-28.68082364761811,-19.200704703849663,-11.66688,NA,NA,NA
2020-03-28,-30.561670128771265,-18.416438362983257,-10.799683775949406,NA,NA,-25.0906263647399,-10.499796160043486,-10.5552,NA,NA,NA
2020-03-29,-24.14674054907664,-16.19066256083,-3.1078499692559958,NA,NA,-27.51410430885806,-13.399419541457165,-20.95776,NA,NA,NA
2020-03-30,-26.752780648160577,-29.677645361987082,-29.279817292770772,NA,NA,-31.77438329157652,-17.69432742521015,-21.87456,NA,NA,NA
2020-03-31,-44.7025629911437,-28.024973508891247,-35.82186045149768,NA,NA,-32.386650304443286,-22.060579293743086,-19.620479999999997,NA,NA,NA
2020-04-01,-46.7692842136337,-44.154708075137066,-33.74331976693117,NA,NA,-35.48020994840171,-18.160101725844967,-21.2496,NA,NA,NA
2020-04-02,-42.38341168525535,-35.41630085188437,-30.587087517934005,NA,NA,-20.894796541270573,-2.8690473879365572,-20.987519999999996,NA,NA,NA
2020-04-03,-44.90450705786238,-50.96055547017286,-34.560126489620245,NA,NA,-32.541138730290484,-19.200704703849663,-24.44448,NA,NA,NA
2020-04-04,-43.16474289577406,-58.08341883702944,-28.619541475126642,NA,NA,-27.818342251784113,-16.333695715478246,-22.777919999999998,NA,NA,NA
2020-04-05,-34.072451701368664,-49.5830115926212,-24.238573478171762,NA,NA,-31.29101459720802,-10.30716740113762,-20.95776,NA,NA,NA
2020-04-06,-45.266724193405416,-65.14630620921723,-34.159786841565904,NA,NA,-34.61109408029206,-19.169109510589973,-21.87456,NA,NA,NA
2020-04-07,-44.07910075341698,-62.51783444285917,-30.88117588498815,NA,NA,-31.864422558174574,-19.302624682106735,-17.088959999999997,NA,NA,NA
2020-04-08,-45.84210451048483,-64.42183427361473,-30.12793019646884,NA,NA,-25.71047563163598,-15.366475121818642,-21.2496,NA,NA,NA
2020-04-09,-45.01509547535119,-65.16629820744016,-24.705320176851234,NA,NA,-39.177506569443906,-7.173128069732679,-27.160320000000002,NA,NA,NA
2020-04-10,-45.58166077364527,-53.71564322527616,-36.18045852487337,NA,NA,-31.437920769025897,-18.070412144978743,-29.444159999999997,NA,NA,NA
2020-04-11,-41.00025510130121,-50.99958746670334,-27.000158112025304,NA,NA,-30.000135848718017,-6.999864106695658,-25.000320000000002,NA,NA,NA
