date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-03-22,-58,-59,-51,-53,-60,-65,-58,-58,-55,-56,-59,-60,-56,-60,-64,-57,-58,-54,-67,-66,-58
2020-03-23,-42,-40,-41,-39,-39,-49,-40,-40,-42,-47,-41,-42,-45,-52,-41,-41,-41,-39,-38,-47,-41
2020-03-24,-40,-35,-44,-41,-36,-47,-39,-41,-39,-46,-38,-41,-44,-49,-40,-38,-39,-37,-36,-47,-39
2020-03-25,-42,-38,-42,-43,-36,-50,-42,-41,-39,-47,-40,-41,-45,-51,-43,-39,-40,-37,-47,-50,-42
2020-03-26,-42,-38,-43,-45,-38,-52,-41,-43,-43,-48,-42,-42,-45,-50,-44,-39,-42,-37,-43,-48,-43
2020-03-27,-39,-34,-40,-41,-33,-51,-39,-39,-37,-44,-40,-40,-41,-49,-40,-37,-38,-34,-38,-50,-40
2020-03-28,-47,-45,-41,-49,-41,-52,-47,-46,-48,-51,-51,-47,-47,-52,-52,-45,-47,-45,-57,-53,-48
2020-03-29,-59,-61,-56,-59,-60,-66,-61,-61,-59,-60,-64,-62,-58,-63,-63,-59,-59,-56,-68,-64,-60
2020-03-30,-45,-40,-44,-45,-39,-51,-45,-43,-42,-53,-43,-44,-47,-51,-44,-43,-42,-41,-37,-47,-42
2020-03-31,-36,-29,-41,-39,-32,-48,-40,-38,-33,-43,-40,-35,-40,-50,-36,-35,-34,-31,-32,-43,-35
2020-04-01,-40,-28,-44,-44,-31,-47,-37,-39,-39,-47,-36,-42,-47,-53,-40,-33,-39,-37,-40,-47,-36
2020-04-02,-35,-31,-43,-39,-31,-45,-36,-36,-37,-43,-40,-34,-38,-50,-37,-32,-35,-29,-36,-45,-38
2020-04-03,-34,-28,-41,-39,-26,-47,-37,-36,-34,-39,-37,-34,-36,-53,-37,-31,-34,-28,-34,-42,-32
2020-04-04,-44,-40,-46,-48,-37,-48,-46,-42,-44,-49,-46,-42,-46,-52,-48,-41,-44,-42,-54,-48,-44
2020-04-05,-60,-61,-56,-57,-59,-64,-67,-61,-58,-61,-65,-62,-59,-59,-62,-59,-61,-56,-67,-63,-60
2020-04-06,-39,-31,-36,-36,-30,-40,-39,-37,-35,-42,-34,-38,-46,-46,-40,-35,-38,-37,-30,-41,-33
2020-04-07,-30,-22,-37,-34,-24,-35,-28,-30,-30,-41,-25,-29,-35,-42,-31,-27,-28,-27,-23,-37,-25
2020-04-08,-27,-18,-33,-34,-20,-36,-25,-23,-23,-35,-24,-25,-34,-36,-24,-22,-23,-23,-30,-34,-23
2020-04-09,-28,-20,-32,-35,-21,-38,-27,-25,-31,-38,-28,-24,-34,-49,-31,-25,-26,-22,-27,-36,-25
2020-04-10,-45,-40,-59,-53,-32,-65,-56,-49,-47,-52,-52,-50,-46,-70,-51,-38,-50,-39,-43,-56,-47
2020-04-11,-40,-38,-36,-48,-35,-47,-42,-39,-46,-45,-43,-40,-41,-50,-48,-38,-42,-39,-50,-48,-42
