date,HR,Bjelovar-Bilogora County,Brod-Posavina County,City of Zagreb,Dubrovnik-Neretva County,Istria County,Karlovac County,Koprivnica-Križevci County,Krapina-Zagorje County,Lika-Senj County,Međimurje County,Osijek-Baranja County,Požega-Slavonia County,Primorje-Gorski Kotar County,Šibenik-Knin County,Sisak-Moslavina County,Split-Dalmatia County,Varaždin County,Virovitica-Podravina County,Vukovar-Srijem County,Zadar County,Zagreb County
2020-03-06,-9,-6,0,2,-11,3,5,0,0,0,0,0,0,-12,-5,0,-26,0,0,0,-3,-11
2020-03-07,11,-1,0,31,9,35,1,0,0,0,0,25,0,19,16,0,6,0,0,0,14,6
2020-03-08,9,2,0,34,-3,30,28,0,0,0,0,12,0,48,19,0,10,0,0,0,32,21
2020-03-09,15,3,0,20,20,14,16,0,0,0,0,0,0,13,27,0,10,0,0,0,12,4
2020-03-10,19,17,0,42,23,28,16,0,0,0,0,0,0,22,30,0,8,0,0,0,24,28
2020-03-11,27,25,0,49,25,37,0,0,0,0,0,0,0,22,33,0,13,0,0,0,23,36
2020-03-12,25,22,0,41,19,23,27,0,0,0,0,0,0,20,36,0,11,0,0,0,20,23
2020-03-13,-5,-2,0,-37,9,-6,13,0,0,0,0,7,0,-10,17,0,4,0,0,0,10,-24
2020-03-14,1,2,0,16,3,12,5,0,0,0,0,17,0,-2,12,0,-1,0,0,0,26,9
2020-03-15,3,1,0,11,-2,3,36,0,0,0,0,0,0,19,37,0,25,0,0,0,31,5
2020-03-16,13,14,0,16,-5,15,0,0,0,0,0,0,0,4,37,0,10,0,0,0,18,0
2020-03-17,17,27,0,28,-7,19,0,0,0,0,0,0,0,20,38,0,15,0,0,0,34,0
2020-03-18,14,19,0,14,-2,20,33,0,0,0,0,0,0,8,38,0,18,0,0,0,13,23
2020-03-19,14,26,0,29,-11,16,38,0,0,0,0,0,0,11,25,0,6,0,0,0,11,18
2020-03-20,4,17,0,3,-13,4,40,0,0,0,0,30,0,3,22,0,-3,0,0,0,11,15
2020-03-21,-28,-10,0,-48,-27,-11,-1,0,0,0,0,-31,0,-22,5,0,-33,-54,0,0,8,-33
2020-03-22,-57,-39,0,-33,-51,-58,-24,0,0,-54,0,-58,0,-63,-40,-51,-52,-79,0,0,-46,-64
2020-03-23,-52,-29,0,-65,-60,-42,-8,0,0,-58,0,-58,0,-54,-42,0,-61,0,0,0,-45,-55
2020-03-24,-60,-40,0,-70,-64,-54,-33,0,0,0,0,-70,0,-61,-43,0,-63,0,0,0,-48,-64
2020-03-25,-59,-42,0,-73,-58,-53,-35,0,0,0,0,-70,0,-62,-47,0,-55,0,0,0,-52,-64
2020-03-26,-60,-39,0,-74,-59,-61,-36,0,0,0,0,-63,0,-67,-46,0,-58,0,0,0,-57,-68
2020-03-27,-52,-27,0,-59,-66,-46,-23,0,0,0,0,-49,0,-54,-34,0,-60,0,0,0,-38,-55
2020-03-28,-42,-16,0,-44,-46,-20,-27,0,0,0,0,-25,0,-42,-26,0,-48,-63,0,0,-21,-52
2020-03-29,-45,-23,0,-51,-29,-35,-16,0,0,0,0,-14,0,-47,-12,0,-33,-62,0,0,-19,-64
2020-03-30,-41,-30,0,-57,-42,-36,-22,0,0,-55,0,-53,0,-52,-23,0,-39,0,0,0,-26,-53
2020-03-31,-42,-16,0,-43,-52,-28,-10,0,0,0,0,-38,0,-42,-34,0,-55,0,0,0,-28,-42
2020-04-01,-34,-8,0,-38,-48,-19,2,0,0,0,0,-21,0,-38,-23,0,-44,0,0,0,-27,-38
2020-04-02,-22,0,0,-22,-33,-14,18,0,0,0,0,-24,0,-27,-6,0,-32,0,0,0,-13,-24
2020-04-03,-25,1,0,-29,-37,-13,20,0,0,0,0,-14,0,-30,-18,0,-36,0,0,0,-17,-32
2020-04-04,-31,-15,0,-18,-40,-3,-9,0,0,0,0,-12,0,-36,-28,0,-44,-46,0,0,-1,-39
2020-04-05,-30,-21,0,-10,-49,-16,7,0,0,0,0,22,0,-30,-9,0,-25,-38,0,0,-13,-42
2020-04-06,-10,2,0,-3,-27,4,0,0,0,0,0,-11,0,-23,2,0,-19,0,0,0,2,-10
2020-04-07,-5,16,0,0,-22,14,0,0,0,0,0,6,0,-12,2,0,-14,0,0,0,15,-4
2020-04-08,-8,30,0,-7,-25,2,0,0,0,0,0,0,0,-20,-5,0,-17,0,0,0,1,-7
2020-04-09,-8,26,0,-3,-29,-2,34,0,0,0,0,16,0,-19,-13,0,-21,0,0,0,-2,-8
2020-04-10,-17,19,0,-22,-35,-6,28,0,0,0,0,7,0,-24,-17,0,-30,0,0,0,-10,-8
2020-04-11,-21,-18,0,-5,-23,3,0,0,0,0,0,-2,0,-25,-14,0,-31,0,0,0,4,-18
