date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-03-11,29,16,13,16,4,0,24,-9,4,28,17,28,30,17,6,13,23,53,12,36,20
2020-03-12,10,13,11,13,3,0,26,-18,1,21,0,11,4,12,14,15,18,28,15,21,0
2020-03-13,-10,-17,9,7,-19,0,4,-36,-16,14,2,-17,-19,-1,-1,-9,-14,-4,-6,-3,-5
2020-03-14,-31,-36,-4,-11,-40,-9,-26,-43,-44,-15,-38,-42,-33,-23,-26,-39,-32,-10,-39,-19,-23
2020-03-15,-58,-74,-12,-22,-71,-36,-44,-67,-52,-23,-56,-70,-59,-37,-37,-71,-59,-53,-70,-51,-55
2020-03-16,-40,-47,-24,-22,-47,-34,-39,-58,-46,-24,-27,-41,-46,-41,-31,-40,-36,-35,-34,-26,-36
2020-03-17,-44,-28,-33,-30,-47,-33,-32,-56,-53,-52,-37,-38,-49,-53,-35,-39,-41,-33,-34,-29,-37
2020-03-18,-38,-37,-42,-25,-45,-27,-41,-58,-55,-35,-38,-34,-45,-58,-38,-41,-40,-24,-35,-33,-34
2020-03-19,-53,-45,-52,-31,-55,-40,-51,-66,-64,-47,-38,-52,-60,-68,-43,-50,-48,-35,-40,-44,-47
2020-03-20,-70,-74,-52,-51,-74,-62,-63,-78,-72,-69,-62,-72,-73,-71,-65,-73,-71,-63,-62,-65,-61
2020-03-21,-71,-73,-63,-59,-75,-65,-66,-74,-79,-68,-79,-74,-72,-75,-71,-76,-69,-58,-74,-71,-62
2020-03-22,-72,-77,-59,-47,-77,-62,-64,-72,-77,-61,-70,-79,-74,-86,-67,-74,-73,-67,-73,-68,-60
2020-03-23,-59,-56,-53,-42,-62,-48,-55,-71,-72,-60,-40,-60,-63,-82,-49,-58,-53,-42,-47,-53,-48
2020-03-24,-60,-48,-62,-42,-61,-47,-47,-70,-72,-56,-49,-59,-65,-78,-54,-57,-54,-42,-44,-46,-50
2020-03-25,-59,-56,-56,-44,-62,-42,-53,-72,-72,-63,-51,-60,-65,-75,-55,-61,-54,-43,-47,-56,-49
2020-03-26,-60,-55,-56,-45,-61,-47,-52,-71,-70,-59,-43,-61,-67,-75,-53,-56,-50,-43,-43,-54,-52
2020-03-27,-63,-60,-61,-49,-67,-51,-56,-71,-71,-62,-53,-63,-68,-74,-55,-62,-59,-47,-52,-62,-54
2020-03-28,-72,-74,-61,-58,-77,-56,-65,-76,-78,-72,-71,-78,-73,-79,-70,-76,-69,-61,-72,-63,-58
2020-03-29,-80,-84,-66,-60,-82,-57,-65,-80,-78,-78,-75,-85,-82,-86,-70,-82,-77,-78,-76,-71,-65
2020-03-30,-71,-70,-56,-53,-74,-55,-67,-76,-72,-77,-60,-74,-77,-80,-56,-70,-63,-63,-54,-59,-58
2020-03-31,-68,-65,-58,-51,-73,-60,-61,-77,-72,-68,-59,-69,-71,-78,-56,-71,-61,-54,-55,-62,-61
2020-04-01,-67,-60,-63,-53,-65,-49,-57,-76,-75,-74,-55,-74,-77,-77,-56,-62,-68,-66,-50,-54,-49
2020-04-02,-57,-45,-69,-43,-61,-56,-55,-67,-70,-63,-51,-53,-61,-75,-48,-53,-50,-41,-38,-51,-48
2020-04-03,-61,-57,-64,-44,-64,-51,-51,-71,-71,-61,-55,-59,-64,-83,-51,-58,-54,-51,-49,-57,-47
2020-04-04,-78,-76,-68,-61,-78,-54,-69,-77,-80,-80,-79,-84,-81,-82,-70,-78,-73,-75,-74,-63,-60
2020-04-05,-88,-92,-70,-67,-89,-81,-84,-87,-81,-85,-85,-92,-89,-84,-78,-90,-88,-88,-87,-82,-76
2020-04-06,-69,-67,-56,-44,-69,-50,-65,-76,-70,-64,-60,-72,-78,-78,-55,-67,-62,-67,-52,-55,-54
2020-04-07,-62,-49,-58,-42,-63,-35,-48,-81,-68,-65,-45,-61,-66,-75,-50,-60,-50,-48,-46,-45,-43
2020-04-08,-58,-53,-53,-42,-58,-36,-49,-82,-67,-62,-45,-61,-68,-71,-46,-57,-54,-51,-40,-41,-38
2020-04-09,-68,-60,-54,-45,-71,-51,-59,-84,-74,-70,-55,-64,-73,-79,-60,-65,-60,-58,-54,-57,-59
2020-04-10,-70,-69,-64,-56,-77,-67,-62,-87,-82,-70,-60,-68,-69,-82,-64,-72,-66,-55,-64,-71,-64
2020-04-11,-73,-74,-57,-63,-76,-50,-66,-83,-80,-75,-77,-81,-73,-81,-66,-76,-68,-65,-74,-65,-56
