date,FI,Central Finland,Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Päijänne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa
2020-03-29,-59,-70,-63,-64,-64,-71,0,-55,-53,-50,-54,-53,-48,-64,-51,-66,-51,-62,-64
2020-03-30,-57,-63,0,-62,-59,-62,0,-49,-48,-53,-48,-53,-45,-56,-47,-51,-52,-57,-62
2020-03-31,-59,-64,0,-67,-59,-61,0,-56,-51,-53,-49,-57,-46,-53,-49,-51,-51,-56,-64
2020-04-01,-56,-63,-59,-58,-56,-60,0,-52,-47,-48,-47,-51,-36,-57,-47,-55,-45,-51,-61
2020-04-02,-59,-66,-59,-62,-60,-67,0,-55,-52,-62,-53,-56,-43,-60,-51,-57,-50,-54,-65
2020-04-03,-62,-71,-64,-57,-67,-67,-54,-56,-56,-61,-57,-57,-50,-66,-61,-62,-56,-64,-67
2020-04-04,-55,-66,0,0,-64,-67,0,-44,-43,-49,-44,-49,-33,-65,-49,-52,-39,-61,-62
2020-04-05,-57,-74,-55,0,-69,-77,-58,-52,-50,-58,-49,-51,-43,-66,-55,-66,-41,-61,-62
2020-04-06,-56,-62,0,-56,-62,-66,0,-50,-49,-52,-53,-50,-35,-57,-48,-51,-43,-54,-61
2020-04-07,-56,-57,0,-56,-57,-62,0,-51,-43,-45,-42,-50,-40,-51,-44,-44,-46,-58,-62
2020-04-08,-54,-57,0,-53,-56,-60,0,-50,-42,-44,-44,-49,-33,-57,-39,-47,-42,-55,-61
2020-04-09,-54,-53,0,-56,-52,-61,0,-47,-46,-44,-44,-51,-30,-49,-34,-46,-41,-47,-61
2020-04-10,-69,-77,-60,-76,-79,-71,-63,-63,-68,-56,-65,-68,-54,-70,-61,-76,-59,-75,-73
2020-04-11,-54,-65,0,0,-67,-67,0,-41,-41,-38,-45,-50,-29,-61,-38,-48,-36,-58,-62
