date,total,Burgenland,Carinthia,Lower Austria,Salzburg,Styria,Tyrol,Upper Austria,Vienna,Vorarlberg
2020-03-28,-49.19196698735747,-47.123610588420064,-48.2214950317946,-44.98094188387459,-56.51125572900765,-46.98165004066569,-59.18483809935284,-43.34273678922246,-49.85255201030286,-50.254180158248104
2020-03-29,-51.69953980051403,-48.93076426156349,-48.00939531237921,-45.959949709300396,-59.37811167300722,-46.93730499292032,-64.14862339232955,-46.16061483710413,-52.11664363317226,-54.27184193978791
2020-03-30,-58.98762682884912,-58.23507317839289,-55.025961143356426,-58.07322907310071,-58.79083121008548,-57.36899546363014,-58.92033123497723,-53.72830354987355,-67.45581604139976,-52.064984576536716
2020-03-31,-59.546388230623236,-59.03687219043273,-55.20926904565661,-59.592245183186,-58.00746861891848,-58.22408366689413,-58.59493070398279,-54.445633560034096,-67.60179291375384,-51.72025389583578
2020-04-01,-59.36416589757714,-58.60491372387491,-54.72844569983256,-59.07651784657776,-57.677123358524995,-57.36899546363014,-58.097315272081914,-54.159844711364556,-67.77387161096595,-52.064984576536716
2020-04-02,-59.83907277440968,-58.69570145467799,-55.271651316072905,-59.49026520137082,-58.543555225697375,-58.02067486093168,-58.81471878193517,-55.062937473160304,-68.02038884573611,-52.619846037327825
2020-04-03,-59.69877770383435,-58.42429392259299,-55.65362275646805,-59.41353740552891,-59.9132323579721,-57.924272583224344,-58.61110558417841,-55.147721498265604,-67.26826959612364,-52.516233164195796
2020-04-04,-48.14862318664216,-44.47260884897011,-45.73868066922614,-44.3836305618142,-54.50600204311038,-46.406128442752944,-57.696749121354834,-42.442501915913404,-49.80711550036483,-47.541846909250026
2020-04-05,-46.85049063706594,-42.60333725475089,-44.24342563370945,-41.18728656034957,-55.10004395873023,-41.700733267858325,-60.4360126556619,-40.49056407950045,-47.25203686704125,-49.88620920693812
2020-04-06,-58.02652496605728,-57.42467322343486,-54.63343270335237,-57.74009446583777,-57.53223508642259,-56.74816479519496,-56.248621612075446,-53.286283463931326,-66.04825096757489,-50.43429225546825
2020-04-07,-58.76428352684129,-58.327772229844456,-55.078746141400984,-59.30767247202552,-57.65780492224467,-57.77484905277799,-55.85661863321664,-54.05029231937456,-66.18649396589697,-51.32904267391674
2020-04-08,-58.76347723333223,-57.891035461665425,-54.815780878415374,-58.79000265957318,-57.23859485496172,-57.613857249006756,-55.677743487523784,-54.03790813593222,-66.65439334483325,-50.88457249851863
2020-04-09,-59.60444136327509,-58.42429392259299,-56.54424963256528,-59.35234941643979,-58.71838707403427,-58.872870995864446,-56.74052826273079,-55.15438990473456,-66.89801037684141,-52.452322420020906
2020-04-10,-63.18357824996383,-64.45451056856602,-62.6509940427018,-62.47973552543891,-62.43139052711188,-63.1010748961078,-59.837542088423575,-58.92013430070353,-68.60236286664446,-60.12935847787764
2020-04-11,-45.00004703378803,-42.99993628931171,-45.9997264777374,-40.00043381960519,-52.000400857552805,-44.99961921100305,-53.00032508337648,-38.00039057809319,-46.000116008110474,-46.99957392837216
