date,total,Alberta,British Columbia,Manitoba,New Brunswick,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
2020-03-28,-44.5071948000671,-39.71177447357229,-47.29385598100463,-32.753782703830105,-39.681022342022096,-42.82454955246073,-46.17728669856593,-45.07347086104922,-46.293778762570305,-36.247942148263974
2020-03-29,-44.077958518281456,-40.618831069635874,-46.36749520946664,-35.790899452353536,-34.845795017567305,-31.916528464417993,-46.03766191342795,-33.47010787852334,-44.68355207090506,-36.97725395173162
2020-03-30,-60.88365022887182,-51.265811952990255,-55.968739551023205,-46.842789321744064,-54.819341936420635,-59.69553168854391,-62.84367139627794,-54.76176174913351,-65.80167035963865,-48.717837552318855
2020-03-31,-60.93942669486657,-52.58646353782498,-55.100395213842305,-47.271468686374966,-56.07026080282254,-60.58934571655452,-62.627975176478564,-55.738277698182266,-65.7968979035282,-49.5998848120101
2020-04-01,-61.31935334729454,-52.6416095363278,-56.426213402265276,-49.09335598605632,-56.85124763907651,-60.836550247078065,-62.93514970378214,-56.57054639333849,-66.13383330492586,-49.52065329409411
2020-04-02,-61.52144199220303,-52.85648877187326,-56.25596845554525,-51.67691465682293,-57.30969456869129,-61.001353267427085,-62.96981516767846,-56.98620624337091,-66.6549855121868,-49.88817298563213
2020-04-03,-60.801198061749155,-51.27627067684424,-54.66099205526884,-53.59735993542611,-56.18319762473181,-58.60686232470886,-62.4199823931006,-55.4061294161929,-65.79117095619567,-48.598512977144175
2020-04-04,-45.06334275085528,-41.67326059273285,-46.29806570605568,-36.65495629668771,-41.44015690701574,-44.910761904173135,-46.07040151821892,-43.024590458720496,-47.29313107209818,-38.349009267939756
2020-04-05,-46.53858985868728,-42.69631394426789,-46.47021283095134,-39.837517829639474,-36.643213251004774,-33.355161889111855,-46.8060796964632,-31.913755928630287,-52.16008181353332,-38.75948580654066
2020-04-06,-60.90062567504414,-51.803960834931544,-54.7123508660112,-47.93553895212016,-55.4089104304555,-59.69553168854391,-63.1826225988198,-53.75582695225142,-65.53727629111982,-49.77266679686304
2020-04-07,-61.52710047426047,-52.63305239862908,-54.551616810169385,-48.8474394755426,-56.75745265138915,-61.013955851336135,-63.677568388895146,-54.96199971341853,-66.45072439065962,-49.57411070377237
2020-04-08,-61.66128733447971,-52.402009680763825,-55.43612966184324,-49.26367948361056,-56.39950035143941,-60.90150202568621,-63.886524101825785,-54.63934138234314,-66.71416396795637,-49.38891896310127
2020-04-09,-62.158425400954606,-53.15503779825058,-55.37811322748614,-49.166078378270484,-56.93164334280854,-60.47010588418434,-64.41517242624477,-55.04835826673577,-67.55220726095108,-50.672851391980835
2020-04-10,-82.16843466521405,-77.52671675726316,-77.56131511183139,-82.10453768338132,-82.86978580520942,-83.86922648515196,-86.20723113284983,-80.31819956048722,-76.25716720640872,-77.02830895996303
2020-04-11,-47.000160323658285,-45.00008557137699,-47.999564084168085,-38.000320552649875,-40.99989471991178,-46.00040069753965,-48.00011234178114,-41.999675760010426,-48.999761377194474,-40.000461388357344
