date,AR,Buenos Aires,Buenos Aires Province,Catamarca Province,Chaco Province,Chubut Province,Cordoba,Corrientes,Entre Rios,Formosa Province,Jujuy,La Pampa,La Rioja Province,Mendoza Province,Misiones Province,Neuquen,Río Negro,Salta Province,San Juan Province,San Luis Province,Santa Cruz Province,Santa Fe Province,Santiago del Estero Province,Tierra del Fuego Province,Tucumán
2020-03-05,10,12,11,32,-10,-9,-6,-10,2,4,3,7,5,10,-1,11,-36,7,-4,-31,-5,29,0,11,-10
2020-03-06,12,15,12,59,-8,-3,-3,-10,8,-2,5,12,15,14,-1,11,-38,17,-3,-39,0,32,5,16,-17
2020-03-07,8,19,8,37,-20,-16,-13,-17,-1,16,-11,-2,3,4,-3,15,-39,16,-14,-50,-14,29,-6,-13,-29
2020-03-08,3,11,1,26,-14,-11,-17,-21,2,0,-14,9,8,5,-8,12,-40,10,-10,-46,-1,22,-8,-5,-31
2020-03-09,13,21,12,41,-14,-10,-4,-10,3,-7,0,7,10,20,-6,12,-36,13,4,-38,-6,26,6,-9,-13
2020-03-10,14,14,16,40,-11,1,-5,-14,3,-4,4,-2,16,13,-6,13,-39,7,-5,-40,1,33,2,5,-35
2020-03-11,-6,-1,-12,37,-15,-2,-12,-9,7,-4,0,-12,-1,11,-7,8,-37,12,-6,-27,-2,23,0,-11,-9
2020-03-12,10,11,13,32,-15,-8,-10,-14,2,0,-5,7,-1,9,-7,12,-43,5,-4,-16,-8,28,-10,3,-10
2020-03-13,7,8,8,39,-21,-6,-10,-23,-1,-7,-2,8,5,12,-14,5,-48,15,-5,-28,-1,31,-2,13,-23
2020-03-14,-19,-17,-26,27,-29,-18,-25,-32,-16,-4,-22,-12,-15,1,-24,10,-51,12,-22,-42,-19,18,-19,-9,-38
2020-03-15,-17,-14,-18,8,-33,-18,-42,-36,-26,-22,-31,-6,-10,-5,-30,0,-54,-4,-27,-43,-22,-9,-37,-18,-43
2020-03-16,-17,-22,-13,2,-35,-30,-34,-33,-23,-21,-33,-14,-11,-12,-35,-9,-50,-12,-30,-34,-38,7,-21,-31,-31
2020-03-17,-32,-37,-30,4,-41,-26,-43,-38,-41,-30,-30,-22,-7,-24,-40,-16,-53,-19,-24,-40,-34,-21,-30,-40,-37
2020-03-18,-35,-43,-31,8,-63,-34,-44,-45,-37,-35,-39,-17,-6,-30,-47,-19,-56,-35,-32,-36,-42,-10,-27,-47,-36
2020-03-19,-35,-45,-30,-20,-76,-47,-48,-48,-41,-39,-48,-23,-34,-31,-56,-25,-64,-39,-46,-42,-62,-12,-37,-48,-41
2020-03-20,-72,-82,-69,-64,-87,-82,-81,-78,-79,-60,-79,-66,-76,-61,-83,-70,-90,-64,-68,-78,-86,-60,-83,-83,-77
2020-03-21,-75,-81,-73,-77,-89,-86,-85,-86,-83,-62,-87,-72,-80,-68,-87,-73,-92,-70,-76,-89,-88,-66,-89,-90,-82
2020-03-22,-81,-83,-80,-83,-92,-87,-90,-91,-85,-68,-91,-84,-86,-76,-90,-78,-96,-78,-82,-92,-91,-76,-91,-85,-85
2020-03-23,-85,-90,-84,-86,-92,-90,-90,-91,-86,-74,-91,-82,-85,-77,-91,-82,-96,-75,-85,-92,-90,-78,-91,-87,-87
2020-03-24,-85,-90,-84,-84,-90,-90,-89,-91,-82,-70,-91,-81,-82,-79,-90,-81,-95,-77,-85,-91,-91,-78,-91,-89,-88
2020-03-25,-77,-82,-74,-74,-87,-86,-87,-85,-79,-63,-86,-78,-75,-73,-88,-77,-92,-71,-81,-89,-90,-68,-88,-83,-79
2020-03-26,-77,-83,-75,-75,-89,-88,-86,-84,-83,-68,-89,-76,-82,-70,-89,-77,-93,-73,-82,-88,-92,-70,-88,-86,-81
2020-03-27,-75,-82,-72,-68,-90,-86,-85,-84,-86,-71,-86,-77,-72,-67,-87,-77,-93,-67,-83,-88,-92,-71,-87,-84,-83
2020-03-28,-75,-80,-73,-74,-89,-86,-87,-85,-86,-62,-89,-76,-78,-68,-89,-72,-94,-70,-82,-88,-87,-69,-85,-91,-84
2020-03-29,-80,-82,-79,-81,-92,-93,-91,-89,-90,-71,-92,-87,-86,-72,-92,-92,-96,-76,-87,-91,-91,-77,-90,-92,-90
2020-03-30,-77,-84,-75,-74,-90,-88,-86,-86,-84,-68,-87,-79,-81,-67,-90,-77,-94,-67,-82,-90,-91,-66,-88,-89,-84
2020-03-31,-82,-88,-80,-82,-90,-90,-89,-86,-84,-67,-88,-81,-86,-74,-89,-79,-95,-70,-85,-88,-91,-72,-90,-86,-87
2020-04-01,-75,-81,-72,-72,-86,-86,-84,-81,-78,-60,-84,-72,-78,-67,-86,-75,-92,-66,-80,-86,-89,-61,-88,-83,-78
2020-04-02,-74,-81,-71,-75,-88,-86,-84,-83,-80,-71,-88,-68,-81,-67,-88,-75,-93,-69,-82,-85,-90,-62,-86,-85,-80
2020-04-03,-71,-79,-68,-62,-86,-85,-83,-82,-81,-55,-84,-72,-69,-63,-84,-72,-93,-59,-82,-88,-87,-58,-86,-84,-79
2020-04-04,-71,-77,-68,-64,-85,-84,-84,-84,-78,-48,-83,-73,-73,-64,-87,-68,-94,-61,-79,-88,-87,-58,-85,-89,-81
2020-04-05,-76,-80,-73,-79,-90,-87,-89,-88,-82,-63,-89,-82,-83,-69,-91,-89,-96,-67,-85,-91,-85,-70,-87,-93,-86
2020-04-06,-70,-79,-66,-66,-85,-86,-82,-81,-75,-61,-82,-73,-69,-59,-86,-69,-93,-55,-79,-88,-87,-52,-85,-88,-74
2020-04-07,-64,-77,-59,-61,-77,-80,-78,-77,-70,-48,-81,-62,-62,-56,-81,-63,-92,-52,-80,-80,-86,-38,-83,-80,-59
2020-04-08,-63,-76,-58,-56,-77,-80,-78,-75,-65,-50,-81,-64,-61,-54,-81,-62,-92,-48,-76,-78,-83,-35,-82,-81,-47
2020-04-09,-67,-79,-63,-62,-79,-84,-80,-81,-72,-62,-82,-69,-72,-57,-84,-62,-92,-51,-78,-79,-86,-40,-84,-73,-54
2020-04-10,-79,-86,-77,-78,-89,-88,-88,-91,-85,-78,-87,-80,-86,-75,-94,-75,-95,-62,-89,-86,-91,-64,-89,-82,-81
2020-04-11,-67,-74,-65,-63,-81,-83,-82,-84,-75,-56,-84,-70,-76,-58,-86,-63,-93,-52,-82,-85,-87,-46,-84,-84,-64
