date,CO,Amazonas Department,Antioquia,Arauca,Atlantico,Bogota,Bolivar,Boyaca,Caldas,Caquetá,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guaviare,Huila,La Guajira,Magdalena,Meta,Narino,North Santander,Putumayo,Quindio,Risaralda,San Andrés and Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vichada
2020-03-09,8,0,11,-9,4,10,-6,-9,-5,0,7,0,-4,-5,-1,18,0,0,-14,-21,-4,-2,-7,0,-7,3,0,-2,-31,-3,4,NA
2020-03-10,13,0,7,-9,2,20,-10,-12,-5,0,5,0,-2,-15,-2,14,0,0,-11,-25,-3,-6,-10,0,-6,2,-2,1,-31,-5,6,0
2020-03-11,8,0,5,-21,1,13,-7,-13,-7,0,3,0,1,-9,-4,15,0,0,-10,-22,-4,-14,-9,0,-6,3,-5,0,-24,-7,5,0
2020-03-12,3,0,5,-18,0,4,-6,-15,-9,0,3,0,3,-20,-1,4,0,0,-4,-18,-5,-7,-11,0,-2,-5,-9,-2,-20,-8,3,0
2020-03-13,4,0,2,-11,-2,9,-15,-19,-13,0,3,-7,-6,-18,-2,-2,0,0,-1,-22,-7,-8,-4,0,-3,-3,-7,-6,-33,-19,1,0
2020-03-14,-4,0,-3,-10,-9,-3,-20,-26,-18,0,-5,-12,-13,-19,-2,-15,0,0,-10,-25,-11,-20,-15,0,-13,-11,-3,-8,-37,-17,-1,0
2020-03-15,-11,0,-13,-12,-14,-12,-23,-31,-27,0,-11,-25,-17,-21,-7,-20,0,0,-13,-32,-25,-19,-28,0,-27,-22,-2,-17,-46,-24,-9,0
2020-03-16,-14,0,-17,-16,-14,-14,-14,-16,-4,0,-10,0,2,-10,-13,-15,0,0,-5,-20,-15,-15,-10,0,-23,-26,-4,-11,-26,-17,-16,NA
2020-03-17,-19,0,-30,-15,-23,-16,-30,-8,-14,0,-17,-31,4,-21,-17,-24,0,0,-7,-29,-22,-8,-29,0,-39,-39,-6,-6,-35,-11,-22,0
2020-03-18,-27,0,-36,-21,-35,-26,-39,-18,-35,0,-18,0,-2,-6,-20,-20,0,0,-21,-33,-22,-15,-35,0,-43,-44,-12,-14,-27,-20,-28,0
2020-03-19,-29,0,-41,-12,-42,-26,-43,-30,-47,0,-14,-33,-16,-16,-21,-5,0,0,-27,-40,-15,-16,-37,0,-45,-49,-25,-26,-31,-26,-31,0
2020-03-20,-63,0,-42,-23,-49,-81,-53,-63,-53,0,-25,-37,-41,-41,-30,-74,0,0,-36,-56,-59,-31,-46,0,-60,-54,-27,-42,-56,-60,-35,0
2020-03-21,-78,0,-80,-29,-60,-80,-79,-83,-90,0,-44,-73,-55,-48,-31,-77,0,0,-40,-64,-63,-44,-74,0,-73,-78,-61,-84,-57,-88,-81,0
2020-03-22,-77,0,-80,-38,-65,-78,-81,-84,-94,0,-51,-79,-75,-60,-41,-78,0,0,-53,-76,-64,-58,-70,0,-86,-82,-73,-84,-79,-90,-80,0
2020-03-23,-84,0,-85,-38,-78,-86,-87,-82,-91,0,-55,-74,-71,-48,-46,-77,0,0,-58,-82,-58,-40,-76,0,0,-86,-81,-83,-76,-87,-84,0
2020-03-24,-65,0,-69,-23,-60,-67,-71,-65,-77,0,-39,-64,-54,-33,-33,-59,0,0,-45,-78,-51,-23,-58,0,-84,-67,-73,-67,-75,-75,-60,0
2020-03-25,-80,0,-83,-62,-85,-80,-86,-78,-89,0,-76,-77,-81,-72,-77,-63,0,0,-77,-85,-62,-70,-84,0,0,-82,-85,-83,-89,-83,-78,0
2020-03-26,-80,0,-84,-61,-86,-81,-86,-78,-88,0,-74,-79,-83,-72,-74,-68,0,0,-76,-86,-61,-69,-84,0,0,-84,-83,-83,0,-84,-78,0
2020-03-27,-80,0,-83,-60,-84,-81,-88,-81,-91,0,-72,-78,-84,-75,-74,-71,0,0,-73,-88,-61,-67,-83,-77,0,-84,-82,-84,-93,-86,-78,0
2020-03-28,-80,0,-83,-53,-85,-81,-88,-81,-91,0,-64,-80,-82,-71,-73,-77,0,0,-75,-88,-63,-70,-86,0,0,-85,-86,-85,-90,-88,-77,0
2020-03-29,-82,0,-85,-53,-87,-82,-92,-87,-95,0,-70,-85,-84,-87,-77,-80,0,0,-80,-91,-67,-77,-87,0,0,-90,-87,-88,-90,-90,-81,0
2020-03-30,-79,0,-81,-58,-83,-80,-87,-78,-91,0,-72,-76,-80,-58,-72,-72,0,0,-70,-88,-60,-65,-84,0,0,-82,-79,-83,-90,-84,-76,0
2020-03-31,-78,0,-81,-52,-80,-78,-87,-75,-88,0,-70,-76,-79,-66,-72,-71,0,0,-70,-85,-63,-61,-87,0,0,-83,-77,-80,-91,-80,-75,0
2020-04-01,-78,0,-80,-57,-81,-79,-86,-75,-88,0,-70,-72,-79,-62,-72,-72,0,0,-68,-85,-61,-68,-84,0,0,-81,-80,-79,-89,-79,-75,0
2020-04-02,-78,0,-82,-58,-82,-79,-86,-76,-88,0,-73,-71,-78,-59,-71,-68,0,0,-73,-83,-61,-69,-82,0,0,-81,-78,-78,-89,-78,-73,0
2020-04-03,-78,0,-81,-59,-82,-79,-87,-78,-92,0,-69,-70,-85,-61,-72,-73,0,0,-75,-86,-61,-67,-83,0,0,-82,-81,-81,-93,-84,-75,0
2020-04-04,-79,0,-81,-59,-85,-79,-88,-79,-91,0,-67,-73,-81,-85,-74,-75,0,0,-75,-85,-61,-75,-88,0,0,-85,-85,-84,-89,-85,-75,0
2020-04-05,-81,0,-84,-58,-87,-81,-92,-83,-93,0,-64,-75,-83,-87,-75,-77,0,0,-79,-90,-67,-82,-90,0,0,-91,-86,-88,-91,-89,-78,0
2020-04-06,-78,0,-80,-61,-82,-78,-86,-78,-89,0,-70,-68,-81,-56,-71,-71,0,0,-71,-86,-57,-66,-88,0,0,-82,-81,-79,-91,-82,-75,0
2020-04-07,-76,0,-80,-52,-81,-76,-86,-74,-86,0,-72,-67,-80,-60,-68,-70,0,0,-69,-84,-62,-67,-86,0,-84,-80,-80,-76,-88,-79,-74,0
2020-04-08,-76,0,-79,-53,-80,-77,-86,-73,-86,0,-70,-56,-80,-61,-68,-67,0,0,-68,-83,-61,-70,-85,0,0,-82,-78,-76,-86,-81,-71,0
2020-04-09,-85,0,-87,-57,-88,-86,-90,-87,-91,0,-76,-71,-84,-74,-70,-79,0,0,-77,-87,-71,-71,-90,0,0,-89,-83,-84,-87,-85,-82,0
2020-04-10,-88,0,-90,-67,-90,-90,-94,-90,-94,0,-79,-76,-87,-84,-80,-85,0,0,-85,-92,-72,-76,-90,0,0,-92,-85,-89,-93,-93,-85,0
2020-04-11,-81,0,-82,-64,-86,-81,-90,-84,-92,0,-67,-71,-81,-89,-75,-79,0,0,-76,-88,-63,-75,-90,0,0,-86,-84,-87,-100,-87,-78,0
