date,JP,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi
2020-03-04,-21,-20,8,17,-26,-28,-1,1,-2,-27,-13,-14,-21,-32,-19,-4,1,-20,-13,-20,-24,-13,-25,-26,0,-14,-8,-9,-32,2,-16,-25,-20,-36,-2,-16,-23,-7,-16,-15,-32,-26,1,-3,-29,11,-11,-18
2020-03-05,-8,-8,-15,-2,-3,-2,-9,6,-7,-19,-3,-6,-38,-6,-7,-19,-7,4,3,7,0,8,-14,-17,-3,4,-12,-1,-8,-22,-4,-2,-42,-10,4,-6,-17,-9,0,-4,-8,-10,-5,-7,2,-13,0,-12
2020-03-06,5,5,-7,-7,17,10,10,10,-4,-1,6,9,-31,9,16,2,0,13,8,20,5,11,10,6,-4,-1,1,-2,14,-5,3,15,-6,7,7,9,15,11,14,8,7,1,21,7,11,-11,8,6
2020-03-07,-8,10,22,5,-17,-22,25,-38,20,0,7,-24,-25,2,-9,8,21,-10,-29,-10,-25,-30,5,3,15,-39,-1,-37,10,11,-29,-2,-36,2,-37,-2,23,-10,4,-9,-6,-16,4,17,1,16,-28,-7
2020-03-08,-35,-57,35,26,-50,-7,-26,14,-37,-56,-29,-14,-32,-40,-27,-16,16,-28,14,-63,-12,17,-38,-55,-39,-6,-38,13,-41,9,1,-26,-16,-42,3,-42,-43,-10,-64,-36,-31,-54,-19,-11,-33,-6,7,-57
2020-03-09,11,25,37,15,10,16,35,6,13,11,19,11,-19,22,5,28,13,24,-4,19,7,-6,21,11,6,-13,13,-8,20,30,-8,17,-20,19,-4,14,31,24,17,15,16,6,23,33,15,28,12,3
2020-03-10,-28,-32,-9,-6,-33,-11,-13,-30,-22,-35,-24,-14,-32,-25,-33,-24,-16,4,-18,-38,-6,-26,-29,-36,-25,-15,-25,-23,-33,-15,-17,-7,-31,-35,-20,-36,-26,-11,-34,-33,-10,-36,-10,-21,-25,-5,-20,-35
2020-03-11,13,10,-3,7,44,6,1,27,23,1,15,15,-29,11,33,-5,11,10,5,44,8,13,2,4,27,2,8,6,13,-11,6,13,-10,11,19,35,6,6,10,23,8,18,8,-11,16,0,10,9
2020-03-12,16,23,13,8,27,20,51,25,20,16,23,20,-21,20,16,39,12,24,11,26,16,17,26,20,21,9,12,10,36,20,10,22,-19,24,12,19,44,29,20,23,14,9,38,46,25,23,20,7
2020-03-13,10,19,-6,-13,26,10,24,7,16,8,22,10,-30,15,21,11,0,14,-3,23,8,-1,19,12,15,-5,7,-7,18,9,0,14,-27,15,0,23,26,10,16,17,11,8,22,10,15,5,8,9
2020-03-14,-39,-39,15,1,-55,-21,-7,-5,-29,-42,-49,-9,-25,-41,-54,-18,10,-18,-5,-58,-12,-8,-36,-43,-6,-7,-44,-3,-46,-27,-15,-15,-42,-48,-11,-57,-30,-25,-50,-54,-27,-58,-28,-30,-31,-6,-5,-53
2020-03-15,9,13,20,-2,36,8,-13,9,13,-2,16,-10,-24,-5,29,-16,15,4,-8,17,2,5,-1,1,21,-13,-6,1,21,11,5,2,-9,2,-1,26,5,-8,14,13,15,16,-2,6,25,19,6,0
2020-03-16,-7,-4,4,-17,2,9,-13,5,-2,-19,-8,-5,-22,-9,-5,-18,-8,8,8,4,5,0,-18,-19,1,-2,-20,1,-21,-22,-7,-3,-15,-13,-4,-9,-22,0,2,2,-3,-8,-8,-18,-8,-9,2,-14
2020-03-17,14,22,-3,5,22,33,10,22,10,9,24,21,-21,21,10,2,7,25,9,17,29,11,20,11,6,-4,4,0,18,2,5,31,-12,19,4,25,33,15,11,18,25,6,29,-2,25,8,25,5
2020-03-18,20,22,17,19,45,20,43,33,30,13,21,24,-11,21,29,34,14,24,8,38,19,15,31,16,32,7,13,14,26,8,11,22,-14,27,18,38,38,32,16,28,18,21,44,31,29,21,19,11
2020-03-19,17,18,39,25,22,19,48,21,37,16,30,23,-15,21,13,39,32,26,0,23,9,3,29,12,39,1,14,7,21,39,6,22,-35,24,10,25,37,32,10,24,13,14,34,49,12,48,24,12
2020-03-20,40,17,-15,-17,65,69,20,51,11,32,29,49,-31,49,42,2,-4,56,49,71,62,60,73,45,7,49,23,34,70,-13,62,67,14,47,73,43,93,65,54,40,62,37,91,-4,86,-13,61,84
2020-03-21,34,30,0,2,49,35,84,30,49,38,42,20,-12,29,41,34,10,42,31,40,40,31,50,24,33,22,31,25,39,19,38,44,-6,25,29,47,73,42,37,40,37,38,67,61,62,11,44,64
2020-03-22,18,21,-27,0,46,27,-24,3,4,6,20,-10,-8,-2,41,-31,-14,19,-29,29,15,0,13,4,-5,-38,-15,-3,24,-38,3,11,-12,11,-1,61,9,10,23,29,28,51,5,-16,38,-33,3,27
2020-03-23,11,19,24,11,7,32,35,31,13,7,12,21,-19,19,8,23,10,29,20,-3,20,15,23,-2,11,9,10,15,16,12,7,24,-16,18,18,16,20,34,7,19,18,2,30,26,19,20,29,-3
2020-03-24,14,11,7,8,23,40,13,32,5,2,3,27,-21,17,10,2,10,34,17,20,35,21,17,-3,6,6,-5,8,9,-3,7,38,-14,13,16,23,18,32,19,9,26,12,33,-1,26,-3,34,6
2020-03-25,31,30,32,26,65,29,56,49,33,23,26,29,-8,25,45,48,24,35,16,42,25,28,49,18,28,13,16,23,33,26,20,27,-6,31,40,65,44,45,21,40,24,37,57,57,35,36,34,27
2020-03-26,26,39,23,14,54,10,68,-22,35,36,42,13,-7,26,35,51,20,25,-11,40,16,-15,47,30,29,-20,26,-19,40,41,-16,24,-1,33,-16,60,53,41,32,42,24,26,50,73,40,43,0,32
2020-03-27,-9,-33,4,9,19,-31,-17,-34,20,-34,38,-33,-18,-35,21,-15,10,-22,-19,10,-23,-25,-22,-27,13,-23,-6,-31,-30,-3,-20,-22,-10,-39,-26,32,-18,-15,-23,35,-5,4,-7,-10,-21,6,-33,8
2020-03-28,-23,-11,23,8,-22,-38,-16,-43,1,-25,6,-34,-16,-30,-29,-23,13,-35,-24,-16,-25,-41,-17,-30,9,-31,-25,-33,-39,-21,-38,-21,-37,-38,-35,-4,-17,-14,-16,-11,-32,-31,-8,-27,-23,2,-32,-23
2020-03-29,-25,-11,19,11,-61,29,-18,34,-51,-25,-55,15,-2,-10,-60,-23,6,19,16,-66,23,36,12,-20,-37,4,-56,30,10,-22,22,17,-14,-8,48,-61,-8,45,-47,-61,27,-66,15,-19,16,-12,49,-56
2020-03-30,-2,-13,33,20,9,2,27,10,10,-2,5,12,1,5,5,23,17,0,-26,-3,-6,-27,14,-29,15,-33,-11,-11,-18,20,-24,18,-17,-10,2,-4,19,51,-4,14,12,-14,35,30,-6,29,21,-15
2020-03-31,9,-2,29,22,15,21,39,22,22,-10,14,17,1,24,7,52,27,19,3,7,3,4,25,-26,18,-16,0,-2,25,39,-20,33,-34,20,20,10,36,53,-6,12,28,-10,43,42,25,41,18,-10
2020-04-01,-29,-22,3,9,-36,-30,-8,-17,4,-27,-29,-23,3,-34,-25,-8,-1,-33,-12,-42,-22,-26,-26,-34,5,-5,-23,-17,-30,3,-32,-31,-25,-37,-9,-37,-21,-13,-38,-20,-35,-44,-14,-13,-30,3,-15,-39
2020-04-02,13,30,1,-7,15,40,15,40,8,20,8,35,-13,19,6,18,-4,22,23,31,24,29,14,9,-2,32,0,19,23,0,15,33,-12,17,37,5,19,42,20,21,25,-2,32,10,32,4,52,8
2020-04-03,26,48,19,8,40,35,46,29,44,33,40,28,5,31,30,61,14,22,15,34,17,21,40,31,31,18,17,8,49,48,12,42,-13,32,30,32,72,54,26,45,30,4,54,64,38,26,38,22
2020-04-04,26,53,37,19,28,41,43,35,57,28,34,36,1,42,20,38,23,41,17,28,20,23,35,21,27,24,8,18,53,42,21,58,-50,35,29,33,87,49,20,34,46,4,38,52,46,31,55,25
2020-04-05,3,19,-23,-12,-14,58,-20,34,4,1,-1,27,-16,14,-24,-12,-18,46,29,-3,18,32,12,-1,-2,19,-7,29,55,-31,16,39,-18,19,25,-9,34,53,16,-11,51,-30,13,-5,53,-25,57,3
2020-04-06,15,29,-3,-13,25,45,18,30,19,4,8,30,-12,27,11,18,-15,30,22,25,17,13,15,2,9,14,9,15,28,-8,8,36,-28,23,18,17,45,45,12,20,32,3,34,18,26,-16,42,5
2020-04-07,17,33,23,17,19,50,36,25,41,15,25,32,-9,23,10,37,15,25,10,15,20,13,19,14,23,3,10,2,28,46,4,44,-47,21,11,22,64,37,15,26,39,-3,37,47,31,26,38,1
2020-04-08,16,28,23,20,36,28,27,26,56,11,17,23,4,19,23,26,22,13,11,27,12,9,19,14,42,8,11,8,30,51,1,22,-23,21,13,31,47,22,9,25,20,4,28,39,26,49,20,2
2020-04-09,8,22,7,-2,18,29,32,18,31,9,9,16,-20,19,-4,30,15,6,9,18,5,7,10,9,26,8,7,3,24,32,-1,19,-42,20,1,6,41,26,9,10,20,-6,19,47,22,22,23,-2
2020-04-10,0,1,-4,-5,15,23,-5,3,5,-8,-4,8,-13,5,5,-6,-1,2,8,14,-3,3,-5,-10,6,0,-3,-8,3,-4,-5,12,-19,3,-2,3,19,3,6,8,7,-10,7,1,6,-10,8,-5
2020-04-11,3,7,52,2,17,15,19,-6,46,-12,7,-9,-8,7,8,-2,36,9,10,10,-9,-1,-11,-12,30,0,4,-6,5,39,-9,21,-38,3,-17,14,33,-4,0,0,13,-6,2,22,12,40,6,-18
