date,ID,Aceh,Bali,Bangka Belitung Islands,Banten,Bengkulu,Central Java,Central Kalimantan,Central Sulawesi,East Java,East Kalimantan,East Nusa Tenggara,Gorontalo,Jakarta,Jambi,Lampung,Maluku,North Kalimantan,North Maluku,North Sulawesi,North Sumatra,Papua,Riau,Riau Islands,South East Sulawesi,South Kalimantan,South Sulawesi,South Sumatra,Special Region of Yogyakarta,West Java,West Kalimantan,West Nusa Tenggara,West Papua,West Sulawesi,West Sumatra
2020-03-15,-12,-2,-20,2,4,-2,-17,-5,-1,-11,-4,3,28,-37,1,-13,-13,11,-1,-11,-13,-12,-7,2,-6,1,2,0,-24,-12,-17,-19,1,-4,-5
2020-03-16,-8,-7,-18,-3,-8,-15,-6,-9,-3,-4,-4,-3,25,-23,-6,-8,-10,-1,-2,-11,-6,-1,-8,-4,-11,3,-9,-6,-17,-9,-15,-22,1,-12,-6
2020-03-17,-10,-6,-21,0,0,-13,-12,-9,-3,-10,-6,-4,26,-23,-13,-10,-5,-1,-2,-9,-13,-5,-8,-5,-8,4,-4,-1,-23,-10,-7,-25,0,-27,-13
2020-03-18,-12,-3,-28,-7,-5,-22,-12,-15,-4,-13,-7,-6,34,-28,-12,-10,-4,-4,-1,-11,-12,-2,-6,-7,-7,-3,-7,-2,-33,-9,-15,-18,5,-20,-13
2020-03-19,-17,-4,-29,-6,-6,-17,-16,-13,-5,-14,-11,-7,24,-33,-20,-16,-10,-6,-9,-17,-11,-10,-10,-11,-8,-1,-7,-5,-41,-17,-16,-23,-8,-21,-24
2020-03-20,-21,-7,-34,-21,-16,-9,-22,-24,-5,-20,-20,-8,7,-32,-9,-12,-14,-10,-9,-22,-23,-14,-6,-12,-16,-18,-16,0,-43,-21,-28,-23,-6,-22,-15
2020-03-21,-30,-17,-46,-25,-18,-22,-29,-28,-10,-29,-35,-10,8,-38,-30,-23,-18,-21,-18,-25,-35,-23,-17,-34,-25,-23,-27,-10,-51,-27,-26,-24,-17,-42,-33
2020-03-22,-39,-23,-50,-31,-34,-42,-39,-31,-13,-42,-40,-18,-9,-59,-20,-29,-35,-29,-26,-38,-43,-33,-21,-38,-28,-23,-29,-19,-57,-39,-36,-34,-28,-32,-47
2020-03-23,-25,-13,-44,-14,-19,-22,-22,-27,-7,-27,-27,-16,-1,-43,-19,-16,-17,-26,-16,-23,-23,-17,-10,-31,-20,-21,-19,-8,-46,-22,-21,-27,-22,-27,-25
2020-03-24,-26,-18,-48,-18,-18,-26,-22,-25,-6,-27,-29,-19,-6,-46,-24,-20,-15,-30,-24,-19,-27,-26,-11,-24,-20,-19,-19,-11,-48,-26,-21,-29,-19,-33,-27
2020-03-25,-31,-21,-78,-17,-24,-19,-27,-30,-7,-31,-34,-22,-13,-55,-27,-19,-21,-35,-26,-29,-35,-27,-11,-25,-23,-30,-24,-15,-49,-26,-29,-31,-18,-40,-24
2020-03-26,-30,-30,-63,-19,-21,-27,-27,-27,-8,-27,-31,-26,-8,-46,-27,-18,-23,-28,-25,-25,-33,-29,-15,-28,-19,-24,-21,-17,-48,-27,-27,-34,-30,-36,-42
2020-03-27,-34,-23,-57,-34,-22,-29,-36,-32,-11,-37,-35,-31,-15,-43,-31,-22,-23,-33,-26,-33,-39,-34,-13,-30,-25,-36,-27,-18,-57,-27,-34,-43,-31,-42,-41
2020-03-28,-46,-40,-61,-36,-35,-41,-48,-44,-19,-49,-44,-27,-20,-51,-42,-38,-27,-45,-35,-34,-49,-47,-23,-44,-32,-45,-38,-28,-72,-42,-41,-40,-38,-56,-55
2020-03-29,-52,-47,-62,-40,-42,-57,-54,-47,-20,-59,-50,-29,-22,-63,-39,-41,-31,-50,-35,-41,-56,-47,-24,-48,-32,-49,-36,-37,-73,-51,-48,-53,-44,-52,-61
2020-03-30,-32,-33,-51,-22,-26,-32,-31,-29,-7,-31,-33,-18,-15,-50,-29,-26,-19,-33,-22,-30,-32,-31,-11,-30,-22,-31,-28,-18,-54,-32,-28,-34,-35,-46,-38
2020-03-31,-32,-32,-53,-25,-21,-38,-30,-29,-8,-33,-33,-20,-5,-52,-26,-25,-15,-35,-24,-23,-33,-34,-10,-25,-20,-30,-22,-21,-57,-28,-27,-35,-35,-44,-36
2020-04-01,-28,-31,-53,-28,-19,-25,-24,-27,-8,-31,-30,-21,-19,-49,-26,-21,-18,-28,-31,-23,-34,-29,-10,-23,-22,-23,-25,-16,-54,-22,-27,-34,-34,-44,-33
2020-04-02,-29,-28,-54,-26,-18,-33,-27,-26,-7,-30,-31,-19,-3,-46,-25,-24,-16,-31,-21,-20,-31,-28,-13,-28,-15,-26,-20,-18,-53,-24,-26,-37,-38,-38,-38
2020-04-03,-34,-32,-57,-34,-21,-34,-36,-31,-7,-40,-33,-21,-8,-44,-24,-23,-15,-32,-18,-26,-37,-31,-9,-30,-21,-35,-25,-17,-59,-28,-34,-40,-35,-38,-38
2020-04-04,-45,-39,-64,-40,-34,-51,-45,-43,-14,-48,-43,-18,-16,-52,-38,-37,-20,-41,-28,-29,-45,-40,-19,-40,-29,-42,-35,-27,-70,-45,-40,-41,-41,-54,-52
2020-04-05,-50,-40,-63,-42,-41,-52,-52,-42,-16,-55,-46,-19,-21,-64,-42,-43,-23,-43,-25,-35,-53,-41,-25,-44,-28,-44,-32,-41,-69,-47,-48,-49,-44,-39,-58
2020-04-06,-31,-30,-55,-22,-26,-37,-27,-32,-2,-34,-29,-16,-10,-52,-24,-27,-12,-34,-18,-21,-36,-23,-13,-29,-16,-28,-23,-15,-52,-29,-25,-36,-32,-39,-40
2020-04-07,-30,-20,-54,-24,-21,-33,-26,-33,-3,-34,-29,-14,-6,-48,-23,-21,-12,-30,-18,-21,-34,-28,-7,-24,-17,-27,-21,-17,-50,-28,-24,-37,-32,-38,-36
2020-04-08,-30,-25,-55,-24,-21,-21,-27,-34,-7,-33,-31,-15,-5,-51,-25,-19,-13,-33,-19,-21,-33,-25,-11,-26,-18,-31,-27,-18,-53,-26,-25,-35,-27,-44,-33
2020-04-09,-28,-23,-54,-23,-20,-23,-24,-30,-3,-26,-28,-18,-1,-48,-26,-21,-16,-33,-19,-24,-31,-24,-12,-24,-12,-29,-19,-18,-51,-25,-21,-33,-34,-35,-37
2020-04-10,-37,-23,-57,-31,-32,-32,-35,-35,-9,-38,-35,-31,-42,-61,-29,-25,-20,-38,-22,-45,-43,-37,-11,-27,-31,-35,-34,-20,-55,-32,-35,-41,-40,-50,-46
2020-04-11,-46,-31,-65,-39,-37,-40,-44,-47,-18,-47,-44,-28,-41,-61,-38,-37,-21,-42,-28,-40,-46,-40,-19,-43,-38,-49,-43,-32,-68,-42,-42,-38,-40,-62,-52
