date,PL,Greater Poland Voivodeship,Kuyavian-Pomeranian Voivodeship,Lesser Poland Voivodeship,Łódź Voivodeship,Lower Silesian Voivodeship,Lublin Voivodeship,Lubusz Voivodeship,Masovian Voivodeship,Opole Voivodeship,Podkarpackie Voivodeship,Podlaskie Voivodeship,Pomeranian Voivodeship,Silesian Voivodeship,Swietokrzyskie,Warmian-Masurian Voivodeship,West Pomeranian Voivodeship
2020-03-11,-2,-12,5,-4,-1,-9,9,4,-8,-2,3,2,-4,0,15,-1,6
2020-03-12,-21,-29,-16,-23,-18,-28,-16,-20,-25,-18,-17,-19,-23,-17,-7,-25,-18
2020-03-13,-34,-41,-32,-38,-24,-40,-30,-32,-39,-28,-37,-20,-27,-26,-28,-27,-29
2020-03-14,-39,-39,-40,-45,-36,-41,-34,-25,-46,-24,-38,-36,-37,-33,-33,-38,-22
2020-03-15,-52,-52,-56,-62,-49,-55,-56,-38,-55,-42,-51,-50,-53,-44,-52,-52,-41
2020-03-16,-52,-47,-43,-56,-45,-56,-53,-33,-58,-47,-49,-42,-50,-44,-37,-44,-40
2020-03-17,-53,-54,-48,-60,-48,-55,-58,-44,-60,-47,-57,-45,-55,-45,-43,-48,-42
2020-03-18,-52,-53,-47,-59,-48,-54,-58,-41,-60,-47,-57,-45,-56,-44,-41,-47,-43
2020-03-19,-54,-57,-52,-61,-49,-58,-58,-43,-62,-45,-56,-51,-56,-46,-43,-53,-48
2020-03-20,-58,-59,-58,-65,-51,-64,-59,-54,-64,-54,-57,-46,-56,-49,-56,-50,-51
2020-03-21,-59,-57,-61,-71,-54,-64,-60,-52,-61,-59,-60,-53,-60,-57,-56,-50,-47
2020-03-22,-66,-63,-70,-77,-63,-71,-73,-59,-67,-65,-73,-59,-66,-63,-66,-63,-52
2020-03-23,-59,-54,-56,-67,-52,-63,-60,-48,-64,-55,-62,-48,-57,-53,-52,-52,-48
2020-03-24,-58,-59,-57,-66,-53,-63,-59,-52,-65,-55,-63,-47,-59,-52,-52,-54,-48
2020-03-25,-62,-62,-57,-70,-57,-66,-64,-52,-69,-57,-64,-53,-63,-57,-53,-57,-53
2020-03-26,-62,-62,-60,-70,-56,-67,-61,-54,-68,-56,-63,-55,-64,-56,-55,-59,-53
2020-03-27,-62,-62,-64,-70,-53,-66,-60,-59,-68,-58,-65,-51,-61,-54,-59,-55,-54
2020-03-28,-56,-55,-63,-69,-50,-60,-60,-55,-59,-53,-63,-47,-57,-49,-54,-45,-50
2020-03-29,-71,-73,-78,-78,-66,-77,-71,-72,-70,-72,-71,-60,-78,-65,-67,-73,-69
2020-03-30,-64,-59,-59,-70,-56,-67,-65,-54,-70,-60,-66,-52,-62,-57,-54,-57,-58
2020-03-31,-63,-63,-59,-69,-56,-67,-62,-57,-69,-60,-65,-52,-65,-56,-54,-59,-54
2020-04-01,-64,-63,-61,-69,-58,-67,-65,-55,-70,-58,-66,-59,-67,-57,-55,-61,-58
2020-04-02,-64,-65,-62,-70,-58,-68,-63,-58,-71,-58,-64,-60,-67,-56,-52,-60,-57
2020-04-03,-65,-66,-66,-72,-55,-70,-63,-62,-70,-62,-66,-56,-66,-57,-62,-60,-58
2020-04-04,-63,-63,-69,-72,-56,-67,-63,-62,-66,-59,-64,-57,-66,-56,-59,-57,-56
2020-04-05,-68,-68,-76,-78,-62,-72,-75,-67,-69,-68,-72,-64,-70,-64,-71,-64,-61
2020-04-06,-62,-58,-59,-68,-55,-67,-61,-52,-69,-57,-60,-52,-61,-53,-50,-53,-53
2020-04-07,-60,-61,-59,-67,-54,-65,-60,-52,-68,-56,-61,-52,-62,-51,-52,-54,-52
2020-04-08,-60,-59,-57,-66,-54,-64,-62,-51,-68,-55,-63,-52,-63,-51,-46,-53,-52
2020-04-09,-58,-60,-58,-66,-52,-64,-58,-51,-67,-53,-59,-54,-62,-49,-48,-55,-52
2020-04-10,-61,-62,-63,-71,-51,-66,-60,-57,-67,-63,-67,-50,-60,-52,-60,-52,-53
2020-04-11,-64,-64,-70,-75,-59,-68,-67,-61,-66,-66,-70,-58,-66,-57,-63,-57,-56
