date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-03-19,30,30,26,20,29,0,23,28,24,24,24,28,33,30,21,31,27,31,28,25,26
2020-03-20,36,38,28,24,36,0,32,37,28,28,31,35,39,35,0,38,32,36,37,32,34
2020-03-21,26,28,18,0,28,0,0,25,0,24,0,26,26,25,0,28,24,25,0,0,24
2020-03-22,22,23,0,0,24,0,0,22,0,20,0,23,22,0,0,23,20,20,0,0,0
2020-03-23,32,33,26,22,32,0,27,31,27,28,28,31,36,35,23,34,29,33,30,28,30
2020-03-24,33,32,28,23,33,0,26,32,27,27,27,32,36,35,24,34,29,34,30,29,29
2020-03-25,32,33,27,22,33,0,27,31,27,27,26,31,36,35,23,35,28,34,32,29,28
2020-03-26,33,34,30,24,34,0,27,32,29,28,28,32,37,35,24,35,30,34,32,29,31
2020-03-27,36,38,30,24,38,0,31,37,29,28,0,36,39,38,0,39,32,36,37,33,34
2020-03-28,25,27,18,0,28,0,0,24,0,24,0,26,25,27,0,27,23,25,26,0,22
2020-03-29,22,24,0,0,24,0,0,23,0,21,0,23,22,0,0,23,20,20,0,0,0
2020-03-30,33,33,26,24,33,0,28,32,28,29,29,32,36,35,0,35,30,34,32,29,31
2020-03-31,33,33,26,23,34,0,29,33,28,27,0,32,35,35,0,35,29,34,32,31,31
2020-04-01,33,33,27,24,34,0,28,32,28,28,26,32,36,36,0,35,29,35,32,29,28
2020-04-02,33,33,30,23,33,0,27,32,28,28,0,31,35,37,0,35,29,34,31,28,30
2020-04-03,36,37,31,23,37,0,30,36,28,27,0,35,38,42,0,38,31,35,35,32,33
2020-04-04,25,26,0,0,27,0,0,24,0,25,0,26,26,28,0,27,23,25,25,0,22
2020-04-05,23,25,0,0,25,0,0,24,0,23,0,25,23,0,0,24,22,21,0,0,0
2020-04-06,33,33,26,23,34,0,29,32,28,27,0,32,37,35,0,34,30,35,31,28,32
2020-04-07,32,32,27,22,33,0,27,31,27,27,0,31,35,35,0,34,28,33,30,28,29
2020-04-08,30,31,26,21,32,0,25,29,25,25,25,29,34,32,20,32,26,32,30,26,27
2020-04-09,35,34,28,25,35,0,29,33,31,29,0,33,38,40,0,36,32,36,33,31,32
2020-04-10,46,50,0,0,48,0,0,48,0,35,0,49,48,0,0,50,44,44,46,0,45
2020-04-11,26,28,0,0,29,0,0,26,0,25,0,27,27,29,0,29,24,26,27,0,24
