date,CH,Aargau,Appenzell Ausserrhoden,Appenzell Innerrhoden,Basel City,Basel-Landschaft,Canton of Bern,Canton of Zug,Fribourg,Geneva,Glarus,Grisons,Jura,Lucerne,Neuchâtel,Nidwalden,Obwalden,Schaffhausen,Schwyz,Solothurn,St. Gallen,Thurgau,Ticino,Uri,Valais,Vaud,Zurich
2020-03-03,-3,-2,-4,0,-12,-14,-4,-4,1,-2,-4,-5,-1,-3,2,-4,-13,3,-5,-4,1,-2,-9,-19,0,0,-3
2020-03-04,-2,1,-1,0,-14,-15,-5,-6,0,-3,-11,-1,-3,0,1,-5,-1,2,-6,-5,2,0,-5,-14,0,-2,-3
2020-03-05,-11,-5,-14,0,-20,-23,-12,-8,-6,-9,-16,-25,-15,-11,-8,-27,-26,-6,-20,-9,-9,-11,-14,-27,-16,-9,-9
2020-03-06,-8,-5,-1,0,-19,-21,-10,-10,-3,-6,-11,-17,-5,-9,3,-21,-15,-5,-17,-11,-5,-9,-5,-25,-4,-4,-10
2020-03-07,-9,0,-7,NA,-15,-12,-15,-13,-4,-2,-16,-21,-3,-15,1,-18,-25,7,-23,-8,-6,-1,-2,-33,-5,-3,-9
2020-03-08,3,10,-6,NA,-11,-6,-3,4,6,-1,5,-6,12,3,22,9,5,25,8,1,16,22,-2,-19,4,11,-1
2020-03-09,-8,0,-7,0,-13,-7,-10,-11,-5,-6,-9,-25,-2,-7,-3,-22,-17,4,-12,-6,-8,-3,-18,-32,-12,-6,-9
2020-03-10,-10,-7,-10,0,-12,-8,-13,-10,-5,-8,-6,-17,-8,-9,-6,-21,-22,-3,-12,-10,-7,-9,-17,-26,-11,-8,-12
2020-03-11,-6,-2,-4,0,-11,-6,-8,-11,-4,-9,-11,-8,-3,-5,-1,-14,-5,3,-6,-7,-1,1,-13,-13,1,-7,-10
2020-03-12,-11,-5,-7,0,-17,-8,-11,-12,-5,-16,0,-14,-7,-11,-6,-13,-19,-7,-9,-8,-4,-7,-29,-16,-4,-9,-14
2020-03-13,-15,-7,-4,0,-20,-12,-16,-17,-11,-21,-22,-27,-4,-13,-3,-27,-28,-11,-13,-10,-7,-7,-31,-33,-10,-15,-17
2020-03-14,-26,-14,-13,NA,-30,-21,-30,-25,-20,-23,-15,-50,-15,-30,-15,-34,-36,-15,-27,-23,-17,-16,-44,-48,-35,-24,-27
2020-03-15,-16,3,-8,NA,-30,-7,-20,-6,-12,-29,0,-49,3,-14,8,-38,-23,7,-5,-8,5,23,-51,-38,-35,-17,-20
2020-03-16,-30,-19,-21,0,-36,-25,-29,-35,-33,-36,-14,-48,-25,-26,-28,-32,-21,-18,-22,-26,-17,-14,-51,-30,-36,-35,-33
2020-03-17,-42,-37,-28,0,-52,-35,-43,-49,-41,-50,-17,-46,-38,-39,-40,-36,-32,-34,-29,-39,-28,-32,-54,-40,-43,-50,-47
2020-03-18,-45,-38,-32,0,-55,-37,-46,-51,-47,-60,-12,-50,-43,-43,-45,-43,-33,-33,-31,-42,-31,-31,-55,-40,-48,-54,-50
2020-03-19,-51,-42,-38,0,-59,-41,-50,-53,-50,-68,-12,-57,-46,-48,-51,-56,-38,-41,-45,-46,-35,-36,-65,-51,-62,-57,-54
2020-03-20,-56,-47,-39,0,-62,-46,-56,-59,-58,-73,-30,-64,-50,-53,-54,-57,-53,-49,-43,-51,-41,-40,-67,-61,-61,-64,-58
2020-03-21,-62,-54,-54,NA,-74,-58,-63,-62,-56,-76,-33,-73,-62,-64,-54,-70,-65,-59,-57,-59,-54,-57,-57,-69,-68,-61,-66
2020-03-22,-66,-53,-54,NA,-72,-56,-71,-63,-67,-82,-55,-80,-57,-68,-62,-77,-78,-56,-66,-63,-57,-51,-71,-80,-71,-71,-67
2020-03-23,-59,-48,-45,0,-64,-47,-57,-61,-60,-79,-34,-65,-53,-52,-59,-59,-50,-49,-48,-53,-45,-44,-69,-58,-60,-68,-62
2020-03-24,-58,-51,-40,0,-65,-47,-57,-62,-58,-79,-20,-58,-56,-53,-61,-49,-45,-54,-42,-53,-43,-48,-67,-53,-59,-67,-63
2020-03-25,-59,-50,-41,0,-65,-47,-58,-64,-61,-79,-37,-64,-55,-55,-60,-56,-51,-52,-48,-55,-45,-47,-71,-58,-61,-68,-63
2020-03-26,-61,-51,-49,0,-67,-49,-58,-63,-60,-81,-30,-67,-55,-56,-62,-56,-54,-54,-48,-55,-47,-52,-69,-58,-62,-69,-65
2020-03-27,-58,-48,-40,0,-66,-47,-57,-58,-58,-80,-27,-67,-51,-54,-55,-57,-50,-51,-43,-53,-42,-46,-67,-59,-63,-67,-63
2020-03-28,-53,-38,-26,0,-68,-41,-56,-46,-48,-78,-13,-70,-46,-52,-47,-53,-47,-43,-34,-46,-33,-37,-56,-63,-68,-58,-57
2020-03-29,-68,-56,-60,NA,-76,-61,-68,-67,-62,-84,-48,-78,-64,-66,-58,-78,-79,-61,-66,-63,-58,-61,-64,-78,-75,-68,-73
2020-03-30,-62,-48,-52,0,-65,-47,-60,-63,-65,-82,-38,-70,-56,-58,-64,-62,-57,-49,-53,-55,-48,-48,-72,-62,-65,-70,-64
2020-03-31,-53,-44,-38,0,-61,-41,-52,-56,-55,-77,-9,-55,-51,-47,-53,-45,-45,-41,-33,-49,-35,-39,-67,-52,-53,-63,-58
2020-04-01,-52,-42,-38,0,-61,-42,-51,-57,-53,-76,-9,-55,-49,-47,-52,-49,-43,-42,-33,-49,-34,-36,-66,-47,-54,-62,-58
2020-04-02,-53,-42,-37,0,-63,-42,-52,-55,-52,-77,-27,-60,-48,-49,-52,-49,-47,-47,-37,-46,-36,-39,-62,-53,-55,-62,-60
2020-04-03,-54,-44,-38,0,-64,-42,-52,-54,-55,-77,-25,-64,-50,-51,-49,-52,-47,-48,-39,-49,-39,-40,-64,-58,-57,-62,-60
2020-04-04,-51,-36,-25,NA,-65,-39,-53,-44,-44,-77,-9,-67,-40,-51,-40,-52,-45,-40,-33,-43,-32,-36,-53,-59,-63,-53,-57
2020-04-05,-48,-30,-27,NA,-65,-32,-49,-39,-39,-77,-2,-68,-30,-46,-33,-57,-51,-34,-32,-40,-29,-19,-57,-62,-60,-48,-56
2020-04-06,-51,-38,-37,0,-61,-40,-49,-54,-51,-75,-11,-59,-40,-46,-49,-49,-36,-40,-35,-45,-33,-33,-62,-53,-53,-58,-58
2020-04-07,-50,-42,-35,0,-61,-37,-49,-54,-47,-74,-9,-51,-45,-46,-48,-40,-36,-41,-32,-47,-30,-33,-62,-48,-49,-58,-58
2020-04-08,-51,-42,-32,0,-61,-37,-50,-55,-50,-75,-7,-53,-44,-47,-49,-51,-33,-43,-33,-48,-33,-34,-63,-49,-51,-59,-57
2020-04-09,-50,-39,-34,0,-60,-37,-48,-53,-46,-74,-11,-57,-40,-47,-47,-47,-38,-41,-33,-45,-31,-31,-62,-44,-51,-57,-57
2020-04-10,-61,-59,-47,0,-75,-59,-61,-60,-60,-81,-8,-67,-54,-58,-56,-50,-36,-60,-36,-64,-46,-44,-62,-55,-57,-66,-69
2020-04-11,-47,-32,-21,NA,-63,-33,-50,-40,-37,-74,5,-65,-34,-47,-37,-50,-40,-34,-26,-42,-25,-29,-50,-54,-60,-49,-55
