date,ES,Andalusia,Aragon,Asturias,Balearic Islands,Basque Country,Canary Islands,Cantabria,Castile and León,Castile-La Mancha,Catalonia,Ceuta,Community of Madrid,Extremadura,Galicia,La Rioja,Melilla,Navarre,Region of Murcia,Valencian Community
2020-03-17,-59,-59,-53,-57,-52,-54,-56,-55,-55,-54,-60,-58,-69,-54,-53,-49,-64,-52,-51,-56
2020-03-18,-60,-60,-55,-58,-54,-56,-58,-57,-56,-57,-62,-62,-71,-55,-55,-50,-64,-54,-52,-59
2020-03-19,-71,-63,-58,-61,-57,-90,-60,-62,-59,-79,-64,-63,-73,-58,-85,-56,-65,-86,-85,-88
2020-03-20,-66,-63,-59,-62,-57,-73,-61,-61,-60,-64,-65,-65,-73,-59,-65,-58,-65,-69,-62,-68
2020-03-21,-63,-63,-62,-61,-62,-65,-61,-60,-60,-61,-64,-66,-66,-58,-57,-64,-61,-61,-57,-63
2020-03-22,-65,-67,-66,-64,-65,-66,-63,-63,-64,-65,-65,-64,-66,-61,-60,-66,-59,-64,-65,-68
2020-03-23,-65,-65,-60,-62,-61,-60,-64,-61,-60,-60,-68,-67,-75,-59,-58,-54,-64,-57,-54,-61
2020-03-24,-67,-67,-62,-64,-64,-63,-66,-63,-62,-62,-69,-68,-76,-61,-60,-56,-67,-60,-63,-64
2020-03-25,-67,-68,-62,-64,-64,-63,-67,-63,-63,-63,-70,-69,-77,-61,-61,-57,-66,-61,-60,-64
2020-03-26,-68,-68,-64,-65,-65,-64,-67,-65,-64,-64,-71,-68,-77,-62,-62,-58,-67,-61,-61,-65
2020-03-27,-68,-67,-63,-64,-63,-64,-67,-64,-63,-65,-70,-67,-77,-62,-61,-59,-66,-61,-60,-65
2020-03-28,-64,-63,-63,-62,-65,-65,-67,-62,-60,-62,-66,-67,-68,-58,-59,-63,-61,-61,-58,-64
2020-03-29,-64,-65,-64,-63,-61,-63,-66,-61,-62,-63,-64,-64,-65,-60,-59,-65,-59,-61,-63,-66
2020-03-30,-74,-72,-70,-70,-74,-75,-71,-71,-69,-70,-77,-70,-82,-66,-68,-66,-68,-71,-62,-72
2020-03-31,-76,-74,-73,-72,-76,-77,-73,-73,-71,-72,-78,-71,-83,-68,-70,-69,-69,-73,-68,-75
2020-04-01,-75,-73,-72,-71,-76,-76,-73,-73,-70,-72,-78,-70,-83,-67,-70,-69,-69,-73,-67,-74
2020-04-02,-75,-74,-72,-72,-77,-75,-73,-72,-71,-72,-78,-71,-83,-68,-70,-69,-70,-72,-68,-75
2020-04-03,-74,-72,-71,-71,-75,-75,-73,-71,-70,-71,-77,-69,-82,-67,-69,-68,-69,-71,-68,-74
2020-04-04,-65,-64,-64,-63,-68,-67,-68,-63,-62,-63,-68,-68,-69,-59,-59,-65,-61,-64,-59,-67
2020-04-05,-68,-67,-68,-65,-66,-69,-69,-64,-65,-66,-68,-66,-69,-63,-64,-69,-59,-67,-66,-70
2020-04-06,-74,-72,-70,-70,-74,-74,-72,-71,-69,-71,-77,-71,-82,-66,-68,-67,-67,-70,-63,-72
2020-04-07,-74,-72,-70,-70,-75,-74,-72,-70,-70,-71,-78,-70,-82,-67,-69,-67,-70,-70,-67,-73
2020-04-08,-74,-72,-70,-69,-74,-74,-72,-70,-70,-71,-78,-69,-82,-66,-69,-67,-70,-70,-66,-73
2020-04-09,-84,-85,-88,-86,-85,-91,-85,-86,-85,-87,-80,-87,-92,-81,-86,-86,-85,-88,-82,-75
2020-04-10,-90,-88,-89,-88,-88,-91,-88,-87,-87,-88,-91,-86,-92,-85,-88,-89,-86,-90,-88,-90
2020-04-11,-63,-62,-64,-61,-64,-63,-66,-61,-61,-61,-66,-66,-68,-57,-58,-65,-61,-62,-56,-64
