"country","Grocerypharmacy","Parks","Residential","Retailrecreation","Transitstations","Workplace","mean"
"EE",0.56304,NA,0.60484,0.6844,0.67474,0.62925,0.631254
"EG",0.47482,"0.57589",0.68052,0.67427,0.64706,0.6526,0.625854
"ES",0.49567,"0.70895",0.73026,0.77152,0.79626,0.71226,0.701194
"FI",0.4756,"-0.41389",0.62408,0.70817,0.70101,0.62238,0.626248
"FR",0.36306,"0.64624",0.56537,0.71989,0.64554,0.44974,0.54872
"GA",0.56128,"0.45597",0.77478,0.67273,0.69667,0.70194,0.68148
"GB",0.23344,"0.38108",0.63782,0.69814,0.67912,0.60555,0.570814
"GH",0.48414,"0.77519",0.78754,0.77198,0.7576,0.60267,0.680786
"GR",0.39554,"0.60642",0.7433,0.7122,0.71926,0.66011,0.646082
"GT",0.57008,"0.68839",0.74324,0.6594,0.66371,0.71816,0.670918
"HK",-0.15936,"0.2255",0.30298,0.31824,0.24187,0.1852,0.177786
"HN",0.55649,"0.67152",0.6863,0.6748,0.66507,0.64717,0.645966
"HR",0.4134,"0.46592",0.67377,0.61074,0.65561,0.63649,0.598002
"HU",0.2999,"0.38251",0.62517,0.56171,0.62435,0.70892,0.56401
"ID",0.59992,"0.63255",0.76078,0.6582,0.76044,0.65738,0.687344
"IE",0.45397,"0.24381",0.70482,0.74035,0.76698,0.68781,0.670786
"IL",0.3206,"0.60044",0.69388,0.72735,0.71158,0.72059,0.6348
"IN",0.51759,"0.72407",0.72485,0.76941,0.64319,0.61017,0.653042
"IQ",0.5482,"0.66343",0.75554,0.68079,0.68948,0.69073,0.672948
"IT",0.53032,"0.67005",0.73592,0.76659,0.70417,0.75678,0.698756
"JM",0.61412,"0.77631",0.73932,0.75541,0.79033,0.74239,0.728314
"JO",0.4868,"0.65494",0.63841,0.64509,0.69449,0.59441,0.61184
"JP",NA,"-0.18377",0.58029,0.41308,0.54035,0.69061,0.5560825
"KE",0.65959,"0.77496",0.84044,0.80518,0.81192,0.74684,0.772794
"KG",0.75289,"0.73137",0.7517,0.76749,0.78806,0.72832,0.757692
"KR",-0.37423,"-0.49024",-0.22358,-0.24382,-0.24861,NA,-0.27256
"KW",0.78444,"0.74278",0.7724,0.82295,0.78789,0.75247,0.78403
"KZ",0.69518,"0.7059",0.7609,0.82272,0.72309,0.69821,0.74002
"LA",0.70365,"0.65757",0.73252,0.71492,0.71121,0.65217,0.702894
"LB",0.49807,"0.54363",0.65656,0.64379,0.67578,0.6393,0.6227
"LK",0.62331,"0.69674",0.71364,0.67268,0.68413,0.61727,0.662206
"LU",0.42683,"0.48608",0.54927,0.60848,0.62192,0.62005,0.56531
"LY",0.57688,"0.59616",0.53897,0.589,0.54768,0.57828,0.566162
"MD",0.63488,"0.61814",0.68463,0.67692,0.68837,0.70393,0.677746
"ML",0.61238,"0.52487",0.64446,0.58783,0.63354,0.61529,0.6187
"MM",0.61991,"0.64688",0.73157,0.72632,0.72502,0.66387,0.693338
"MN",-0.25874,"-0.38343",-0.2763,-0.17994,-0.26403,-0.36053,-0.267908
"MU",0.5821,"0.56445",0.62422,0.56603,0.60498,0.5844,0.592346
"MX",0.48875,"0.74297",0.76456,0.72513,0.76859,0.75406,0.700218
"MY",0.42899,"0.5834",0.62224,0.57266,0.58478,0.61731,0.565196
"MZ",0.65095,"0.72286",0.74794,0.70704,0.72967,0.65117,0.697354
"NA",0.52078,"0.76245",0.78235,0.68016,0.79538,0.82144,0.720022
"NE",0.65175,"0.68511",0.75768,0.69041,0.73327,0.6763,0.701882
"NG",0.45393,"0.67516",0.77849,0.73314,0.67975,0.69245,0.667552
"NI",0.59326,"0.6325",0.76972,0.6633,0.70709,0.76172,0.699018
"NL",0.31463,"-0.28003",0.60743,0.67734,0.62073,0.50183,0.544392
"NO",0.27513,"-0.20041",0.60324,0.58431,0.59196,0.53067,0.517062
"NZ",0.26674,"0.61793",0.72065,0.58518,0.71711,0.61767,0.58147
"OM",0.58077,"0.75112",0.72535,0.6738,0.74171,0.67508,0.679342
"PA",0.71576,"0.80646",0.81331,0.80551,0.8017,0.78221,0.783698
"PE",0.52085,"0.72495",0.71444,0.70443,0.74685,0.65931,0.669176
"PG",0.45008,"0.50737",0.59003,0.65852,0.58023,0.58117,0.572006
"PH",0.64458,"0.72669",0.79064,0.82247,0.81577,0.77102,0.768896
"PK",0.51098,"0.59253",0.71917,0.64251,0.60352,0.61345,0.617926
"PL",0.43359,"0.62899",0.70472,0.5829,0.71218,0.71833,0.630344
"PR",0.5024,"0.51961",0.53435,0.50164,0.60313,0.5762,0.543544
"PT",0.46236,"0.67225",0.69039,0.67582,0.79049,0.67529,0.65887
"PY",0.68158,"0.72131",0.77056,0.72501,0.77353,0.75464,0.741064
"QA",0.58463,"0.74939",0.83823,0.7376,0.81993,0.78415,0.752908
"RO",0.50924,"0.60934",0.68234,0.67878,0.69139,0.67133,0.646616
"RW",0.69059,"0.64127",0.76771,0.79723,0.76623,0.69498,0.743348
"SA",0.67351,"0.75716",0.8528,0.78493,0.88413,0.82038,0.80315
"SE",0.30932,"-0.41861",0.66737,0.58521,0.68516,0.59536,0.568484
"SG",-0.33548,"0.43819",0.61778,0.48649,0.63335,0.49992,0.380412
"SI",0.50021,"0.45202",0.61132,0.60605,0.577,0.56993,0.572902
"SK",0.35844,"0.25189",0.61902,0.58878,0.57564,0.59256,0.546888
"SV",0.65033,"0.68752",0.70871,0.67964,0.68987,0.70986,0.687682
"TH",0.64208,"0.71152",0.72594,0.69229,0.7584,0.64533,0.692808
"TR",0.6264,"0.73432",0.81676,0.75593,0.7712,0.81153,0.756364
"TT",0.4904,"0.78973",0.75135,0.77001,0.83246,0.68736,0.706316
"TW",-0.2199,NA,0.16037,0.30408,0.38691,NA,0.157865
"TZ",0.21744,"0.71919",0.77315,0.72037,0.62151,0.7895,0.624394
"UG",0.68116,"0.70571",0.77139,0.73634,0.76066,0.71707,0.733324
"US",0.26216,"0.54459",0.68374,0.62084,0.74332,0.69896,0.601804
"UY",0.63292,"0.72166",0.76385,0.67969,0.70823,0.752,0.707338
"VE",0.69893,"0.70976",0.67459,0.70556,0.71154,0.62506,0.683136
"VN",0.6915,"0.7228",0.71979,0.77037,0.79635,0.53243,0.702088
"ZA",0.38615,"0.6492",0.69749,0.58011,0.75163,0.73559,0.630194
"ZM",0.17508,"0.44577",0.70418,0.64415,0.67654,0.65749,0.571488
"ZW",0.36184,"0.66864",0.72169,0.65745,0.62934,0.57065,0.588194
