"g1name","g2name","value"
"UGA","AGO",12.7671453348037
"USA","AGO",12.1243556529821
"URY","AGO",9.32737905308882
"VEN","AGO",4.47213595499958
"VNM","AGO",2
"ZAF","AGO",23.7065391822594
"ZMB","AGO",12.7279220613579
"ZWE","AGO",15.1986841535707
"ARE","ARG",2
"AFG","ARG",11.13552872566
"AGO","ARG",5.29150262212918
"ARG","ARG",0
"AUT","ARG",4.47213595499958
"AUS","ARG",8
"BIH","ARG",4.69041575982343
"BGD","ARG",5.3851648071345
"BEL","ARG",6.92820323027551
"BFA","ARG",4.24264068711928
"BGR","ARG",5
"BOL","ARG",11.1803398874989
"BRA","ARG",8.88819441731559
"BWA","ARG",14.7986485869487
"CAN","ARG",6.2449979983984
"CHE","ARG",6.32455532033676
"CHL","ARG",2.64575131106459
"CMR","ARG",4
"COL","ARG",7.41619848709566
"CRI","ARG",7.93725393319377
"CZE","ARG",6.08276253029822
"DNK","ARG",3
"DOM","ARG",2.23606797749979
"ECU","ARG",2.44948974278318
"EST","ARG",2.64575131106459
"EGY","ARG",12.369316876853
"ESP","ARG",6.16441400296898
"FIN","ARG",2.82842712474619
"FRA","ARG",3.74165738677394
"GAB","ARG",7.34846922834953
"GBR","ARG",5.29150262212918
"GHA","ARG",9.74679434480896
"GRC","ARG",4.12310562561766
"GTM","ARG",5.65685424949238
"HKG","ARG",7.41619848709566
"HND","ARG",5.56776436283002
"HRV","ARG",5.47722557505166
"HUN","ARG",9.32737905308882
"IDN","ARG",9
"IRL","ARG",13.2664991614216
"ISR","ARG",3.87298334620742
"IND","ARG",5.09901951359278
"IRQ","ARG",3.16227766016838
"ITA","ARG",2.44948974278318
"JAM","ARG",8.18535277187245
"JOR","ARG",1.73205080756888
"JPN","ARG",8.60232526704263
"KEN","ARG",7.28010988928052
"KGZ","ARG",5
"KOR","ARG",15.4596248337403
"KWT","ARG",7.74596669241483
"KAZ","ARG",12.6491106406735
"LAO","ARG",4.69041575982343
"LBN","ARG",6.40312423743285
"LKA","ARG",3.3166247903554
"LBY","ARG",8.66025403784439
"MDA","ARG",6.08276253029822
"MLI","ARG",3.60555127546399
"MMR","ARG",8.88819441731559
"MUS","ARG",4.47213595499958
"MEX","ARG",6.16441400296898
"MYS","ARG",5.74456264653803
"MOZ","ARG",7.87400787401181
"NER","ARG",10.2469507659596
"NGA","ARG",8.77496438739212
"NLD","ARG",8.18535277187245
"NOR","ARG",4.58257569495584
"NZL","ARG",3.3166247903554
"OMN","ARG",3.74165738677394
"PAN","ARG",12.7671453348037
"PER","ARG",8.48528137423857
"PHL","ARG",9.64365076099295
"PAK","ARG",3.3166247903554
"POL","ARG",6.557438524302
"PRI","ARG",11.0905365064094
"PRT","ARG",3.60555127546399
"PRY","ARG",6
"QAT","ARG",6.2449979983984
"ROU","ARG",8.83176086632785
"RWA","ARG",9.79795897113271
"SAU","ARG",11.13552872566
"SWE","ARG",7
"SGP","ARG",7.14142842854285
"SVN","ARG",7.14142842854285
"SVK","ARG",6.32455532033676
"SLV","ARG",11.6619037896906
"THA","ARG",8.42614977317636
"TUR","ARG",4.12310562561766
"TTO","ARG",5.65685424949238
"TZA","ARG",12.1243556529821
"UGA","ARG",8.42614977317636
"USA","ARG",8.06225774829855
"URY","ARG",5
"VEN","ARG",2.82842712474619
"VNM","ARG",6
"ZAF","ARG",18.9736659610103
"ZMB","ARG",9.48683298050514
"ZWE","ARG",10.3440804327886
"ARE","AUT",4
"AFG","AUT",7.48331477354788
"AGO","AUT",9.05538513813742
"ARG","AUT",4.47213595499958
"AUT","AUT",0
"AUS","AUT",5.29150262212918
"BIH","AUT",1.4142135623731
"BGD","AUT",2.23606797749979
"BEL","AUT",4.69041575982343
"BFA","AUT",1.4142135623731
"BGR","AUT",2.23606797749979
"BOL","AUT",7.14142842854285
"BRA","AUT",5.56776436283002
"BWA","AUT",10.5356537528527
"CAN","AUT",4.79583152331272
"CHE","AUT",2.82842712474619
"CHL","AUT",3.3166247903554
"CMR","AUT",5.29150262212918
"COL","AUT",11.1803398874989
"CRI","AUT",4.12310562561766
"CZE","AUT",2.23606797749979
"DNK","AUT",2.23606797749979
"DOM","AUT",5.56776436283002
"ECU","AUT",6.16441400296898
"EST","AUT",5.74456264653803
"EGY","AUT",16.7032930884901
"ESP","AUT",2.44948974278318
"FIN","AUT",3.74165738677394
"FRA","AUT",6.16441400296898
"GAB","AUT",11.5758369027902
"GBR","AUT",6.32455532033676
"GHA","AUT",5.3851648071345
"GRC","AUT",3.87298334620742
"GTM","AUT",1.4142135623731
"HKG","AUT",9.53939201416946
"HND","AUT",9.53939201416946
"HRV","AUT",3.74165738677394
"HUN","AUT",5.19615242270663
"IDN","AUT",5.3851648071345
"IRL","AUT",12.1655250605964
"ISR","AUT",3.60555127546399
"IND","AUT",2
"IRQ","AUT",6.32455532033676
"ITA","AUT",4.69041575982343
"JAM","AUT",4.12310562561766
"JOR","AUT",3.87298334620742
"JPN","AUT",7.61577310586391
"KEN","AUT",3.87298334620742
"KGZ","AUT",3.87298334620742
"KOR","AUT",18.7349939951952
"KWT","AUT",3.74165738677394
"KAZ","AUT",9.05538513813742
"LAO","AUT",2.82842712474619
"LBN","AUT",10.5356537528527
"LKA","AUT",2.23606797749979
"LBY","AUT",4.79583152331272
"MDA","AUT",9.9498743710662
"MLI","AUT",5.19615242270663
"MMR","AUT",5.91607978309962
"MUS","AUT",8.48528137423857
"MEX","AUT",10.295630140987
"MYS","AUT",3.3166247903554
"MOZ","AUT",3.74165738677394
"NER","AUT",6.08276253029822
"NGA","AUT",4.79583152331272
"NLD","AUT",5.3851648071345
"NOR","AUT",6.85565460040104
"NZL","AUT",5.19615242270663
"OMN","AUT",7.48331477354788
"PAN","AUT",8.77496438739212
"PER","AUT",4.47213595499958
"PHL","AUT",5.56776436283002
"PAK","AUT",4.58257569495584
"POL","AUT",4.35889894354067
"PRI","AUT",6.85565460040104
"PRT","AUT",4.79583152331272
"PRY","AUT",2.82842712474619
"QAT","AUT",3.60555127546399
"ROU","AUT",5.09901951359278
"RWA","AUT",6.16441400296898
"SAU","AUT",6.92820323027551
"SWE","AUT",5.91607978309962
"SGP","AUT",6.85565460040104
"SVN","AUT",5.74456264653803
"SVK","AUT",3.16227766016838
"SLV","AUT",7.48331477354788
"THA","AUT",5.56776436283002
"TUR","AUT",2.23606797749979
"TTO","AUT",2.44948974278318
"TZA","AUT",8.18535277187245
