"country" "grocerypharmacy" "parks" "residential" "retailrecreation" "transitstations" "workplace" "avg"
"GA" 58.30113 "56.93673" 67.18019 47.27147 38.60332 56.8337 53.637962
"GB" 38.63391 "44.02524" 41.51005 20.97253 19.64435 15.6303 27.278228
"GH" 39.60895 "50.15363" 54.41252 29.62685 25.12264 30.64974 35.88414
"GR" 74.25813 "167.11359" 33.3699 36.48308 19.45461 19.62406 36.637956
"GT" 43.31 "37.95404" 65.06089 32.23939 30.03306 31.90998 40.510664
"HK" 75.77346 "69.1461" 65.85009 54.79409 46.58352 64.1035 61.420932
"HN" 23.50937 "30.66903" 67.88065 14.00985 17.19711 23.75119 29.269634
"HR" 55.71728 "54.95107" 72.40374 41.93847 37.96396 38.69157 49.343004
"HU" 52.82211 "52.18155" 68.24555 38.26836 32.47737 41.90944 46.744566
"ID" 55.06769 "30.89524" 60.22112 35.63073 29.7772 30.18422 42.176192
"IE" 48.98623 "72.97785" 52.20156 20.3639 22.08328 18.44011 32.415016
"IL" 87.09664 "133.81903" 61.44012 58.68997 32.16742 35.12156 54.903142
"IN" 37.84205 "43.80632" 68.86724 31.31113 33.87195 36.33206 41.644886
"IQ" 85.71023 "79.28883" 68.74657 78.43807 81.90894 77.01564 78.36389
"IT" 69.39162 "74.56872" 63.2925 59.68645 50.59083 61.35824 60.863928
"JM" 57.35145 "38.21607" 47.85268 40.5691 41.5213 41.31311 45.721528
"JO" 33.75598 "27.40004" 69.1776 28.88788 13.57231 27.00434 34.479622
"JP" 66.00494 "88.53882" 54.44424 57.96096 43.63347 51.2794 54.664602
"KE" 50.60095 "52.59357" 54.51962 35.66429 40.22264 29.08413 42.018326
"KG" 22.71096 "41.67906" 53.03534 29.2076 17.87778 21.56999 28.880334
"KR" 77.64828 "121.86433" 73.03287 55.30557 58.5622 68.38365 66.586514
"KW" 55.40702 "32.73077" 64.48217 29.84214 33.78313 39.8694 44.676772
"KZ" 41.40505 "52.40389" 66.31655 27.58543 35.59452 26.81668 39.543646
"LA" 58.50811 "74.81347" 78.97383 41.56687 32.66152 52.01846 52.745758
"LB" 54.23624 "59.14872" 78.56444 37.53061 26.26561 34.86431 46.292242
"LK" 62.99557 "64.91781" 53.14631 42.62598 45.60168 41.70006 49.21392
"LU" 51.25838 "51.68656" NA 9.40121 NA NA 30.329795
"LY" 63.02943 "58.99991" 74.5252 42.72431 39.73993 54.49187 54.902148
"MD" 29.41956 "27.05554" 49.23069 22.57184 17.43079 19.09085 27.548746
"ML" 67.3054 "71.20004" 72.27635 62.04199 49.64012 57.03131 61.659034
"MM" 35.46427 "57.0903" 56.03731 25.14821 24.95184 27.9424 33.908806
"MN" 92.13366 "90.16999" 76.19 64.68506 63.67817 65.67744 72.472866
"MU" 37.13255 "18.67694" 60.78492 23.38243 26.77523 35.13095 36.641216
"MX" 56.74763 "31.37065" 56.36587 20.53677 21.09724 24.5199 35.853482
"MY" 59.30339 "37.19851" 47.81814 31.14079 33.29723 34.43123 41.198156
"MZ" 23.86356 "23.52595" 43.80868 19.06482 21.35667 26.3829 26.895326
"NA" 29.79948 "23.54118" 34.32202 22.87142 18.22417 25.42834 26.129086
"NE" 49.13155 "42.08558" 52.03719 41.32001 31.686 42.34362 43.303674
"NG" 38.09358 "35.23584" 51.53349 24.44554 26.63039 25.35858 33.212316
"NI" 40.68172 "22.34846" 13.92486 52.13299 51.52183 56.12566 42.877412
"NL" 57.17407 "73.95154" 64.91331 27.22572 23.68448 34.99354 41.598224
"NO" 58.61268 "156.58601" 63.21957 30.47921 28.83763 33.30626 42.89107
"NZ" 58.34708 "30.91398" 60.19296 35.38183 44.60005 62.17233 52.13885
"OM" 47.90133 "35.28668" 76.74922 35.79925 25.29324 53.64388 47.877384
"PA" 39.51445 "28.97694" 53.55737 35.10218 30.30582 30.42824 37.781612
"PE" 28.54477 "14.18961" 38.99214 16.46971 19.32104 17.98931 24.263394
"PG" 73.62444 "80.31361" NA 65.89033 47.47353 77.17715 66.0413625
"PH" 48.73542 "37.98635" 50.69585 43.21369 37.72869 47.47693 45.570116
"PK" 57.56977 "59.68877" 76.61129 54.47532 54.44183 48.56477 58.332596
"PL" 61.64392 "50.7052" 72.67519 38.70445 27.50169 41.18336 48.341722
"PR" 27.45608 "19.06362" 53.27997 14.65928 12.63855 22.92862 26.1925
"PT" 42.2714 "42.89972" 49.88504 17.48234 21.53798 24.3042 31.096192
"PY" 27.31556 "26.3655" 55.32158 26.1816 21.30379 34.95961 33.016428
"QA" 50.48749 "41.58264" 69.62625 32.26281 31.66586 57.96329 48.40114
"RO" 43.25513 "51.24979" 73.04681 37.65216 37.47453 48.52981 47.991688
"RW" 29.52303 "82.80081" 65.27839 33.86038 41.46023 32.71351 40.567108
"SA" 53.91803 "27.71211" 64.48587 25.63075 19.35402 32.79845 39.237424
"SE" 36.61707 "132.76411" 32.08933 31.23379 10.84866 29.4145 28.04067
"SG" 56.48496 "37.06643" 28.17069 26.26029 24.77351 36.62945 34.46378
"SI" 32.0003 "46.71408" 72.42867 27.01445 29.90093 43.34116 40.937102
"SK" 34.58339 "45.8475" 51.3599 25.86176 27.08204 32.1762 34.212658
"SV" 42.15615 "30.22694" 48.11683 35.39011 32.61775 38.36387 39.328942
"TH" 59.74963 "28.25439" 63.74595 31.91026 18.49925 36.47447 42.075912
"TR" 49.95485 "96.84158" 63.83019 46.74525 40.74594 40.67607 48.39046
"TT" 38.15633 "24.29627" 49.33642 24.67023 24.97383 22.20336 31.868034
"TW" 47.62 "70.95675" 38.12391 37.0521 32.09412 45.71547 40.12112
"TZ" 59.57117 "57.36528" 60.34429 47.56174 52.9217 29.28312 49.936404
"UG" 43.03498 "80.11804" 65.59047 31.88287 29.69298 37.50855 41.54197
"US" 55.95598 "52.7095" 56.35022 29.57973 26.98616 28.9955 39.573518
"UY" 28.14065 "18.69342" 44.26132 18.51146 17.84749 25.49484 26.851152
"VE" 35.77139 "31.77593" 61.95519 25.93416 24.24837 29.31958 35.445738
"VN" 66.21817 "59.66505" 76.99431 59.39904 56.86194 76.22715 67.140122
"ZA" 66.78843 "43.04364" 59.82981 28.48803 23.19699 26.53072 40.966796
"ZM" 33.22546 "40.77934" 30.83972 23.9577 21.64777 26.29398 27.192926
"ZW" 32.34596 "44.96648" 53.53251 25.50414 18.41608 24.69779 30.899296
