country,Human development index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
Djibouti,0.495433259547952,66.582,6.484498855,4,3600.713386,-24,171
Malawi,0.485400186346767,63.798,10.95276,4.63,1159.120065,11,172
Ethiopia,0.469849625340561,66.24,8.710185884,2.795442993,1781.756181,-4,173
Gambia,0.465724901352787,61.735,9.482098751,3.666,1489.572356,4,178
Guinea,0.465515000621699,61.185,9.00675,2.707392597,2211.002107,-10,175
Liberia,0.464720318954408,63.73,9.57967,4.668,1040.085099,9,173
Yemen,0.46271714702882,66.096,8.66439,3.2,1433.295869,3,175
Guinea-Bissau,0.461406000722445,58.003,10.5,3.303495308,1593.184025,-2,177
Congo (Democratic Republic of the),0.458730070735528,60.368,9.7025948,6.75948,800.0214295,8,179
Mozambique,0.446044680992215,60.163,9.74711,3.540898438,1153.697636,4,180
Sierra Leone,0.438465282068234,54.309,10.17593,3.6,1381.299109,1,181
Burkina Faso,0.43354704878473,61.174,8.90646,1.585573608,1705.485422,-8,183
Eritrea,0.433579620423195,65.941,5.0052837,3.9,1707.710964,-9,182
Mali,0.427206243726843,58.893,7.60336,2.352954412,1965.385142,-17,184
Burundi,0.422881598194768,61.247,11.30463,3.124365,659.7322625,4,185
South Sudan,0.412770471734889,57.604,5.00038,4.84913,1455.229886,-7,186
Chad,0.40117596828544,53.977,7.465364,2.409497071,1715.568235,-15,187
Central African Republic,0.38066211113133,52.805,7.56836,4.282,776.6759961,0,188
Niger,0.376591083103143,62.024,6.47145,2.029048967,912.0418982,-3,189
